Cell_name	Zvalue	Color	Cluster	AATF	TP53
MGH36_P6_A12	NA	black	0	0	0.4844
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	3.0993
MGH36_P10_G12	1.49870787774	blue	3	1.6897	0.93885
MGH53_P2_H12	-0.323784140685	green3	2	3.9302	0.17121
MGH53_P4_D10	NA	black	0	3.2353	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0.68885
MGH53_P2_G11	NA	black	0	5.5692	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0	0
MGH53_P4_B07	NA	black	0	0	4.8297
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	1.24040603033	green3	2	5.095	4.9272
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0	0.43829
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	NA	black	0	0	1.3989
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	1.4346	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	-3.41565129504	black	0	6.8912	0.28924
MGH53_P4_G12	NA	black	0	0	2.9683
MGH53_P2_E08	NA	black	0	0	3.9154
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	3.0131
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0	0.82049
MGH53_P2_D10	NA	black	0	0	0.41251
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	1.9971
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	3.5346
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	1.0642	0
MGH36_P3_C10	NA	black	0	5.389	0
MGH53_P2_F01	0.65748457157	green3	2	4.8558	4.1552
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0	0.23266
MGH54_P2_D07	NA	black	0	0	5.1231
MGH53_P2_D09	NA	black	0	4.6747	0
MGH53_P1_D09	NA	black	0	0	0.41684
MGH54_P2_B08	NA	black	0	5.3127	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0	0
MGH36_P5_E12	NA	black	0	0	0
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	4.704	0
MGH36_P5_C10	NA	black	0	0	0
MGH54_P2_B05	NA	black	0	0	0
MGH36_P2_F09	NA	black	0	0	0.069015
MGH53_P4_A05	NA	black	0	0	0
MGH54_P2_H10	NA	black	0	0	0
MGH53_P4_E06	NA	black	0	4.5195	0
MGH53_P4_D12	3.58978354915	black	0	0.23879	0.22527
MGH54_P2_H07	NA	black	0	0	0
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	0
MGH36_P7_D12	NA	black	0	0	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0	4.4302
MGH54_P2_G03	NA	black	0	0	4.7106
MGH53_P2_F12	NA	black	0	0	3.2629
MGH36_P4_C09	NA	black	0	0	0.37295
MGH36_P5_C08	NA	black	0	0.14274	0
MGH36_P4_H06	NA	black	0	0	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	NA	black	0	0	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	0	0.48646
MGH54_P2_A09	NA	black	0	0	0
MGH36_P6_H11	NA	black	0	0	0
MGH53_P2_E12	NA	black	0	4.3247	0
MGH53_P1_F08	NA	black	0	0	0.79327
MGH36_P6_D12	NA	black	0	0	0
MGH36_P2_H09	NA	black	0	0	0
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0	0.7866
MGH36_P5_G05	NA	black	0	0	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	-0.511505885891	green3	2	4.1551	0.43403
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	0	0
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	0	4.2769
MGH36_P6_B02	NA	black	0	1.8548	0
MGH53_P4_G06	NA	black	0	0	0
MGH36_P8_F01	NA	black	0	0	0.62293
MGH36_P9_F06	NA	black	0	0	0
MGH36_P5_H04	NA	black	0	0	0.338
MGH53_P1_B03	NA	black	0	2.2972	0
MGH53_P2_D05	-0.699142791445	green3	2	4.3287	0.3774
MGH36_P4_G12	NA	black	0	0	0.16993
MGH53_P2_D11	NA	black	0	3.8219	0
MGH53_P4_C02	NA	black	0	4.2309	0
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0	0
