Cell_name	Zvalue	Color	Cluster	ACOX1	PPARA
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0.13619
MGH53_P4_G04	-0.148445422689	red	1	0.54992	0.58207
MGH36_P10_G12	0.0539011091901	red	1	1.326	0.30334
MGH53_P2_H12	0.391975015787	red	1	0.70133	0.044044
MGH53_P4_D10	NA	black	0	0	0.62761
MGH53_P4_D01	-0.788794392724	red	1	0.3505	1.0321
MGH36_P6_B07	NA	black	0	4.5539	0
MGH36_P10_B12	0.38924444588	red	1	0.56657	0.096262
MGH53_P2_G11	0.586239875882	red	1	0.20289	0.045443
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	0.278325967126	red	1	0.15963	0.26303
MGH53_P4_B07	-0.203799089127	red	1	0.29631	0.5955
MGH53_P4_F09	-1.52052663065	red	1	1.0426	2.5457
MGH36_P2_H11	0.574468803593	red	1	0.25822	0.038436
MGH36_P5_A11	0.149597415773	red	1	0.37072	0.33457
MGH53_P1_A09	0.311440931787	red	1	0.37851	0.20789
MGH53_P2_B02	0.656778888375	red	1	0.098958	0.025738
MGH53_P4_E04	-0.0185216557115	red	1	0.32077	0.46258
MGH53_P4_D08	0.392373799512	red	1	0.089498	0.19787
MGH36_P1_F07	0.380803522845	red	1	0.25942	0.1776
MGH53_P2_E11	-0.602268941735	red	1	3.4018	0.13225
MGH36_P1_G06	NA	black	0	0	0.11103
MGH36_P6_F03	NA	black	0	0	0.2558
MGH54_P2_H06	-0.816750071216	red	1	3.9743	0.13093
MGH36_P8_H12	NA	black	0	2.8742	0
MGH53_P1_B06	NA	black	0	0	0.10165
MGH53_P4_F12	NA	black	0	0	0.15834
MGH53_P4_G12	-0.00118125194626	red	1	0.23389	0.4489
MGH53_P2_E08	NA	black	0	0	0.55876
MGH53_P1_F06	0.327842902055	red	1	0.15834	0.2302
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0.852	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0.43829	0
MGH53_P4_H08	0.192777059362	red	1	0.30217	0.30801
MGH36_P6_F11	0.343603118067	red	1	0.79577	0.056584
MGH36_P8_C08	0.366328419101	red	1	0.32884	0.17505
MGH53_P2_D10	NA	black	0	0.13093	0
MGH53_P4_D03	-0.616848903864	red	1	3.2802	0.096262
MGH53_P2_C04	-0.623461425817	red	1	3.1709	0.063503
MGH53_P1_E08	NA	black	0	0.21785	0
MGH54_P2_A08	0.221185567411	red	1	0.074505	0.30801
MGH36_P4_H07	0.0590062581451	red	1	0.10434	0.40926
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	-0.728438185178	red	1	4.8507	0.26424
MGH53_P1_E10	NA	black	0	0.64801	0
MGH53_P2_E09	0.235779708071	red	1	0.10434	0.29631
MGH36_P3_C10	-1.43475808666	red	1	0.14012	1.3567
MGH53_P2_F01	0.0724482113688	red	1	1.3578	0.22651
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0.11503	0
MGH54_P2_D07	NA	black	0	0	0.20289
MGH53_P2_D09	NA	black	0	0	0.092207
MGH53_P1_D09	NA	black	0	0	0.10299
MGH54_P2_B08	0.603982385855	red	1	0.084064	0.063503
MGH54_P2_G05	0.59587756811	red	1	0.082703	0.069015
MGH53_P2_F06	0.330223041471	red	1	0.63599	0.13093
MGH36_P3_E01	-0.255774800394	red	1	0.13093	0.61164
MGH36_P5_E12	0.568999511381	red	1	0.21661	0.053806
MGH53_P4_A12	0.180875894605	red	1	0.20914	0.32423
MGH36_P9_F01	NA	black	0	3.6276	0
MGH36_P3_H10	-0.338118075011	red	1	4.1058	0.3471
MGH36_P3_H02	NA	black	0	0	0.37184
MGH36_P5_C10	0.0863726421828	red	1	0.22404	0.38847
MGH54_P2_B05	0.221991811953	red	1	0.24245	0.29278
MGH36_P2_F09	0.139577803723	red	1	0.24489	0.3505
MGH53_P4_A05	0.245323686784	red	1	0.59646	0.2228
MGH54_P2_H10	NA	black	0	0	0.17249
MGH53_P4_E06	0.45672905259	red	1	0.40381	0.086784
MGH53_P4_D12	-4.32081667766	black	0	0.47612	3.6775
MGH54_P2_H07	0.472068607081	red	1	0.090853	0.14666
MGH53_P2_E03	0.362244853759	red	1	0.11103	0.21412
MGH53_P1_A05	-1.76850287124	black	0	0.9381	2.5775
MGH36_P7_D12	0.618444706619	red	1	0.056584	0.060739
MGH53_P4_H03	NA	black	0	0.28214	0
MGH53_P2_E05	-3.3423826077	black	0	0.24245	2.6339
MGH36_P4_H11	0.321583416717	red	1	0.17121	0.23266
MGH53_P1_B01	NA	black	0	3.2519	0
MGH54_P2_G03	NA	black	0	2.7782	0
MGH53_P2_F12	NA	black	0	0	0.13093
MGH36_P4_C09	0.301722853752	red	1	0.28688	0.2302
MGH36_P5_C08	0.254415447308	red	1	0.29983	0.26303
MGH36_P4_H06	0.175335841122	red	1	0.34255	0.3173
MGH36_P10_E01	-1.13491022333	red	1	4.5732	0.1003
MGH36_P8_E12	NA	black	0	0.089498	0
MGH53_P2_C10	-0.265698573479	red	1	0.075875	0.61164
MGH36_P4_H08	NA	black	0	0.070389	0
MGH36_P7_F07	0.621372910365	red	1	0.089498	0.051024
MGH54_P2_A09	NA	black	0	0	0.19156
MGH36_P6_H11	0.52456625156	red	1	0.053806	0.12035
MGH53_P2_E12	0.146472934723	red	1	0.24001	0.34596
MGH53_P1_F08	0.527081890836	red	1	0.098958	0.10969
MGH36_P6_D12	0.423413441191	green3	2	0.092207	0.1776
MGH36_P2_H09	0.221634044051	red	1	0.16993	0.29983
MGH53_P1_C01	0.302473013721	red	1	0.14666	0.24853
MGH53_P2_F11	-2.53152925418	black	0	0.23266	2.1164
MGH36_P6_H04	0.592106847611	red	1	3.1197	0.89375
MGH36_P5_G05	0.662177417828	red	1	0.05797	0.032806
MGH53_P4_B04	NA	black	0	0.26303	0
MGH53_P1_E05	0.321938159698	red	1	0.14143	0.23634
MGH36_P10_A08	NA	black	0	2.2633	0
MGH36_P9_G01	NA	black	0	0	0.16221
MGH53_P4_A06	0.165322603319	red	1	1.1349	0.14535
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	0.375577740475	red	1	0.19283	0.19283
MGH53_P1_E06	NA	black	0	0	0.30685
MGH36_P4_A10	0.384403590027	red	1	0.10702	0.20038
MGH36_P6_B02	0.418832420504	green3	2	0.12565	0.17505
MGH53_P4_G06	-0.460284321362	red	1	2.9218	0.10836
MGH36_P8_F01	NA	black	0	0	0.16221
MGH36_P9_F06	NA	black	0	2.5094	0
MGH36_P5_H04	0.620345682432	red	1	0.12565	0.042644
MGH53_P1_B03	0.553658899407	red	1	0.25701	0.053806
MGH53_P2_D05	0.275543585809	red	1	0.1865	0.26183
MGH36_P4_G12	0.633460927187	red	1	0.10299	0.03984
MGH53_P2_D11	-0.026671875219	red	1	1.3533	0.54003
MGH53_P4_C02	-0.0553900897426	red	1	1.8891	0.21288
MGH53_P4_F04	0.580628001173	red	1	0.089498	0.077243
MGH36_P3_D10	0.611319221892	red	1	0.075875	0.060739
MGH54_P2_F04	NA	black	0	0.19787	0
MGH36_P6_A03	0.541758008295	red	1	0.11103	0.097611
MGH53_P1_F07	NA	black	0	0.085425	0
MGH36_P5_H08	0.475953202855	red	1	0.16607	0.12961
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	0.436600630148	green3	2	0.19535	0.15056
MGH53_P2_G03	3.07958208177	black	0	3.0079	3.0197
MGH36_P3_F04	-0.10150824935	red	1	2.0119	0.17121
MGH54_P2_B02	NA	black	0	0	0.4916
MGH36_P5_C07	-0.039305368348	red	1	1.8168	0.19912
MGH53_P2_E02	NA	black	0	0.16864	0
MGH54_P2_F09	NA	black	0	0	0.044044
MGH36_P3_D05	0.638896262736	red	1	0.060739	0.04684
MGH36_P5_F12	0.604620582287	red	1	0.16607	0.042644
MGH53_P2_H09	0.475878900623	red	1	0.20414	0.12168
MGH54_P2_F07	0.447908288292	green3	2	0.067639	0.16607
MGH36_P5_D10	0.557241348514	red	1	0.12035	0.085425
MGH54_P2_F11	NA	black	0	0	0.044044
MGH53_P2_H04	0.530302057765	red	1	0.12697	0.10165
MGH36_P6_F09	0.450550324058	green3	2	0.1865	0.14274
MGH36_P9_F05	-0.300223900015	red	1	2.8317	0.21537
MGH36_P8_G11	0.49280617184	red	1	0.16864	0.1177
MGH54_P2_A07	-0.40498674684	red	1	2.6187	0.048236
MGH36_P7_H06	0.579696233957	red	1	0.042644	0.088142
MGH53_P1_A01	NA	black	0	0	0.14666
MGH53_P1_A02	0.00846934065225	red	1	1.6374	0.1776
MGH54_P2_E07	-0.345585764104	red	1	2.4675	0.041243
MGH53_P4_F07	0.450406600186	green3	2	0.31962	0.1137
MGH53_P2_C05	NA	black	0	0	0.069015
MGH53_P4_H07	NA	black	0	0.34823	0
MGH53_P2_C06	-3.43182945878	black	0	0.18396	2.6107
MGH36_P3_F03	0.324735328981	red	1	0.18269	0.22897
MGH36_P2_A10	0.580834706033	red	1	0.094912	0.075875
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	1.9218
MGH54_P2_H03	-0.732333235503	red	1	3.4014	0.05797
MGH36_P4_D06	NA	black	0	0.63877	0
MGH53_P2_B03	-1.48783813445	red	1	0.12697	1.3818
MGH53_P4_F03	-0.491789965487	red	1	2.8492	0.059355
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	0.180590334805	red	1	0.43082	0.30451
MGH54_P2_A02	-0.137935920381	red	1	3.5942	0.40926
MGH36_P3_A07	NA	black	0	0	0.1003
