Cell_name	Zvalue	Color	Cluster	ANGPT2	VHL
MGH36_P6_A12	NA	black	0	0	2.3251
MGH36_P6_H09	3.56517044326	black	0	1.6942	4.0772
MGH53_P4_G04	NA	black	0	0	3.2693
MGH36_P10_G12	NA	black	0	0	4.0788
MGH53_P2_H12	-0.120406947229	cyan	4	0.03984	1.4921
MGH53_P4_D10	NA	black	0	0	1.2004
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	0.281624065057	cyan	4	0.14405	0.50284
MGH36_P10_B12	-0.137817041606	cyan	4	0.18142	1.6521
MGH53_P2_G11	NA	black	0	0	0.70664
MGH53_P1_E04	NA	black	0	0	3.9225
MGH54_P2_C12	0.0167676038331	cyan	4	0.47093	0.56267
MGH53_P4_B07	NA	black	0	0	1.1985
MGH53_P4_F09	0.00401257492901	cyan	4	0.52707	1.3846
MGH36_P2_H11	0.547774738557	cyan	4	0.038436	0.12697
MGH36_P5_A11	-0.540478331172	blue	3	0.31383	3.7795
MGH53_P1_A09	1.1545112438	black	0	1.0614	3.2007
MGH53_P2_B02	NA	black	0	0	0.66539
MGH53_P4_E04	-0.0512117983719	cyan	4	0.2461	1.4399
MGH53_P4_D08	NA	black	0	0	0.71282
MGH36_P1_F07	NA	black	0	0	0.34142
MGH53_P2_E11	-0.0612340535397	cyan	4	0.80818	1.0779
MGH36_P1_G06	NA	black	0	0	0.38957
MGH36_P6_F03	NA	black	0	0	0.65352
MGH54_P2_H06	0.183894204324	cyan	4	0.21537	0.6397
MGH36_P8_H12	NA	black	0	0	1.2702
MGH53_P1_B06	0.362242378637	cyan	4	0.17249	0.19787
MGH53_P4_F12	NA	black	0	0	3.8346
MGH53_P4_G12	NA	black	0	0	1.2104
MGH53_P2_E08	-0.268131688954	blue	3	0.32998	2.667
MGH53_P1_F06	0.257772578158	cyan	4	0.12565	0.60122
MGH53_P1_D02	NA	black	0	0	0.87027
MGH36_P9_D01	-0.0481238921134	cyan	4	0.37851	1.622
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0	1.5445
MGH53_P4_H08	-0.380982069773	blue	3	0.2916	2.8916
MGH36_P6_F11	-0.624928603373	blue	3	0.067639	2.5731
MGH36_P8_C08	NA	black	0	0	2.8084
MGH53_P2_D10	NA	black	0	0	4.2311
MGH53_P4_D03	NA	black	0	0	3.1977
MGH53_P2_C04	0.0750432521718	cyan	4	0.13225	1.0594
MGH53_P1_E08	0.924002077091	magenta	5	0.78994	4.3886
MGH54_P2_A08	-0.213621612337	blue	3	0.10969	1.7566
MGH36_P4_H07	NA	black	0	0	0.75104
MGH36_P9_D06	NA	black	0	0	2.4049
MGH53_P4_C04	0.151683378372	cyan	4	0.22527	0.72944
MGH53_P1_E10	-0.00738870639546	cyan	4	0.51803	0.9501
MGH53_P2_E09	0.0819238894365	cyan	4	0.29042	0.88206
MGH36_P3_C10	-1.11926128461	black	0	0.11237	3.8442
MGH53_P2_F01	-0.379587059333	blue	3	0.18142	2.342
MGH53_P4_H05	0.768751627806	magenta	5	0.71105	4.9832
MGH53_P4_G10	NA	black	0	0	0.77737
MGH54_P2_D07	NA	black	0	0	0.7891
MGH53_P2_D09	0.0717660355321	cyan	4	0.1635	1.051
MGH53_P1_D09	NA	black	0	0	0.59168
MGH54_P2_B08	0.290906621682	cyan	4	0.123	0.52206
MGH54_P2_G05	-0.882097265157	red	1	0.12168	3.3577
MGH53_P2_F06	0.219341131574	cyan	4	0.12697	0.69688
MGH36_P3_E01	-0.602363718153	blue	3	0.17121	2.9128
MGH36_P5_E12	0.0876596353667	cyan	4	0.37407	0.57337
MGH53_P4_A12	0.184681299688	cyan	4	0.13356	0.77653
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	1.0136
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	0.123819841674	cyan	4	0.16993	0.8984
MGH54_P2_B05	-0.81962187626	red	1	0.11103	3.1612
MGH36_P2_F09	0.070992088827	cyan	4	0.19409	1.0335
MGH53_P4_A05	0.25617455499	cyan	4	0.14143	0.57628
MGH54_P2_H10	-0.701108436184	red	1	0.10165	2.8538
MGH53_P4_E06	NA	black	0	0	0.96938
MGH53_P4_D12	-1.20313206239	black	0	0.10299	3.9701
MGH54_P2_H07	NA	black	0	0	4.3296
MGH53_P2_E03	NA	black	0	0	3.5509
MGH53_P1_A05	-0.873815169806	red	1	0.090853	3.1882
MGH36_P7_D12	NA	black	0	0	0.24245
MGH53_P4_H03	0.093929835226	cyan	4	0.38405	0.45312
MGH53_P2_E05	-9.72562119419e-05	cyan	4	0.4916	0.24732
MGH36_P4_H11	-1.10230020376	black	0	0.12565	3.891
