Cell_name	Zvalue	Color	Cluster	APAF1	HDAC2
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	3.6588
MGH53_P4_G04	0.268396275433	red	1	0.52707	0.34255
MGH36_P10_G12	NA	black	0	0	0.44042
MGH53_P2_H12	NA	black	0	0.22527	0
MGH53_P4_D10	NA	black	0	0.72247	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	2.0625
MGH36_P10_B12	-0.401514764167	red	1	0.53804	4.3947
MGH53_P2_G11	-3.40654438732	black	0	3.5072	0.2302
MGH53_P1_E04	-0.588071662072	red	1	0.24732	3.9798
MGH54_P2_C12	NA	black	0	0.36737	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	0.35259973266	red	1	0.46258	0.2302
MGH36_P2_H11	NA	black	0	0.042644	0
MGH36_P5_A11	0.147626088622	red	1	0.64801	0.14143
MGH53_P1_A09	NA	black	0	0.43296	0
MGH53_P2_B02	-0.404796178161	red	1	1.1237	0.22033
MGH53_P4_E04	NA	black	0	2.9944	0
MGH53_P4_D08	0.329421950591	red	1	0.46676	0.36177
MGH36_P1_F07	-0.388766251322	red	1	0.062122	3.1551
MGH53_P2_E11	-1.12163042494	red	1	1.7225	0.22033
MGH36_P1_G06	0.386327141896	red	1	0.4489	0.10434
MGH36_P6_F03	-0.846531253103	red	1	0.23879	4.6323
MGH54_P2_H06	-0.113622036807	red	1	0.44573	2.8069
MGH36_P8_H12	0.31930472836	red	1	0.47923	0.34028
MGH53_P1_B06	-2.93404929762	black	0	3.0673	0.14143
MGH53_P4_F12	0.365971670824	red	1	0.41034	0.48852
MGH53_P4_G12	0.416251682507	red	1	0.25338	0.86394
MGH53_P2_E08	0.020563442011	red	1	0.76043	1.5636
MGH53_P1_F06	0.742716311452	green3	2	0.14666	0.097611
MGH53_P1_D02	NA	black	0	0	2.8345
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0.53804	0
MGH53_P2_E07	NA	black	0	0	4.6952
MGH53_P4_H08	0.0292880723304	red	1	0.4351	2.1496
MGH36_P6_F11	0.658284584239	green3	2	0.20289	0.16479
MGH36_P8_C08	0.642697797503	green3	2	0.19283	0.25822
MGH53_P2_D10	1.15606419666	blue	3	2.0201	4.2535
