Cell_name	Zvalue	Color	Cluster	ASCL1	HES6
MGH36_P6_A12	NA	black	0	3.0488	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	2.1846
MGH53_P2_H12	NA	black	0	0	0
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	4.48523529652	black	0	0.62106	1.1699
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0	0
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	NA	black	0	0	0
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	3.04048403904	black	0	0.79077	2.1401
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0
MGH53_P4_G12	NA	black	0	0	0
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0	0
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	0	0
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0	0
MGH36_P5_E12	NA	black	0	0	0
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	NA	black	0	0	0
MGH54_P2_B05	NA	black	0	0	1.3511
MGH36_P2_F09	NA	black	0	0	0
MGH53_P4_A05	NA	black	0	0	0
MGH54_P2_H10	NA	black	0	0	0
MGH53_P4_E06	NA	black	0	0	0
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0	0
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	0
MGH36_P7_D12	6.43600704872	black	0	0.16736	0.29631
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0	0
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	NA	black	0	0	0
MGH36_P5_C08	NA	black	0	0	0
MGH36_P4_H06	NA	black	0	0	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	NA	black	0	0	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	0	0
MGH54_P2_A09	NA	black	0	0	0
MGH36_P6_H11	NA	black	0	0	0
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	NA	black	0	0	0
MGH36_P6_D12	NA	black	0	0	1.0711
MGH36_P2_H09	NA	black	0	0	0
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0	0
MGH36_P5_G05	NA	black	0	0	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	0	0
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	NA	black	0	0	0
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0	0
MGH36_P5_H04	NA	black	0	0	0
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	NA	black	0	0	0
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0	0
MGH53_P2_G03	NA	black	0	0	0
MGH36_P3_F04	NA	black	0	0	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	NA	black	0	0	0
MGH53_P2_E02	NA	black	0	0	0
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0	0
MGH53_P2_H09	NA	black	0	0	4.3672
MGH54_P2_F07	NA	black	0	0	0.35614
MGH36_P5_D10	NA	black	0	0	0
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0	0
MGH36_P6_F09	NA	black	0	0	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	NA	black	0	0	0
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0	0
MGH53_P1_A02	NA	black	0	0	0
