Cell_name	Zvalue	Color	Cluster	ATF4	HSPA5
MGH36_P6_A12	NA	black	0	0	4.8475
MGH36_P6_H09	NA	black	0	0	5.7291
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	4.8811
MGH53_P2_H12	-0.0793831911748	blue	3	5.164	3.4327
MGH53_P4_D10	-0.236157255063	blue	3	6.4179	3.6656
MGH53_P4_D01	NA	black	0	0	5.2267
MGH36_P6_B07	NA	black	0	6.0479	0
MGH36_P10_B12	-1.35454868089	black	0	5.8519	0.2302
MGH53_P2_G11	-1.59104433649	black	0	0.87735	5.301
MGH53_P1_E04	-0.183496182394	blue	3	4.4877	5.778
MGH54_P2_C12	-0.398836855737	blue	3	5.8946	3.0122
MGH53_P4_B07	NA	black	0	0	6.9747
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	5.22976660161	black	0	0.83188	0.24367
MGH53_P1_A09	4.3895140519	black	0	1.4558	0.26303
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	4.1375	0
MGH53_P4_D08	-0.550020090002	blue	3	5.7307	2.3288
MGH36_P1_F07	-0.119280984258	blue	3	3.0261	4.3019
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	NA	black	0	5.2203	0
MGH36_P6_F03	NA	black	0	0	5.6345
MGH54_P2_H06	NA	black	0	7.0997	0
MGH36_P8_H12	-0.371030454904	blue	3	6.0657	3.2265
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	4.53202475025	black	0	1.2904	0.32423
MGH53_P4_G12	-2.08273179511	black	0	6.3826	0.16993
MGH53_P2_E08	-0.788198712813	green3	2	5.6802	1.4071
MGH53_P1_F06	NA	black	0	0	5.8003
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	-0.00830335800531	blue	3	5.2464	4.0448
MGH36_P6_F02	NA	black	0	3.3188	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	-0.46821190142	blue	3	5.1689	0.1375
MGH36_P6_F11	NA	black	0	6.008	0
MGH36_P8_C08	NA	black	0	3.5251	0
MGH53_P2_D10	-0.376463694844	blue	3	5.8676	3.047
MGH53_P4_D03	NA	black	0	0	4.0198
MGH53_P2_C04	0.393065824562	blue	3	6.7576	4.6932
MGH53_P1_E08	-0.0639020815074	blue	3	4.8712	0.39397
MGH54_P2_A08	0.562198222169	blue	3	5.8508	5.6906
MGH36_P4_H07	1.01594167817	cyan	4	6.5952	5.7743
MGH36_P9_D06	0.0437061798443	blue	3	5.2635	4.3866
MGH53_P4_C04	2.86258069611	black	0	7.1877	7.6396
MGH53_P1_E10	0.253195590744	blue	3	5.7025	4.937
MGH53_P2_E09	NA	black	0	0	0.19409
MGH36_P3_C10	1.28472824394	cyan	4	5.9705	7.3522
MGH53_P2_F01	-0.978201212727	green3	2	3.7244	6.7617
MGH53_P4_H05	-0.273051987786	blue	3	4.1719	5.361
MGH53_P4_G10	3.06058561532	black	0	2.4727	0.26544
MGH54_P2_D07	NA	black	0	0	5.9079
MGH53_P2_D09	NA	black	0	5.5405	0
MGH53_P1_D09	-1.28845616829	red	1	0.62947	5.0176
MGH54_P2_B08	-1.38700109999	black	0	2.2197	5.6835
MGH54_P2_G05	0.451755151321	blue	3	6.5884	4.8473
MGH53_P2_F06	NA	black	0	0	4.887
MGH36_P3_E01	0.941055619596	cyan	4	6.5765	5.6674
MGH36_P5_E12	NA	black	0	3.736	0
MGH53_P4_A12	0.765774221993	cyan	4	6.7679	5.2505
MGH36_P9_F01	-0.0179518012866	blue	3	5.0404	3.8685
MGH36_P3_H10	NA	black	0	0.35276	0
MGH36_P3_H02	NA	black	0	1.0433	0
MGH36_P5_C10	4.64995171688	black	0	0.94336	0.57337
MGH54_P2_B05	0.287751194314	blue	3	5.0747	7.2699
MGH36_P2_F09	NA	black	0	0	0
MGH53_P4_A05	3.28038118913	black	0	2.2916	0.28451
MGH54_P2_H10	1.41030064844	black	0	6.6975	6.2976
MGH53_P4_E06	NA	black	0	0	6.3246
MGH53_P4_D12	NA	black	0	0	0.65444
MGH54_P2_H07	-0.925876418067	green3	2	2.8436	5.4915
MGH53_P2_E03	1.62997813228	black	0	7.2891	6.0333
MGH53_P1_A05	1.56730189298	black	0	6.7119	6.5235
MGH36_P7_D12	0.280901446624	blue	3	5.7225	5.008
MGH53_P4_H03	0.18478020592	blue	3	5.2511	5.3369
MGH53_P2_E05	-0.374976978921	blue	3	5.1052	0.21785
