Cell_name	Zvalue	Color	Cluster	ATM	BRCA1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0.36625	0
MGH53_P4_G04	NA	black	0	0.38847	0
MGH36_P10_G12	NA	black	0	1.3437	0
MGH53_P2_H12	-0.0799416789865	red	1	1.058	0.15834
MGH53_P4_D10	-0.430906072172	red	1	2.1233	0.34369
MGH53_P4_D01	NA	black	0	0.39726	0
MGH36_P6_B07	NA	black	0	0.809	0
MGH36_P10_B12	NA	black	0	0.10299	0
MGH53_P2_G11	NA	black	0	3.0642	0
MGH53_P1_E04	NA	black	0	1.4746	0
MGH54_P2_C12	-0.706277195071	red	1	2.1609	0.12433
MGH53_P4_B07	NA	black	0	0.17505	0
MGH53_P4_F09	0.187129407769	green3	2	0.32308	0.31499
MGH36_P2_H11	NA	black	0	0.035624	0
MGH36_P5_A11	NA	black	0	0.48852	0
MGH53_P1_A09	-0.310503064513	red	1	2.1606	0.45838
MGH53_P2_B02	-0.0748324177995	red	1	1.157	0.37407
MGH53_P4_E04	0.0207630712281	green3	2	0.83754	0.33228
MGH53_P4_D08	-0.343966714582	red	1	1.6003	0.18015
MGH36_P1_F07	0.327456081033	green3	2	0.2916	0.075875
MGH53_P2_E11	-0.437909248073	red	1	3.9114	0.62574
MGH36_P1_G06	NA	black	0	2.5607	0
MGH36_P6_F03	NA	black	0	4.0987	0
MGH54_P2_H06	0.151351101134	green3	2	0.4678	0.2916
MGH36_P8_H12	NA	black	0	0.95829	0
MGH53_P1_B06	NA	black	0	4.1497	0
MGH53_P4_F12	0.306866442375	green3	2	0.20163	0.18396
MGH53_P4_G12	-0.00165541332894	green3	2	0.90458	0.28688
MGH53_P2_E08	NA	black	0	1.7916	0
MGH53_P1_F06	NA	black	0	0.46153	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	0.107401053361	green3	2	0.15186	0.50487
MGH36_P6_F02	7.00010932132	black	0	3.658	3.6448
MGH53_P2_E07	NA	black	0	2.3383	0
MGH53_P4_H08	0.1681705476	green3	2	0.54992	0.14666
MGH36_P6_F11	NA	black	0	1.4818	0
