Cell_name	Zvalue	Color	Cluster	ATM	CFLAR
MGH36_P6_A12	NA	black	0	0	1.2528
MGH36_P6_H09	1.09407975228	green3	2	0.36625	0.55189
MGH53_P4_G04	-0.712409788343	green3	2	0.38847	4.1599
MGH36_P10_G12	0.822130882418	green3	2	1.3437	6.1745
MGH53_P2_H12	-0.0339429203752	green3	2	1.058	2.5036
MGH53_P4_D10	-0.216592596012	green3	2	2.1233	2.698
MGH53_P4_D01	-0.0685286704979	green3	2	0.39726	2.9939
MGH36_P6_B07	-0.0276225864321	green3	2	0.809	3.0611
MGH36_P10_B12	-1.00698285133	green3	2	0.10299	4.1094
MGH53_P2_G11	3.85498335296	black	0	3.0642	5.0659
MGH53_P1_E04	-0.300121713801	green3	2	1.4746	2.2482
MGH54_P2_C12	-1.39461899072	red	1	2.1609	1.6341
MGH53_P4_B07	-1.3012907248	red	1	0.17505	4.5916
MGH53_P4_F09	-0.271191061387	green3	2	0.32308	3.3215
MGH36_P2_H11	1.49215531075	green3	2	0.035624	0.93206
MGH36_P5_A11	-1.86040529448	black	0	0.48852	6.4589
MGH53_P1_A09	2.11142558246	black	0	2.1606	5.006
MGH53_P2_B02	0.105413278019	green3	2	1.157	3.5785
MGH53_P4_E04	0.0265959812762	green3	2	0.83754	2.6271
MGH53_P4_D08	0.253728944793	green3	2	1.6003	3.3532
MGH36_P1_F07	0.0209124416608	green3	2	0.2916	2.8217
MGH53_P2_E11	2.45853155426	black	0	3.9114	3.9062
MGH36_P1_G06	0.863742330724	green3	2	2.5607	3.5363
MGH36_P6_F03	-2.20445851327	black	0	4.0987	2.1757
MGH54_P2_H06	-0.438475168103	green3	2	0.4678	3.7986
MGH36_P8_H12	-0.000996639095108	green3	2	0.95829	2.481
MGH53_P1_B06	9.15762360968	black	0	4.1497	6.3101
MGH53_P4_F12	-0.395447465686	green3	2	0.20163	3.423
MGH53_P4_G12	-0.0226693432875	green3	2	0.90458	3.2253
MGH53_P2_E08	-0.190183894306	green3	2	1.7916	2.6413
MGH53_P1_F06	-0.265933456626	green3	2	0.46153	3.4343
MGH53_P1_D02	NA	black	0	0	4.589
MGH36_P9_D01	-0.242550104191	green3	2	0.15186	3.1835
MGH36_P6_F02	0.247801714302	green3	2	3.658	3.054
MGH53_P2_E07	-0.43575513266	green3	2	2.3383	2.5588
MGH53_P4_H08	-0.758652878934	green3	2	0.54992	4.6811
MGH36_P6_F11	0.611183136523	green3	2	1.4818	4.344
MGH36_P8_C08	NA	black	0	0	4.5979
MGH53_P2_D10	2.96355883068	black	0	3.6598	4.2062
MGH53_P4_D03	6.6368052234	black	0	4.1566	5.3608
MGH53_P2_C04	0.489624595097	green3	2	1.7303	3.6389
MGH53_P1_E08	0.533007544302	green3	2	2.4439	3.3257
MGH54_P2_A08	0.715257528451	green3	2	1.4335	4.8528
MGH36_P4_H07	0.0604677319432	green3	2	0.48027	2.7209
MGH36_P9_D06	0.159319030042	green3	2	2.3513	3.0437
MGH53_P4_C04	-0.01043333453	green3	2	0.060739	2.8631
MGH53_P1_E10	-0.207660907551	green3	2	0.24367	3.1741
MGH53_P2_E09	1.11718407697	green3	2	2.9404	3.5733
MGH36_P3_C10	-0.645781680515	green3	2	0.25217	3.833
MGH53_P2_F01	0.284827442499	green3	2	2.4782	3.1303
MGH53_P4_H05	-1.63299160768	black	0	0.16736	4.9864
