Cell_name	Zvalue	Color	Cluster	ATM	MTF1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0.36625	0
MGH53_P4_G04	0.118677756352	blue	3	0.38847	0.28688
MGH36_P10_G12	NA	black	0	1.3437	0
MGH53_P2_H12	0.164844487656	blue	3	1.058	1.7596
MGH53_P4_D10	-0.52151007176	green3	2	2.1233	0.16736
MGH53_P4_D01	NA	black	0	0.39726	0
MGH36_P6_B07	0.0286571297882	blue	3	0.809	0.18269
MGH36_P10_B12	0.282515702172	blue	3	0.10299	0.17377
MGH53_P2_G11	-1.14655715569	black	0	3.0642	0.098958
MGH53_P1_E04	1.18083481151	black	0	1.4746	2.5415
MGH54_P2_C12	-0.619303633091	green3	2	2.1609	0.1137
MGH53_P4_B07	NA	black	0	0.17505	0
MGH53_P4_F09	0.131609723501	blue	3	0.32308	0.28924
MGH36_P2_H11	NA	black	0	0.035624	0
MGH36_P5_A11	0.110895680167	blue	3	0.48852	0.25459
MGH53_P1_A09	-0.544275113211	green3	2	2.1606	0.1635
MGH53_P2_B02	-0.100568527733	green3	2	1.157	0.18777
MGH53_P4_E04	0.019036597645	blue	3	0.83754	0.16221
MGH53_P4_D08	-0.295595614662	green3	2	1.6003	0.16221
MGH36_P1_F07	0.118218647716	blue	3	0.2916	0.31846
MGH53_P2_E11	-1.44344075597	black	0	3.9114	0.15963
MGH36_P1_G06	-0.85983861276	green3	2	2.5607	0.098958
MGH36_P6_F03	-1.11105344155	green3	2	4.0987	0.2762
MGH54_P2_H06	0.116396787429	blue	3	0.4678	0.25459
MGH36_P8_H12	NA	black	0	0.95829	0
MGH53_P1_B06	NA	black	0	4.1497	0
MGH53_P4_F12	0.245729574124	blue	3	0.20163	0.1776
MGH53_P4_G12	-0.000684043977076	blue	3	0.90458	0.73292
MGH53_P2_E08	-0.0162433530076	green3	2	1.7916	0.50589
MGH53_P1_F06	0.199445316993	blue	3	0.46153	0.085425
MGH53_P1_D02	NA	black	0	0	1.0129
MGH36_P9_D01	NA	black	0	0.15186	0
MGH36_P6_F02	-1.46218157015	black	0	3.658	0.11103
