Cell_name	Zvalue	Color	Cluster	ATM	TERF1
MGH36_P6_A12	NA	black	0	0	1.6462
MGH36_P6_H09	0.273997561558	red	1	0.36625	1.1349
MGH53_P4_G04	0.495939029986	red	1	0.38847	0.42438
MGH36_P10_G12	0.153837591893	red	1	1.3437	2.5602
MGH53_P2_H12	-0.128070994008	red	1	1.058	0.32308
MGH53_P4_D10	-0.773513722699	red	1	2.1233	0.8844
MGH53_P4_D01	NA	black	0	0.39726	0
MGH36_P6_B07	0.132504955562	red	1	0.809	0.090853
MGH36_P10_B12	-1.56511313418	red	1	0.10299	4.9495
MGH53_P2_G11	-2.20669032783	red	1	3.0642	0.26424
MGH53_P1_E04	0.698126294676	green3	2	1.4746	4.104
MGH54_P2_C12	-0.289649822214	red	1	2.1609	1.5602
MGH53_P4_B07	0.41387935145	red	1	0.17505	1.03
MGH53_P4_F09	0.377698263026	red	1	0.32308	0.90997
MGH36_P2_H11	0.944309760675	red	1	0.035624	0.1903
MGH36_P5_A11	0.350037493019	red	1	0.48852	0.62947
MGH53_P1_A09	-0.996108597153	red	1	2.1606	0.62199
MGH53_P2_B02	NA	black	0	1.157	0
MGH53_P4_E04	NA	black	0	0.83754	0
MGH53_P4_D08	-0.452427721843	red	1	1.6003	0.83512
MGH36_P1_F07	0.497333342545	red	1	0.2916	0.65076
MGH53_P2_E11	NA	black	0	3.9114	0
MGH36_P1_G06	-1.52255175054	red	1	2.5607	0.42331
MGH36_P6_F03	-3.15061941974	black	0	4.0987	0.338
MGH54_P2_H06	0.313660125132	red	1	0.4678	0.81885
MGH36_P8_H12	NA	black	0	0.95829	0
MGH53_P1_B06	0.039919241994	red	1	4.1497	1.988
MGH53_P4_F12	0.520931498317	red	1	0.20163	0.75531
MGH53_P4_G12	0.0130381587854	red	1	0.90458	1.1557
MGH53_P2_E08	-0.680339119816	red	1	1.7916	0.65076
MGH53_P1_F06	-0.601664703079	red	1	0.46153	3.9631
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	0.626203302467	green3	2	0.15186	0.60692
MGH36_P6_F02	-1.33777035219	red	1	3.658	1.1583
MGH53_P2_E07	-0.666518373317	red	1	2.3383	1.1725
MGH53_P4_H08	0.223633233534	red	1	0.54992	0.96938
MGH36_P6_F11	-0.417830323773	red	1	1.4818	0.70044
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	-2.7212277138	black	0	3.6598	0.32998
MGH53_P4_D03	-1.74235556957	red	1	4.1566	1.082
MGH53_P2_C04	-0.578053678029	red	1	1.7303	0.75958
MGH53_P1_E08	-0.978661745104	red	1	2.4439	0.89064
MGH54_P2_A08	-0.289680094568	red	1	1.4335	0.99494
MGH36_P4_H07	0.254962611161	red	1	0.48027	1.0036
MGH36_P9_D06	NA	black	0	2.3513	0
MGH53_P4_C04	0.0451986826092	red	1	0.060739	1.84
MGH53_P1_E10	-0.510052377241	red	1	0.24367	3.1228
MGH53_P2_E09	-2.31825237324	red	1	2.9404	0.069015
MGH36_P3_C10	0.530535962875	red	1	0.25217	0.64432
MGH53_P2_F01	-1.22005509509	red	1	2.4782	0.65992
MGH53_P4_H05	-0.642732774076	red	1	0.16736	3.2833
MGH53_P4_G10	-0.461417937719	red	1	0.49978	3.6292
MGH54_P2_D07	2.50904993249	black	0	2.5566	4.5068
MGH53_P2_D09	-0.0953543571369	red	1	1.0384	0.50995
MGH53_P1_D09	-0.0139843363533	red	1	0.08134	1.9516
MGH54_P2_B08	-1.44553467717	red	1	2.4552	0.39944
MGH54_P2_G05	NA	black	0	2.7939	0
MGH53_P2_F06	-1.28132040245	red	1	2.8379	0.8536
MGH36_P3_E01	0.533227152796	red	1	0.037031	0.94785
MGH36_P5_E12	0.60056273332	green3	2	0.22527	0.52907
MGH53_P4_A12	5.62294419941	black	0	3.3073	5.8791
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	3.74838570005	black	0	2.8059	5.2675
MGH36_P3_H02	NA	black	0	3.5487	0
MGH36_P5_C10	0.482328974817	red	1	0.36401	0.53007
MGH54_P2_B05	0.299388910634	red	1	0.63413	0.26063
MGH36_P2_F09	-1.98142782102	red	1	3.2328	0.54893
MGH53_P4_A05	0.36247597051	red	1	0.3774	0.85519
MGH54_P2_H10	0.586472614055	red	1	0.15056	0.69332
MGH53_P4_E06	0.641338872512	green3	2	0.1375	0.59932
MGH53_P4_D12	0.464124529664	red	1	0.32539	0.66993
MGH54_P2_H07	0.897481087672	red	1	0.055196	0.24001
MGH53_P2_E03	NA	black	0	0	0.52206
MGH53_P1_A05	1.75951062859	red	1	2.2268	4.199
MGH36_P7_D12	0.897573186036	red	1	0.092207	0.16479
MGH53_P4_H03	0.25135731535	red	1	0.58304	0.74416
MGH53_P2_E05	0.732381355818	red	1	2.33	2.8113
MGH36_P4_H11	-1.04418959609	red	1	0.15834	4.0952
MGH53_P1_B01	0.978678830085	red	1	0.0043216	0.18777
MGH54_P2_G03	0.732880890245	red	1	0.10702	0.46467
MGH53_P2_F12	NA	black	0	1.4297	0
MGH36_P4_C09	0.462151397973	red	1	0.1776	0.92144
MGH36_P5_C08	-1.27073750098	red	1	2.6017	0.70664
MGH36_P4_H06	0.563515153608	red	1	1.6173	3.3083
MGH36_P10_E01	-1.14941344379	red	1	0.10165	4.1523
MGH36_P8_E12	0.665476000652	green3	2	0.11103	0.59359
MGH53_P2_C10	5.4194760724	black	0	4.0005	4.88
MGH36_P4_H08	0.78766189129	red	1	0.17505	0.21164
MGH36_P7_F07	NA	black	0	1.8663	0
MGH54_P2_A09	-1.16077065684	red	1	2.6232	0.82863
MGH36_P6_H11	0.943320864078	red	1	0.062122	0.13881
MGH53_P2_E12	NA	black	0	0.14405	0
MGH53_P1_F08	0.658112533379	green3	2	0.30334	0.20038
MGH36_P6_D12	-0.1710034869	red	1	1.0929	0.24245
MGH36_P2_H09	0.649141019134	green3	2	0.16092	0.54201
MGH53_P1_C01	0.825410335494	red	1	0.15575	0.17377
MGH53_P2_F11	0.6322276876	green3	2	0.20414	0.49774
MGH36_P6_H04	-1.27249618887	red	1	2.6325	0.7277
MGH36_P5_G05	0.893765928016	red	1	0.04684	0.26303
MGH53_P4_B04	0.348972172032	red	1	0.26183	1.0738
MGH53_P1_E05	-0.526952036261	red	1	0.30801	3.2869
MGH36_P10_A08	0.609906506591	green3	2	0.15963	0.62854
MGH36_P9_G01	-0.836101971939	red	1	1.8883	0.51702
MGH53_P4_A06	0.293269890889	red	1	0.29748	1.1706
MGH36_P6_B09	-1.20467067778	red	1	2.5452	0.72944
MGH54_P2_D09	0.516171639298	red	1	0.39506	0.34255
MGH53_P1_E06	0.81388046495	red	1	0.07861	0.35614
MGH36_P4_A10	-1.52619532111	red	1	2.568	0.42653
MGH36_P6_B02	0.842781002449	red	1	0.073135	0.31034
MGH53_P4_G06	0.433341622921	red	1	0.37407	0.65076
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0.082703	0
MGH36_P5_H04	-0.0510707147385	red	1	0.21785	2.0426
MGH53_P1_B03	-2.25529148717	red	1	3.2444	0.36289
MGH53_P2_D05	0.525279555207	red	1	3.0623	2.3612
MGH36_P4_G12	0.817508297895	red	1	0.088142	0.33113
MGH53_P2_D11	-2.11042018872	red	1	3.0127	0.29748
MGH53_P4_C02	0.792631008384	red	1	0.056584	0.43616
MGH53_P4_F04	0.815011760551	red	1	0.094912	0.32308
MGH36_P3_D10	0.715888922132	red	1	0.24489	0.20914
MGH54_P2_F04	NA	black	0	0.085425	0
MGH36_P6_A03	-2.65049214534	black	0	3.7568	0.42761
MGH53_P1_F07	NA	black	0	0.14926	0
MGH36_P5_H08	0.885489973863	red	1	0.017209	0.33228
MGH54_P2_A04	0.571105137452	red	1	0.33685	0.34596
MGH53_P4_E11	-1.35409121552	red	1	2.614	0.63506
MGH53_P2_G03	-0.586588388724	red	1	0.26664	3.3471
MGH36_P3_F04	NA	black	0	3.1077	0
MGH54_P2_B02	0.500701338356	red	1	0.22033	0.77146
MGH36_P5_C07	-0.857817457849	red	1	1.9873	0.6173
MGH53_P2_E02	-2.43064362542	black	0	3.1316	0.15056
MGH54_P2_F09	-1.05038071564	red	1	2.1355	0.52105
MGH36_P3_D05	-0.703699479374	red	1	1.6318	0.30451
MGH36_P5_F12	-1.07659930162	red	1	2.0587	0.38626
MGH53_P2_H09	-1.04153049034	red	1	0.10702	3.9584
MGH54_P2_F07	-0.136822913618	red	1	0.80488	3.5455
MGH36_P5_D10	0.837061294365	red	1	0.017209	0.42008
MGH54_P2_F11	0.659772805572	green3	2	0.052416	0.69332
MGH53_P2_H04	-0.52254424429	red	1	0.44148	3.6305
MGH36_P6_F09	0.700543671055	green3	2	0.11902	0.50894
MGH36_P9_F05	0.39890035659	red	1	0.51299	0.35614
MGH36_P8_G11	NA	black	0	0.086784	0
MGH54_P2_A07	0.743736652408	red	1	0.041243	0.55287
MGH36_P7_H06	0.906167183821	red	1	0.052416	0.22897
MGH53_P1_A01	NA	black	0	2.1773	0
MGH53_P1_A02	0.711975340271	green3	2	0.17377	0.38073
MGH54_P2_E07	0.974180062792	red	1	0.035624	0.13488
MGH53_P4_F07	NA	black	0	0	0.19535
MGH53_P2_C05	0.486784948561	red	1	0.14012	0.91762
MGH53_P4_H07	0.512042370956	red	1	0.094912	0.9222
MGH53_P2_C06	1.37406901106	red	1	2.0929	3.9071
MGH36_P3_F03	0.846583929515	red	1	0.10434	0.24123
MGH36_P2_A10	-0.786672435016	red	1	1.7286	0.33342
MGH53_P4_E03	1.73214993859	red	1	2.2135	4.187
MGH36_P9_D12	NA	black	0	2.0363	0
MGH54_P2_H03	0.164674245942	red	1	0.7137	0.68347
MGH36_P4_D06	0.739521803391	red	1	0.10836	0.4489
MGH53_P2_B03	0.00145568909358	red	1	0.926	0.21039
MGH53_P4_F03	-1.06688428671	red	1	0.13619	4.0817
MGH36_P10_E09	-0.964503582466	red	1	1.8282	0.1903
