Cell_name	Zvalue	Color	Cluster	ATM	TNFRSF10B
MGH36_P6_A12	NA	black	0	0	0.28806
MGH36_P6_H09	-0.29311945954	red	1	0.36625	2.7655
MGH53_P4_G04	0.402823927065	green3	2	0.38847	0.32423
MGH36_P10_G12	0.396173078053	green3	2	1.3437	4.1702
MGH53_P2_H12	0.0647732109319	green3	2	1.058	4.0209
MGH53_P4_D10	NA	black	0	2.1233	0
MGH53_P4_D01	NA	black	0	0.39726	0
MGH36_P6_B07	-0.253585550579	red	1	0.809	4.4049
MGH36_P10_B12	NA	black	0	0.10299	0
MGH53_P2_G11	-1.88926832887	red	1	3.0642	0.18903
MGH53_P1_E04	0.68875110455	green3	2	1.4746	4.8523
MGH54_P2_C12	1.90875098144	blue	3	2.1609	5.2513
MGH53_P4_B07	0.314377458742	green3	2	0.17505	0.97746
MGH53_P4_F09	-0.957228636808	red	1	0.32308	4.5895
MGH36_P2_H11	0.654957074111	green3	2	0.035624	0.32654
MGH36_P5_A11	0.227352028099	green3	2	0.48852	0.80653
MGH53_P1_A09	1.39473309688	green3	2	2.1606	4.3138
MGH53_P2_B02	0.123261427145	green3	2	1.157	3.2802
MGH53_P4_E04	0.0115405319663	green3	2	0.83754	1.6355
MGH53_P4_D08	-0.520286094274	red	1	1.6003	0.32308
MGH36_P1_F07	0.549423808437	green3	2	0.2916	0.073135
MGH53_P2_E11	-2.48076212757	red	1	3.9114	0.33914
MGH36_P1_G06	3.0007677166	black	0	2.5607	5.8519
MGH36_P6_F03	NA	black	0	4.0987	0
MGH54_P2_H06	NA	black	0	0.4678	0
MGH36_P8_H12	-0.00742335992637	green3	2	0.95829	0.93055
MGH53_P1_B06	NA	black	0	4.1497	0
MGH53_P4_F12	0.58556443634	green3	2	0.20163	0.18777
MGH53_P4_G12	-0.0351796032363	green3	2	0.90458	2.8123
MGH53_P2_E08	NA	black	0	1.7916	0
MGH53_P1_F06	0.397478934778	green3	2	0.46153	0.10568
MGH53_P1_D02	NA	black	0	0	4.1814
MGH36_P9_D01	-0.975799917214	red	1	0.15186	4.0908
MGH36_P6_F02	4.23177887562	black	0	3.658	5.1979
MGH53_P2_E07	2.69542479339	black	0	2.3383	6.0518
MGH53_P4_H08	-0.204562010651	red	1	0.54992	2.7744
MGH36_P6_F11	0.720425719464	green3	2	1.4818	4.9544
MGH36_P8_C08	NA	black	0	0	4.1571
MGH53_P2_D10	-2.09275300142	red	1	3.6598	0.45523
MGH53_P4_D03	6.37824274185	black	0	4.1566	6.1105
MGH53_P2_C04	-0.64863717226	red	1	1.7303	0.26424
MGH53_P1_E08	NA	black	0	2.4439	0
MGH54_P2_A08	-0.227078266297	red	1	1.4335	0.94261
MGH36_P4_H07	-1.32589194487	red	1	0.48027	6.5109
MGH36_P9_D06	NA	black	0	2.3513	0
MGH53_P4_C04	-1.8359684711	red	1	0.060739	5.5834
MGH53_P1_E10	0.496998965447	green3	2	0.24367	0.35614
MGH53_P2_E09	-0.838651149028	red	1	2.9404	1.1097
MGH36_P3_C10	-0.27651465557	red	1	0.25217	2.5658
MGH53_P2_F01	2.00267450583	blue	3	2.4782	4.6484
MGH53_P4_H05	NA	black	0	0.16736	0
MGH53_P4_G10	NA	black	0	0.49978	0
MGH54_P2_D07	3.22044143998	black	0	2.5566	6.167
MGH53_P2_D09	0.0356912098985	green3	2	1.0384	4.9359
MGH53_P1_D09	NA	black	0	0.08134	0
