Cell_name	Zvalue	Color	Cluster	BEX2	JUN
MGH36_P6_A12	NA	black	0	0	7.6891
MGH36_P6_H09	NA	black	0	0	8.6804
MGH53_P4_G04	NA	black	0	0	6.2647
MGH36_P10_G12	NA	black	0	0	5.0432
MGH53_P2_H12	NA	black	0	0	5.394
MGH53_P4_D10	NA	black	0	0	3.7884
MGH53_P4_D01	NA	black	0	0	6.5648
MGH36_P6_B07	NA	black	0	0	6.3429
MGH36_P10_B12	NA	black	0	0	6.1932
MGH53_P2_G11	NA	black	0	0	4.4859
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	-1.92201169343	black	0	0.51602	6.1293
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	NA	black	0	0	8.1968
MGH36_P5_A11	NA	black	0	0	3.8413
MGH53_P1_A09	NA	black	0	0	7.7032
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	6.2262
MGH53_P4_D08	NA	black	0	0	9.6989
MGH36_P1_F07	NA	black	0	0	4.2944
MGH53_P2_E11	NA	black	0	0	5.9793
MGH36_P1_G06	NA	black	0	0	0.071763
MGH36_P6_F03	NA	black	0	0	8.2421
MGH54_P2_H06	NA	black	0	0	7.0773
MGH36_P8_H12	NA	black	0	0	3.8354
MGH53_P1_B06	NA	black	0	0	5.5796
MGH53_P4_F12	NA	black	0	0	7.993
MGH53_P4_G12	NA	black	0	0	9.7487
MGH53_P2_E08	NA	black	0	0	7.0257
MGH53_P1_F06	NA	black	0	0	7.3052
MGH53_P1_D02	NA	black	0	0	7.8125
MGH36_P9_D01	NA	black	0	0	3.7599
MGH36_P6_F02	NA	black	0	0	10.209
MGH53_P2_E07	NA	black	0	0	7.3721
MGH53_P4_H08	NA	black	0	0	4.9623
MGH36_P6_F11	NA	black	0	0	9.1938
MGH36_P8_C08	NA	black	0	0	6.2676
MGH53_P2_D10	NA	black	0	0	8.8279
MGH53_P4_D03	NA	black	0	0	7.66
MGH53_P2_C04	NA	black	0	0	6.9288
MGH53_P1_E08	NA	black	0	0	7.511
MGH54_P2_A08	NA	black	0	0	6.9931
MGH36_P4_H07	NA	black	0	0	4.9662
MGH36_P9_D06	NA	black	0	0	7.5394
MGH53_P4_C04	NA	black	0	0	8.641
MGH53_P1_E10	NA	black	0	0	9.1983
MGH53_P2_E09	NA	black	0	0	9.2369
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	0	8.2435
MGH53_P4_H05	NA	black	0	0	6.7418
MGH53_P4_G10	NA	black	0	0	7.6808
MGH54_P2_D07	NA	black	0	0	7.6313
MGH53_P2_D09	NA	black	0	0	8.0252
MGH53_P1_D09	NA	black	0	0	8.6742
MGH54_P2_B08	NA	black	0	0	6.0795
MGH54_P2_G05	NA	black	0	0	0
