Cell_name	Zvalue	Color	Cluster	BRCA1	IGF1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	4.5754
MGH53_P4_G04	NA	black	0	0	0.45943
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0.15834	0
MGH53_P4_D10	NA	black	0	0.34369	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	1.6267
MGH36_P10_B12	NA	black	0	0	0.36401
MGH53_P2_G11	NA	black	0	0	0.10969
MGH53_P1_E04	NA	black	0	0	4.1592
MGH54_P2_C12	0.178750100462	green3	2	0.12433	0.063503
MGH53_P4_B07	NA	black	0	0	0.30451
MGH53_P4_F09	0.0645337318371	green3	2	0.31499	0.19787
MGH36_P2_H11	NA	black	0	0	0.082703
MGH36_P5_A11	NA	black	0	0	0.4049
MGH53_P1_A09	0.0463687456771	green3	2	0.45838	0.14926
MGH53_P2_B02	0.0242638276294	green3	2	0.37407	0.29278
MGH53_P4_E04	-2.7343522915	black	0	0.33228	5.4003
MGH53_P4_D08	0.0740586348385	green3	2	0.18015	0.22774
MGH36_P1_F07	-2.57793165135	black	0	0.075875	3.668
MGH53_P2_E11	0.0011484428197	green3	2	0.62574	0.3173
MGH36_P1_G06	NA	black	0	0	0.034216
MGH36_P6_F03	NA	black	0	0	3.1217
MGH54_P2_H06	0.0856285972668	green3	2	0.2916	0.15575
MGH36_P8_H12	NA	black	0	0	0.31846
MGH53_P1_B06	NA	black	0	0	5.2509
MGH53_P4_F12	0.0957042462	green3	2	0.18396	0.18523
MGH53_P4_G12	-0.132883453411	red	1	0.28688	0.67987
MGH53_P2_E08	NA	black	0	0	0.32654
MGH53_P1_F06	NA	black	0	0	0.088142
MGH53_P1_D02	NA	black	0	0	0.5509
MGH36_P9_D01	-0.723671117944	black	0	0.50487	3.1045
MGH36_P6_F02	18.3405276262	black	0	3.6448	6.2256
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	-3.32376285654	black	0	0.14666	4.8665
