Cell_name	Zvalue	Color	Cluster	BRCA1	MDM2
MGH36_P6_A12	NA	black	0	0	0.19156
MGH36_P6_H09	NA	black	0	0	3.3188
MGH53_P4_G04	NA	black	0	0	1.0151
MGH36_P10_G12	NA	black	0	0	3.3052
MGH53_P2_H12	-0.442369831826	red	1	0.15834	3.4352
MGH53_P4_D10	0.368853368523	red	1	0.34369	0.33571
MGH53_P4_D01	NA	black	0	0	2.6902
MGH36_P6_B07	NA	black	0	0	1.4271
MGH36_P10_B12	NA	black	0	0	0.55287
MGH53_P2_G11	NA	black	0	0	1.2473
MGH53_P1_E04	NA	black	0	0	4.2236
MGH54_P2_C12	-0.369314396891	red	1	0.12433	3.1509
MGH53_P4_B07	NA	black	0	0	3.0697
MGH53_P4_F09	-0.751554331391	red	1	0.31499	5.2032
MGH36_P2_H11	NA	black	0	0	3.0199
MGH36_P5_A11	NA	black	0	0	0.76977
MGH53_P1_A09	-0.424718107424	red	1	0.45838	4.826
MGH53_P2_B02	-0.703751731116	red	1	0.37407	5.4859
MGH53_P4_E04	-0.4746210551	red	1	0.33228	4.1723
MGH53_P4_D08	-0.298915430591	red	1	0.18015	3.0407
MGH36_P1_F07	0.38411821303	red	1	0.075875	1.0559
MGH53_P2_E11	-0.0514786184059	red	1	0.62574	3.1079
MGH36_P1_G06	NA	black	0	0	0.18269
MGH36_P6_F03	NA	black	0	0	0.57434
MGH54_P2_H06	-0.889920955081	red	1	0.2916	5.5614
MGH36_P8_H12	NA	black	0	0	5.2549
MGH53_P1_B06	NA	black	0	0	4.6999
MGH53_P4_F12	0.467296902364	green3	2	0.18396	0.56169
MGH53_P4_G12	0.370832774662	red	1	0.28688	0.57531
MGH53_P2_E08	NA	black	0	0	2.2197
MGH53_P1_F06	NA	black	0	0	4.0687
MGH53_P1_D02	NA	black	0	0	4.1383
MGH36_P9_D01	-0.34998650467	red	1	0.50487	4.8306
MGH36_P6_F02	-2.79682815268	black	0	3.6448	0.53207
MGH53_P2_E07	NA	black	0	0	2.3138
MGH53_P4_H08	0.109467289986	red	1	0.14666	1.7617
MGH36_P6_F11	NA	black	0	0	0.53007
MGH36_P8_C08	NA	black	0	0	2.8697
MGH53_P2_D10	NA	black	0	0	6.0585
MGH53_P4_D03	-1.24907891203	red	1	0.25217	6.5115
MGH53_P2_C04	NA	black	0	0	3.2684
MGH53_P1_E08	0.195285549549	red	1	0.42223	0.9115
MGH54_P2_A08	-0.249399563233	red	1	0.40599	3.4618
MGH36_P4_H07	NA	black	0	0	4.8132
MGH36_P9_D06	NA	black	0	0	2.7104
MGH53_P4_C04	NA	black	0	0	0.08134
MGH53_P1_E10	NA	black	0	0	0.27858
MGH53_P2_E09	0.265869721269	red	1	0.38626	0.66175
MGH36_P3_C10	0.4388535163	green3	2	0.29278	0.26303
MGH53_P2_F01	NA	black	0	0	4.2389
MGH53_P4_H05	8.27999596014	black	0	4.7551	5.63
MGH53_P4_G10	-0.415804701873	red	1	0.27977	3.7044
MGH54_P2_D07	0.52895203652	green3	2	0.15186	0.45943
MGH53_P2_D09	NA	black	0	0	0.14535
MGH53_P1_D09	NA	black	0	0	0.65901
MGH54_P2_B08	NA	black	0	0	4.2514
MGH54_P2_G05	NA	black	0	0	0.83026
MGH53_P2_F06	0.047377376849	red	1	0.32884	1.8824
MGH36_P3_E01	0.428385107646	green3	2	0.2302	0.5509
MGH36_P5_E12	0.104470415803	red	1	0.38294	1.546
MGH53_P4_A12	-1.77785386601	black	0	0.16092	7.3368
MGH36_P9_F01	NA	black	0	0	0.71105
MGH36_P3_H10	NA	black	0	0	3.0054
MGH36_P3_H02	NA	black	0	0	0.25942
MGH36_P5_C10	-0.812280445027	red	1	0.46989	7.3005
MGH54_P2_B05	NA	black	0	0	2.0625
MGH36_P2_F09	-1.24408056966	red	1	0.07861	5.3456
MGH53_P4_A05	0.489792162209	green3	2	0.1635	0.54893
MGH54_P2_H10	-1.16545924383	red	1	0.14012	5.459
MGH53_P4_E06	-0.293735665831	red	1	0.22404	3.108
MGH53_P4_D12	NA	black	0	0	0.2916
MGH54_P2_H07	-0.858302392168	red	1	0.29042	5.4339
MGH53_P2_E03	-0.598623757079	red	1	0.21909	4.1194
MGH53_P1_A05	-0.716643362558	red	1	0.12565	4.1342
MGH36_P7_D12	0.478176320171	green3	2	0.1137	0.71545
MGH53_P4_H03	NA	black	0	0	3.9397
MGH53_P2_E05	NA	black	0	0	3.0397
MGH36_P4_H11	NA	black	0	0	1.5145
MGH53_P1_B01	-0.288656187537	red	1	0.31267	3.3099
MGH54_P2_G03	NA	black	0	0	3.4775
MGH53_P2_F12	NA	black	0	0	3.0234
MGH36_P4_C09	-0.488302500393	red	1	0.24489	3.8418
MGH36_P5_C08	-0.560407324281	red	1	0.21288	3.9694
MGH36_P4_H06	0.551481730181	green3	2	0.21039	0.18015
MGH36_P10_E01	NA	black	0	0	0.74416
MGH36_P8_E12	-0.0849954175492	red	1	0.18015	2.364
MGH53_P2_C10	0.508818108638	green3	2	0.15445	0.51501
MGH36_P4_H08	NA	black	0	0	3.365
MGH36_P7_F07	-0.5545823286	red	1	0.1137	3.6472
MGH54_P2_A09	5.23695432741	black	0	3.7669	5.0437
MGH36_P6_H11	-0.915315607371	red	1	0.21288	5.1233
MGH53_P2_E12	0.23443426953	red	1	0.46048	0.42975
MGH53_P1_F08	NA	black	0	0	3.7261
MGH36_P6_D12	-0.582914113135	red	1	0.18903	3.9564
MGH36_P2_H09	0.48979472171	green3	2	0.20664	0.41143
MGH53_P1_C01	NA	black	0	0	6.0177
MGH53_P2_F11	NA	black	0	0	1.8396
MGH36_P6_H04	-0.344030245575	red	1	0.2857	3.449
MGH36_P5_G05	-1.32834926272	red	1	0.077243	5.5534
MGH53_P4_B04	NA	black	0	0	2.2101
MGH53_P1_E05	NA	black	0	0	3.8347
MGH36_P10_A08	NA	black	0	0	2.1463
