Cell_name	Zvalue	Color	Cluster	BRCA1	MTA1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0.15834	0
MGH53_P4_D10	NA	black	0	0.34369	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0.5724
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0.12433	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0.31499	0
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	-0.684255714519	red	1	0.45838	3.5734
MGH53_P2_B02	NA	black	0	0.37407	0
MGH53_P4_E04	NA	black	0	0.33228	0
MGH53_P4_D08	-0.399396210029	green3	2	0.18015	1.8895
MGH36_P1_F07	NA	black	0	0.075875	0
MGH53_P2_E11	-0.174285172716	green3	2	0.62574	3.0564
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0.2916	0
MGH36_P8_H12	NA	black	0	0	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0.18396	0
MGH53_P4_G12	NA	black	0	0.28688	0
MGH53_P2_E08	NA	black	0	0	1.473
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0.50487	0
MGH36_P6_F02	NA	black	0	3.6448	0
MGH53_P2_E07	NA	black	0	0	0.65627
MGH53_P4_H08	NA	black	0	0.14666	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0.25217	0
MGH53_P2_C04	NA	black	0	0	0.89918
MGH53_P1_E08	NA	black	0	0.42223	0
MGH54_P2_A08	NA	black	0	0.40599	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	1.1972
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0.38626	0
MGH36_P3_C10	NA	black	0	0.29278	0
MGH53_P2_F01	NA	black	0	0	2.2354
MGH53_P4_H05	NA	black	0	4.7551	0
MGH53_P4_G10	NA	black	0	0.27977	0
MGH54_P2_D07	NA	black	0	0.15186	0
MGH53_P2_D09	NA	black	0	0	2.406
MGH53_P1_D09	NA	black	0	0	0
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0.32884	0
MGH36_P3_E01	NA	black	0	0.2302	0
MGH36_P5_E12	NA	black	0	0.38294	0
MGH53_P4_A12	NA	black	0	0.16092	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	NA	black	0	0.46989	0
MGH54_P2_B05	NA	black	0	0	0
MGH36_P2_F09	NA	black	0	0.07861	0
MGH53_P4_A05	NA	black	0	0.1635	0
MGH54_P2_H10	0.0599905995491	green3	2	0.14012	1.0531
MGH53_P4_E06	NA	black	0	0.22404	0
MGH53_P4_D12	NA	black	0	0	0
