Cell_name	Zvalue	Color	Cluster	BRCA1	RBL1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	0.295338587868	blue	3	0.15834	0.048236
MGH53_P4_D10	0.110688742047	blue	3	0.34369	0.3505
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0.43296
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0.39726
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	0.249819357795	blue	3	0.12433	0.20789
MGH53_P4_B07	NA	black	0	0	0.55483
MGH53_P4_F09	0.104809881015	blue	3	0.31499	0.41143
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0.76043
MGH53_P1_A09	-0.00998661854649	blue	3	0.45838	0.83835
MGH53_P2_B02	0.13962924277	blue	3	0.37407	0.15186
MGH53_P4_E04	0.068145372776	blue	3	0.33228	0.53107
MGH53_P4_D08	0.193119009656	blue	3	0.18015	0.28806
MGH36_P1_F07	0.342175763873	blue	3	0.075875	0.056584
MGH53_P2_E11	0.00372099482737	blue	3	0.62574	0.54696
MGH36_P1_G06	NA	black	0	0	0.49467
MGH36_P6_F03	NA	black	0	0	0.39287
MGH54_P2_H06	NA	black	0	0.2916	0
MGH36_P8_H12	NA	black	0	0	0.35389
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	0.163429909929	blue	3	0.18396	0.36177
MGH53_P4_G12	-1.15732895571	black	0	0.28688	3.3077
MGH53_P2_E08	NA	black	0	0	3.0505
MGH53_P1_F06	NA	black	0	0	0.14926
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0.50487	0
MGH36_P6_F02	-0.741221484907	black	0	3.6448	0.71984
MGH53_P2_E07	NA	black	0	0	0.45733
MGH53_P4_H08	0.172176529708	blue	3	0.14666	0.37072
MGH36_P6_F11	NA	black	0	0	0.71017
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	0.111202628576	blue	3	0.25217	0.44996
MGH53_P2_C04	NA	black	0	0	0.15445
MGH53_P1_E08	0.0792114574735	blue	3	0.42223	0.36401
MGH54_P2_A08	0.125379553162	blue	3	0.40599	0.13093
MGH36_P4_H07	NA	black	0	0	0.18142
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0.33342
MGH53_P2_E09	0.116777098611	blue	3	0.38626	0.23879
MGH36_P3_C10	0.125990092427	blue	3	0.29278	0.36177
MGH53_P2_F01	NA	black	0	0	0.20289
MGH53_P4_H05	NA	black	0	4.7551	0
MGH53_P4_G10	0.196472290148	blue	3	0.27977	0.13225
MGH54_P2_D07	NA	black	0	0.15186	0
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	0	0.23389
MGH54_P2_B08	NA	black	0	0	1.6713
MGH54_P2_G05	NA	black	0	0	0.12697
MGH53_P2_F06	0.126493153701	blue	3	0.32884	0.30918
MGH36_P3_E01	0.150399973799	blue	3	0.2302	0.35389
MGH36_P5_E12	0.122364660967	blue	3	0.38294	0.21785
MGH53_P4_A12	0.143314796233	blue	3	0.16092	0.42975
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	2.1124
