Cell_name	Zvalue	Color	Cluster	BRCA1	STAT3
MGH36_P6_A12	NA	black	0	0	4.3499
MGH36_P6_H09	NA	black	0	0	4.2076
MGH53_P4_G04	NA	black	0	0	0.31267
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	-0.571218745041	red	1	0.15834	4.0941
MGH53_P4_D10	0.29689665449	red	1	0.34369	0.63134
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0.53007
MGH36_P10_B12	NA	black	0	0	0.65076
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	-0.699221634309	red	1	0.12433	4.3749
MGH53_P4_B07	NA	black	0	0	3.515
MGH53_P4_F09	-0.709992730391	red	1	0.31499	5.3589
MGH36_P2_H11	NA	black	0	0	0.077243
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	-0.44120965879	red	1	0.45838	5.1951
MGH53_P2_B02	0.346268989321	red	1	0.37407	0.16221
MGH53_P4_E04	-0.478050336118	red	1	0.33228	4.4692
MGH53_P4_D08	0.519411342336	green3	2	0.18015	0.31267
MGH36_P1_F07	-0.972639421806	red	1	0.075875	4.9724
MGH53_P2_E11	0.0663684438453	red	1	0.62574	0.26183
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	4.0858
MGH54_P2_H06	NA	black	0	0.2916	0
MGH36_P8_H12	NA	black	0	0	3.3883
MGH53_P1_B06	NA	black	0	0	2.8506
MGH53_P4_F12	-0.882029023117	red	1	0.18396	5.1995
MGH53_P4_G12	-0.637585891329	red	1	0.28688	4.8872
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	4.6999
MGH53_P1_D02	NA	black	0	0	3.3336
MGH36_P9_D01	-0.140331118202	red	1	0.50487	3.4464
MGH36_P6_F02	-3.08002863028	black	0	3.6448	0.3584
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	0.498511650105	green3	2	0.14666	0.50691
MGH36_P6_F11	NA	black	0	0	4.7856
MGH36_P8_C08	NA	black	0	0	4.8193
MGH53_P2_D10	NA	black	0	0	0.20539
MGH53_P4_D03	NA	black	0	0.25217	0
MGH53_P2_C04	NA	black	0	0	3.8655
MGH53_P1_E08	NA	black	0	0.42223	0
MGH54_P2_A08	-0.589700140408	red	1	0.40599	5.531
MGH36_P4_H07	NA	black	0	0	1.8883
MGH36_P9_D06	NA	black	0	0	4.2729
MGH53_P4_C04	NA	black	0	0	3.9941
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0.38626	0
MGH36_P3_C10	-0.732639842188	red	1	0.29278	5.3001
MGH53_P2_F01	NA	black	0	0	4.4016
MGH53_P4_H05	-2.44713724438	black	0	4.7551	1.206
MGH53_P4_G10	0.276592189369	red	1	0.27977	0.97746
MGH54_P2_D07	0.568933870376	green3	2	0.15186	0.23756
MGH53_P2_D09	NA	black	0	0	0.94486
MGH53_P1_D09	NA	black	0	0	5.9656
MGH54_P2_B08	NA	black	0	0	4.6787
MGH54_P2_G05	NA	black	0	0	0.45418
MGH53_P2_F06	-0.437871298657	red	1	0.32884	4.2716
MGH36_P3_E01	0.392154937541	green3	2	0.2302	0.63413
MGH36_P5_E12	0.343518444041	red	1	0.38294	0.11636
MGH53_P4_A12	-0.36548437679	red	1	0.16092	3.4358
MGH36_P9_F01	NA	black	0	0	0.9568
MGH36_P3_H10	NA	black	0	0	0.21039
MGH36_P3_H02	NA	black	0	0	2.1263
MGH36_P5_C10	0.239434484204	red	1	0.46989	0.17505
MGH54_P2_B05	NA	black	0	0	0.35163
MGH36_P2_F09	0.631428797031	green3	2	0.07861	0.28333
MGH53_P4_A05	0.527208387471	green3	2	0.1635	0.34596
MGH54_P2_H10	0.617873621669	green3	2	0.14012	0.10836
MGH53_P4_E06	0.200176907752	red	1	0.22404	1.4319
MGH53_P4_D12	NA	black	0	0	3.0839
MGH54_P2_H07	0.418386290497	green3	2	0.29042	0.25942
