Cell_name	Zvalue	Color	Cluster	CCL5	IRF1
MGH36_P6_A12	-1.34134318432	black	0	3.4788	0.75617
MGH36_P6_H09	-1.42904479911	black	0	1.3674	1.8131
MGH53_P4_G04	0.510743285084	green3	2	3.1726	1.9199
MGH36_P10_G12	-0.686104010121	red	1	3.7413	1.2185
MGH53_P2_H12	0.24961411067	green3	2	1.9709	0.8213
MGH53_P4_D10	0.975103102798	blue	3	3.1017	4.0495
MGH53_P4_D01	-0.222279010187	green3	2	3.8052	1.4484
MGH36_P6_B07	-0.378733484544	green3	2	2.0704	1.7207
MGH36_P10_B12	0.165636246247	green3	2	3.363	1.5782
MGH53_P2_G11	-0.453944781428	green3	2	2.0218	1.748
MGH53_P1_E04	-0.194877403297	green3	2	2.7439	0.99422
MGH54_P2_C12	0.231620085922	green3	2	1.7527	0.93055
MGH53_P4_B07	0.227446076363	green3	2	3.0815	1.6466
MGH53_P4_F09	0.39357459979	green3	2	3.5293	1.7307
MGH36_P2_H11	0.479305622212	green3	2	1.8032	0.62761
MGH36_P5_A11	-0.35921235413	green3	2	3.8319	1.3956
MGH53_P1_A09	0.799276449367	blue	3	3.7655	1.9392
MGH53_P2_B02	-0.338114235972	green3	2	3.5966	1.3294
MGH53_P4_E04	0.0342068082329	green3	2	2.3153	1.0489
MGH53_P4_D08	-0.0276998828932	green3	2	2.4867	1.0573
MGH36_P1_F07	1.400519755	black	0	1.0628	0.33113
MGH53_P2_E11	0.125688909225	green3	2	4.1423	1.6617
MGH36_P1_G06	0.196793923146	green3	2	1.9745	0.90689
MGH36_P6_F03	0.118881648013	green3	2	3.2203	1.5331
MGH54_P2_H06	1.7621952175	black	0	3.6306	2.606
MGH36_P8_H12	-0.303101132631	green3	2	2.8428	0.94935
MGH53_P1_B06	-0.688560325543	red	1	2.7949	0.46884
MGH53_P4_F12	0.752278048477	blue	3	3.3828	2.0218
MGH53_P4_G12	1.35739007846	black	0	3.9351	2.184
MGH53_P2_E08	-1.57590502768	black	0	3.3748	0.54893
MGH53_P1_F06	0.415650978442	green3	2	3.255	1.787
MGH53_P1_D02	-0.848697547421	red	1	3.7432	1.1473
MGH36_P9_D01	0.33625361588	green3	2	3.0661	1.7816
MGH36_P6_F02	-0.0041846833622	green3	2	2.9281	1.3724
MGH53_P2_E07	-0.817945921792	red	1	3.0314	0.66812
MGH53_P4_H08	0.109464296034	green3	2	3.3847	1.541
MGH36_P6_F11	0.0397186384523	green3	2	3.0305	1.441
MGH36_P8_C08	-0.0873116861436	green3	2	3.4456	1.4249
MGH53_P2_D10	-0.182553527517	green3	2	2.6494	0.89763
MGH53_P4_D03	2.59791403899	black	0	3.6221	3.3587
MGH53_P2_C04	-0.335547284854	green3	2	2.8791	0.94711
MGH53_P1_E08	5.44854835492	black	0	4.0703	4.5643
MGH54_P2_A08	-0.0430794388216	green3	2	3.0769	1.3646
MGH36_P4_H07	0.0628379829537	green3	2	3.2716	1.4931
MGH36_P9_D06	-0.229559561084	green3	2	2.8115	1.0115
MGH53_P4_C04	-0.414077414569	green3	2	2.9132	0.89685
MGH53_P1_E10	-0.496070510003	green3	2	3.5509	1.2296
MGH53_P2_E09	-0.0162451441985	green3	2	3.046	1.384
MGH36_P3_C10	-0.118440871867	green3	2	3.0156	1.269
MGH53_P2_F01	0.0149016375554	green3	2	2.731	1.373
MGH53_P4_H05	2.12521041218	black	0	3.5647	3.0204
MGH53_P4_G10	0.891006137142	blue	3	3.4956	2.0714
MGH54_P2_D07	-0.226129580547	green3	2	3.037	1.1731
MGH53_P2_D09	0.0231374485623	green3	2	2.3511	1.0356
MGH53_P1_D09	0.0544575830809	green3	2	2.1944	1.0888
MGH54_P2_B08	-0.0471738414811	green3	2	2.3838	1.5395
MGH54_P2_G05	0.0220355372909	green3	2	2.319	1.1362
MGH53_P2_F06	-0.234581782167	green3	2	2.7951	0.98914
MGH36_P3_E01	0.0259653873983	green3	2	2.5756	1.472
MGH36_P5_E12	0.283217529483	green3	2	3.3433	1.664
MGH53_P4_A12	0.167892845515	green3	2	2.9659	1.6026
MGH36_P9_F01	-0.000635939194297	green3	2	2.3827	0.84077
MGH36_P3_H10	0.0140772428958	green3	2	3.0747	1.4206
MGH36_P3_H02	-0.910808800701	red	1	3.4998	0.98768
MGH36_P5_C10	-0.200232499871	green3	2	3.0996	1.2277
MGH54_P2_B05	-0.00129710016436	green3	2	2.3863	0.85758
MGH36_P2_F09	0.417673869656	green3	2	3.2019	1.8074
MGH53_P4_A05	-0.0906015896347	green3	2	3.4429	1.4222
MGH54_P2_H10	-0.417236044401	green3	2	3.2528	1.1362
MGH53_P4_E06	-0.19419432088	green3	2	1.9928	1.4383
MGH53_P4_D12	-0.322177005768	green3	2	3.2425	1.1979
MGH54_P2_H07	-0.0210672909813	green3	2	2.8472	1.3294
MGH53_P2_E03	-0.0744352546172	green3	2	2.5697	1.0257
MGH53_P1_A05	0.133298317971	green3	2	1.9268	1.0151
MGH36_P7_D12	-0.0976277382687	green3	2	2.4626	0.70664
MGH53_P4_H03	20.3465524208	black	0	7.6294	4.9831
MGH53_P2_E05	0.540551041836	green3	2	1.4993	0.72072
MGH36_P4_H11	-0.801352480932	red	1	3.0439	0.69421
MGH53_P1_B01	0.490753268112	green3	2	2.9618	3.7935
MGH54_P2_G03	0.0292240229944	green3	2	2.3426	0.9092
MGH53_P2_F12	0.577993299706	green3	2	1.6613	0.62199
MGH36_P4_C09	0.0068457860736	green3	2	2.3973	1.1401
MGH36_P5_C08	3.40971413153	black	0	3.7363	3.8576
MGH36_P4_H06	-0.25793379927	green3	2	2.7649	0.92524
MGH36_P10_E01	-0.0268762724105	green3	2	2.0707	1.2534
MGH36_P8_E12	-2.85493812767	black	0	1.6341	2.7717
MGH53_P2_C10	-0.455153422015	green3	2	3.1322	1.0363
MGH36_P4_H08	-4.15003148175	black	0	2.3632	5.0321
MGH36_P7_F07	0.00888622701539	green3	2	2.1283	1.2041
MGH54_P2_A09	-1.11846988661	black	0	2.6801	4.2598
MGH36_P6_H11	0.0384617797515	green3	2	2.3138	1.0122
MGH53_P2_E12	0.152263659146	green3	2	3.0034	1.5734
MGH53_P1_F08	-0.34807022711	green3	2	3.698	1.3584
MGH36_P6_D12	-0.101801772557	green3	2	2.5981	0.99422
MGH36_P2_H09	0.0411591714137	green3	2	3.6869	1.547
MGH53_P1_C01	0.0410756898485	green3	2	2.0783	1.1408
MGH53_P2_F11	-0.0114350649941	green3	2	2.5447	1.2351
MGH36_P6_H04	-0.465971579255	green3	2	3.3206	1.1395
MGH36_P5_G05	-0.0526494171236	green3	2	2.5388	1.0475
MGH53_P4_B04	-0.135452187828	green3	2	2.5864	0.89453
MGH53_P1_E05	0.0360918150176	green3	2	2.3039	1.0614
MGH36_P10_A08	0.514880685606	green3	2	1.0711	0.77568
MGH36_P9_G01	-0.723043853357	red	1	2.1457	2.2016
MGH53_P4_A06	0.510221183537	green3	2	3.0169	2.0932
MGH36_P6_B09	NA	black	0	1.7018	0
MGH54_P2_D09	6.01216687121	black	0	4.4662	3.9456
MGH53_P1_E06	0.329829490856	green3	2	2.0165	0.58976
MGH36_P4_A10	0.0632293051012	green3	2	2.7893	1.474
MGH36_P6_B02	0.0690199551713	green3	2	2.1988	1.0405
MGH53_P4_G06	-0.168473467152	green3	2	2.5482	0.7433
MGH36_P8_F01	-0.792431041667	red	1	2.384	2.8335
MGH36_P9_F06	-0.399678105106	green3	2	2.6371	0.52707
MGH36_P5_H04	0.385826052488	green3	2	2.8588	2.281
MGH53_P1_B03	0.0613669307748	green3	2	2.2937	0.80653
MGH53_P2_D05	0.106164605418	green3	2	3.2749	1.5271
MGH36_P4_G12	-0.272444605025	green3	2	2.8001	0.94411
MGH53_P2_D11	-0.187814851319	green3	2	2.6288	0.85599
MGH53_P4_C02	0.450523347075	green3	2	1.5617	0.77484
MGH53_P4_F04	-0.221072310561	green3	2	2.8828	1.0813
MGH36_P3_D10	-0.0196727966402	green3	2	2.2606	1.3086
MGH54_P2_F04	-4.3566784756	black	0	1.903	3.9289
MGH36_P6_A03	-0.23526614198	green3	2	2.8005	0.99349
MGH53_P1_F07	-5.69043953435	black	0	5.5839	0.82293
MGH36_P5_H08	-0.109009002743	green3	2	2.5902	0.96421
MGH54_P2_A04	-0.137707497007	green3	2	3.081	1.2762
MGH53_P4_E11	0.299787441687	green3	2	1.9126	0.7866
MGH53_P2_G03	-0.0862508899739	green3	2	2.2129	1.4372
MGH36_P3_F04	-0.486798270741	green3	2	2.7727	0.64893
MGH54_P2_B02	-1.54529943067	black	0	3.1095	6.6996
MGH36_P5_C07	-1.76721572085	black	0	4.1152	0.98623
MGH53_P2_E02	-0.692249809075	red	1	2.1506	2.1789
MGH54_P2_F09	0.909989958589	blue	3	1.2904	0.53107
MGH36_P3_D05	-3.52154966303	black	0	1.85	3.4429
MGH36_P5_F12	-0.174453868715	green3	2	2.6517	0.91609
MGH53_P2_H09	0.174344057176	green3	2	3.0264	1.5965
MGH54_P2_F07	-8.0155203633e-05	green3	2	2.3962	0.93282
MGH36_P5_D10	-0.0353178743223	green3	2	2.745	1.2702
MGH54_P2_F11	-0.132699474404	green3	2	2.4515	0.56852
MGH53_P2_H04	-14.5915686254	black	0	8.2634	0.90689
MGH36_P6_F09	0.0959383877791	green3	2	2.1773	0.97379
MGH36_P9_F05	0.231587948306	green3	2	2.779	1.9829
MGH36_P8_G11	0.859700741098	blue	3	1.6581	0.32308
MGH54_P2_A07	-0.0378811191847	green3	2	1.9512	1.2333
MGH36_P7_H06	0.0583921662214	green3	2	2.2479	1.0286
MGH53_P1_A01	-0.0720033690851	green3	2	2.1336	1.355
MGH53_P1_A02	2.32331458784	black	0	3.552	3.2653
MGH54_P2_E07	0.0412922093913	green3	2	2.1097	1.1395
MGH53_P4_F07	-0.122322518196	green3	2	2.6688	1.0391
MGH53_P2_C05	-2.08388274831	black	0	5.0595	1.3109
MGH53_P4_H07	-0.126340380336	green3	2	2.6697	1.0321
MGH53_P2_C06	1.0840639951	black	0	3.1102	3.2769
MGH36_P3_F03	-0.220643431783	green3	2	2.9271	1.113
MGH36_P2_A10	0.0540680522095	green3	2	2.7038	1.4803
MGH53_P4_E03	NA	black	0	5.5611	0
MGH36_P9_D12	-0.325944682453	green3	2	1.9426	1.544
MGH54_P2_H03	0.177324546743	green3	2	1.9672	0.94111
MGH36_P4_D06	0.00171790800074	green3	2	2.9486	1.384
MGH53_P2_B03	-0.574465748765	red	1	2.8821	0.70399
MGH53_P4_F03	0.180469597616	green3	2	1.9888	0.926
MGH36_P10_E09	0.122195369572	green3	2	2.1776	0.88049
MGH53_P1_G02	-0.482235884601	green3	2	3.0846	0.98112
MGH54_P2_A02	0.101665600257	green3	2	2.7935	1.5553
MGH36_P3_A07	-0.228219965436	green3	2	2.8221	1.0229
MGH53_P4_E12	-4.02464832007	black	0	1.7351	3.4563
MGH54_P2_A03	-0.0943206083251	green3	2	2.5258	0.8844
MGH53_P4_E10	0.00326747124872	green3	2	2.3923	1.2339
MGH54_P2_D08	0.197559118447	green3	2	2.0772	0.81476
MGH36_P8_A02	NA	black	0	0	1.4489
MGH54_P2_B07	-6.0207508151	black	0	6.7703	1.2833
MGH53_P1_B10	-0.405275034965	green3	2	2.9688	0.95606
MGH53_P2_F08	-0.777101486614	red	1	3.0645	0.73379
MGH36_P10_A01	0.261019027858	green3	2	1.7916	0.8922
MGH36_P10_F01	-0.0762031453784	green3	2	2.2041	1.4093
MGH53_P4_G03	-0.796890764073	red	1	3.3885	0.97966
MGH53_P1_F12	1.16662872594	black	0	1.0566	0.45523
MGH36_P4_B03	2.15656506115	black	0	3.4912	3.2606
MGH54_P2_C07	0.258891627997	green3	2	2.0834	0.62199
MGH53_P1_B02	-0.159860107736	green3	2	2.9473	1.1928
MGH54_P2_D05	-0.208201344863	green3	2	1.7411	1.3214
MGH53_P2_C08	-0.0140888862447	green3	2	2.3547	0.58496
MGH53_P4_H09	-0.605579396212	red	1	2.8838	0.67627
MGH36_P8_H02	NA	black	0	0	1.5811
MGH36_P10_H10	0.493614689165	green3	2	1.7782	0.63134
MGH53_P1_A12	-0.0105674509443	green3	2	2.4177	0.94785
MGH36_P8_F08	0.255968758369	green3	2	1.7368	0.9092
MGH53_P1_D10	0.0895851345045	green3	2	2.2461	0.8504
MGH53_P4_A09	0.765010865209	blue	3	3.2922	2.0936
MGH53_P2_H08	-0.915987394214	red	1	3.195	0.76043
MGH36_P4_A09	-0.0458368347855	green3	2	2.4095	1.5898
MGH53_P4_C08	0.0747751340521	green3	2	2.2747	0.80735
MGH36_P5_E04	0.587682186221	green3	2	2.9347	2.987
MGH53_P2_A07	0.018722005575	green3	2	2.9991	1.4131
MGH54_P2_G10	0.0911028157654	green3	2	2.2225	0.91915
MGH36_P7_E06	-0.031767266269	green3	2	2.9484	1.3426
MGH36_P9_D04	0.577722184399	green3	2	1.8135	0.47923
MGH53_P1_C12	-0.0463269689593	green3	2	2.6276	1.175
MGH36_P8_F06	-1.38927013556	black	0	0.91227	1.5165
MGH36_P1_G11	1.60818582691	black	0	0.80653	0.31267
MGH53_P1_F02	-0.027889292671	green3	2	2.3997	0.74932
MGH54_P2_D10	0.182559608158	green3	2	2.0952	0.82782
MGH36_P9_A08	0.328953425896	green3	2	2.0625	0.43403
MGH53_P2_H03	0.0133249049266	green3	2	2.3606	1.1506
MGH53_P4_B03	0.00735644785711	green3	2	2.353	1.2141
MGH53_P1_F10	-0.0106062622527	green3	2	2.4327	1.0144
MGH53_P4_B05	-1.16998462363	black	0	3.8613	1.0711
MGH53_P2_B08	0.492794779184	green3	2	1.5714	0.73812
MGH36_P3_B06	-0.226228913924	green3	2	3.0675	1.189
MGH36_P10_C02	0.224999381868	green3	2	1.8887	0.90458
MGH36_P2_E05	0.0558770814759	green3	2	2.1928	1.0854
MGH54_P2_G09	0.0657676083884	green3	2	1.7689	1.0902
MGH54_P2_D12	0.285969587871	green3	2	1.6383	0.89608
MGH53_P2_H02	-0.103607096019	green3	2	2.4155	0.52306
MGH36_P8_F11	0.053643444222	green3	2	2.2945	0.93734
MGH53_P2_A10	0.0753312887709	green3	2	2.2732	0.81558
MGH54_P2_E09	-0.0631475241826	green3	2	2.546	1.0229
MGH36_P3_H06	-0.261426989603	green3	2	3.4456	1.3196
MGH36_P5_D05	0.0176739158163	green3	2	2.2723	1.184
MGH54_P2_A11	-0.0735386280128	green3	2	2.8199	1.2388
MGH54_P2_G04	-0.112162609029	green3	2	2.6844	1.0759
MGH36_P6_C01	-0.117773075564	green3	2	2.6128	0.97746
MGH53_P2_E06	-1.33810584045	black	0	3.1127	0.40272
MGH53_P1_E01	-6.31669118715	black	0	6.3041	1.0538
MGH36_P1_B01	0.0474470124787	green3	2	2.3036	0.95903
MGH54_P2_H04	0.00775048707143	green3	2	2.1349	1.2073
MGH36_P2_C05	-0.182024964353	green3	2	1.934	1.3896
MGH36_P6_H05	-0.0193409451337	green3	2	2.3816	1.4044
MGH36_P10_E06	-0.225517380037	green3	2	2.5286	0.57531
MGH54_P2_F03	-0.12243339817	green3	2	1.8867	1.3045
MGH36_P4_B10	-0.236968128466	green3	2	3.1301	1.2104
MGH54_P2_F02	-0.178812308633	green3	2	2.5658	2.578
MGH36_P2_E11	-0.133385819429	green3	2	2.6976	1.0489
MGH54_P2_D11	-0.0937306023894	green3	2	2.518	0.86869
MGH54_P2_G01	-0.131646112453	green3	2	2.1057	1.433
MGH36_P9_D02	-0.0288150365773	green3	2	2.2642	1.3374
MGH54_P2_E06	0.550801664063	green3	2	1.3033	0.7476
MGH54_P16_F12	0.0994682083214	green3	2	0.70133	0.90689
MGH53_P5_C12	-1.22856133954	black	0	3.3367	0.69866
MGH54_P12_C10	NA	black	0	2.6848	0
MGH54_P16_F02	-0.0203199170269	green3	2	2.4618	1.0384
MGH54_P11_C11	-0.187327154706	green3	2	2.9328	1.1538
MGH53_P1_E03	0.00768249182348	green3	2	1.9142	1.1706
MGH54_P15_D06	-2.98771668328	black	0	1.0335	2.1683
MGH54_P14_F05	0.84533192725	blue	3	1.2582	0.58015
MGH54_P16_A03	0.40875436466	green3	2	1.3329	0.83026
MGH53_P4_G11	0.168624652497	green3	2	2.0711	0.89064
MGH53_P7_B09	-6.99989494454	black	0	1.7163	4.554
MGH54_P17_D11	1.24112520059	black	0	1.0186	0.42761
MGH54_P10_G04	-0.616895489278	red	1	3.4416	1.1124
MGH54_P10_C06	0.259760033398	green3	2	2.8377	1.8961
MGH53_P2_A02	-0.0480073133195	green3	2	2.466	0.90072
MGH53_P4_F06	-1.19645244533	black	0	3.4647	0.81803
MGH53_P7_F07	-0.0772258180961	green3	2	2.5714	1.0201
MGH53_P11_F06	0.473627395582	green3	2	1.4098	0.78409
MGH53_P5_G02	0.113597077001	green3	2	3.5187	1.5602
MGH53_P1_F09	0.325968313865	green3	2	3.2317	1.7124
MGH53_P11_H03	-0.142962763936	green3	2	1.8242	1.2992
MGH53_P10_D11	-0.171760076847	green3	2	2.5193	0.66721
MGH53_P1_A10	0.903582158948	blue	3	1.4494	0.46467
