Cell_name	Zvalue	Color	Cluster	CD36	PPARA
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0.13619
MGH53_P4_G04	0.00399201442857	green3	2	0.24732	0.58207
MGH36_P10_G12	NA	black	0	0	0.30334
MGH53_P2_H12	-8.75854326018	black	0	5.3577	0.044044
MGH53_P4_D10	NA	black	0	0	0.62761
MGH53_P4_D01	NA	black	0	0	1.0321
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0.096262
MGH53_P2_G11	NA	black	0	0	0.045443
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0	0.26303
MGH53_P4_B07	0.0486015552922	green3	2	0.31499	0.5955
MGH53_P4_F09	NA	black	0	0	2.5457
MGH36_P2_H11	0.198134258062	green3	2	0.079975	0.038436
MGH36_P5_A11	NA	black	0	0	0.33457
MGH53_P1_A09	NA	black	0	0	0.20789
MGH53_P2_B02	NA	black	0	0	0.025738
MGH53_P4_E04	-0.0112287123927	green3	2	0.18269	0.46258
MGH53_P4_D08	0.0728886947261	green3	2	0.13619	0.19787
MGH36_P1_F07	NA	black	0	0	0.1776
MGH53_P2_E11	-0.0323239703008	green3	2	0.26664	0.13225
MGH36_P1_G06	0.190812899666	green3	2	0.049631	0.11103
MGH36_P6_F03	0.0244982152957	green3	2	0.1903	0.2558
MGH54_P2_H06	NA	black	0	0	0.13093
MGH36_P8_H12	NA	black	0	0	0
MGH53_P1_B06	NA	black	0	0	0.10165
MGH53_P4_F12	0.0794269677219	green3	2	0.14405	0.15834
MGH53_P4_G12	NA	black	0	0	0.4489
MGH53_P2_E08	NA	black	0	0	0.55876
MGH53_P1_F06	0.0626305068668	green3	2	0.13488	0.2302
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	0.0413180358985	green3	2	0.11636	0.30801
MGH36_P6_F11	-0.0152485356891	green3	2	0.24489	0.056584
MGH36_P8_C08	NA	black	0	0	0.17505
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0.096262
MGH53_P2_C04	NA	black	0	0	0.063503
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	0.30801
MGH36_P4_H07	NA	black	0	0	0.40926
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0.26424
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0	0.29631
MGH36_P3_C10	NA	black	0	0	1.3567
MGH53_P2_F01	0.0853620319234	green3	2	0.1003	0.22651
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0.22404	0
MGH54_P2_D07	NA	black	0	0	0.20289
MGH53_P2_D09	NA	black	0	0	0.092207
MGH53_P1_D09	NA	black	0	0	0.10299
MGH54_P2_B08	NA	black	0	0	0.063503
MGH54_P2_G05	NA	black	0	0	0.069015
MGH53_P2_F06	0.127331676066	green3	2	0.10299	0.13093
MGH36_P3_E01	-0.109463256193	green3	2	0.09356	0.61164
MGH36_P5_E12	0.217018795959	green3	2	0.05797	0.053806
MGH53_P4_A12	NA	black	0	0	0.32423
MGH36_P9_F01	NA	black	0	0.58015	0
MGH36_P3_H10	NA	black	0	0	0.3471
MGH36_P3_H02	NA	black	0	0	0.37184
MGH36_P5_C10	NA	black	0	0	0.38847
MGH54_P2_B05	NA	black	0	0	0.29278
MGH36_P2_F09	NA	black	0	0	0.3505
MGH53_P4_A05	NA	black	0	0	0.2228
MGH54_P2_H10	0.10305913857	green3	2	0.10969	0.17249
MGH53_P4_E06	-0.286342667827	black	0	0.47716	0.086784
MGH53_P4_D12	-2.02836001883	black	0	0.11103	3.6775
MGH54_P2_H07	NA	black	0	0	0.14666
MGH53_P2_E03	NA	black	0	0	0.21412
MGH53_P1_A05	NA	black	0	0	2.5775
MGH36_P7_D12	NA	black	0	0	0.060739
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	2.6339
MGH36_P4_H11	NA	black	0	0	0.23266
MGH53_P1_B01	NA	black	0	0.13881	0
MGH54_P2_G03	NA	black	0	0.15704	0
MGH53_P2_F12	NA	black	0	0	0.13093
MGH36_P4_C09	0.0852424761178	green3	2	0.097611	0.2302
MGH36_P5_C08	-0.0657960738571	green3	2	0.35952	0.26303
MGH36_P4_H06	NA	black	0	0	0.3173
MGH36_P10_E01	NA	black	0	0	0.1003
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	-0.00537735473073	green3	2	0.23389	0.61164
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	0	0.051024
MGH54_P2_A09	NA	black	0	0	0.19156
MGH36_P6_H11	NA	black	0	0	0.12035
MGH53_P2_E12	NA	black	0	0	0.34596
MGH53_P1_F08	NA	black	0	0	0.10969
MGH36_P6_D12	NA	black	0	0	0.1776
MGH36_P2_H09	0.0548005207394	green3	2	0.088142	0.29983
MGH53_P1_C01	NA	black	0	0	0.24853
MGH53_P2_F11	NA	black	0	0	2.1164
MGH36_P6_H04	NA	black	0	0	0.89375
MGH36_P5_G05	0.291469402315	green3	2	0.010064	0.032806
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	-0.227068494936	red	1	0.58304	0.23634
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0.16221
MGH53_P4_A06	0.0990220641154	green3	2	0.12697	0.14535
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	0.19283
MGH53_P1_E06	0.00585632274134	green3	2	0.22033	0.30685
MGH36_P4_A10	0.033781157752	green3	2	0.18903	0.20038
MGH36_P6_B02	NA	black	0	0	0.17505
MGH53_P4_G06	NA	black	0	0	0.10836
MGH36_P8_F01	NA	black	0	0	0.16221
MGH36_P9_F06	NA	black	0	0	0
MGH36_P5_H04	NA	black	0	0	0.042644
MGH53_P1_B03	0.153532938691	green3	2	0.10969	0.053806
MGH53_P2_D05	NA	black	0	0	0.26183
MGH36_P4_G12	NA	black	0	0	0.03984
MGH53_P2_D11	NA	black	0	0	0.54003
MGH53_P4_C02	NA	black	0	0	0.21288
MGH53_P4_F04	-0.0411681453037	green3	2	0.26784	0.077243
MGH36_P3_D10	NA	black	0	0	0.060739
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0.097611
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	NA	black	0	0	0.12961
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	-0.0321416153472	green3	2	0.26903	0.15056
MGH53_P2_G03	-0.821145166231	black	0	0.18903	3.0197
MGH36_P3_F04	NA	black	0	0	0.17121
MGH54_P2_B02	NA	black	0	0	0.4916
MGH36_P5_C07	0.120443201561	green3	2	0.069015	0.19912
MGH53_P2_E02	NA	black	0	0	0
MGH54_P2_F09	NA	black	0	0	0.044044
MGH36_P3_D05	NA	black	0	0	0.04684
MGH36_P5_F12	0.23074127637	green3	2	0.052416	0.042644
MGH53_P2_H09	NA	black	0	0	0.12168
MGH54_P2_F07	NA	black	0	0	0.16607
MGH36_P5_D10	NA	black	0	0	0.085425
MGH54_P2_F11	NA	black	0	0	0.044044
MGH53_P2_H04	NA	black	0	0	0.10165
MGH36_P6_F09	0.144239020167	green3	2	0.07861	0.14274
MGH36_P9_F05	NA	black	0	0	0.21537
MGH36_P8_G11	NA	black	0	0	0.1177
MGH54_P2_A07	-0.060754293778	green3	2	0.27977	0.048236
MGH36_P7_H06	NA	black	0	0	0.088142
MGH53_P1_A01	NA	black	0	0	0.14666
MGH53_P1_A02	NA	black	0	0	0.1776
MGH54_P2_E07	0.1914659659	green3	2	0.084064	0.041243
MGH53_P4_F07	0.124164202261	green3	2	0.1137	0.1137
MGH53_P2_C05	NA	black	0	0	0.069015
MGH53_P4_H07	NA	black	0	0.053806	0
MGH53_P2_C06	NA	black	0	0	2.6107
MGH36_P3_F03	NA	black	0	0	0.22897
MGH36_P2_A10	NA	black	0	0	0.075875
MGH53_P4_E03	NA	black	0	0.33457	0
MGH36_P9_D12	NA	black	0	0	1.9218
MGH54_P2_H03	NA	black	0	0	0.05797
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	1.3818
MGH53_P4_F03	0.141477134764	green3	2	0.1177	0.059355
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	0.30451
MGH54_P2_A02	-0.000281736329451	green3	2	0.301	0.40926
MGH36_P3_A07	NA	black	0	0	0.1003
MGH53_P4_E12	NA	black	0	0	0.14274
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0	0.14405
MGH54_P2_D08	NA	black	0	0	0.18777
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0.070389
MGH53_P1_B10	NA	black	0	0.1375	0
MGH53_P2_F08	NA	black	0	2.5678	0
MGH36_P10_A01	NA	black	0	0	0.15575
MGH36_P10_F01	-0.223704267784	red	1	0.12961	0.94261
MGH53_P4_G03	0.0763863799557	green3	2	0.14666	0.16092
MGH53_P1_F12	0.545988381068	black	0	0.34028	2.7572
MGH36_P4_B03	NA	black	0	0	0.23511
MGH54_P2_C07	NA	black	0	0	0.10434
MGH53_P1_B02	NA	black	0	0	0.16864
MGH54_P2_D05	0.11488863779	green3	2	0.13225	0.085425
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	NA	black	0	0	0.22527
MGH36_P8_H02	NA	black	0	0	0
