Cell_name	Zvalue	Color	Cluster	CDKN1B	ING4
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	3.9052	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0	4.3535
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	1.1865
MGH36_P10_B12	NA	black	0	0.65535	0
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0.63599	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	2.2175	0
MGH53_P1_A09	NA	black	0	0	5.5256
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	NA	black	0	0.77653	0
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	NA	black	0	0	1.2833
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	3.9832	0
MGH36_P8_H12	NA	black	0	0	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0
MGH53_P4_G12	NA	black	0	3.67	0
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	5.3596	0
MGH53_P1_D02	NA	black	0	5.7698	0
MGH36_P9_D01	NA	black	0	1.8404	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	5.1094
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	1.8282	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	3.7029	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	3.431	0
MGH53_P2_E09	NA	black	0	2.9973	0
