Cell_name	Zvalue	Color	Cluster	CLU	JUND
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	-2.13530402236	black	0	4.6911	3.7857
MGH53_P2_H12	NA	black	0	0	1.0573
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	5.4289	0
MGH36_P10_B12	-6.21232687212	black	0	2.4862	4.3809
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	1.7485
MGH54_P2_C12	-0.988454146179	green3	2	1.629	1.742
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	NA	black	0	0	0.19787
MGH36_P5_A11	1.9099689815	black	0	0.92524	0.25942
MGH53_P1_A09	NA	black	0	0	0
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	0.322277074847	green3	2	4.5797	0.7277
MGH53_P2_E11	NA	black	0	0	1.0405
MGH36_P1_G06	NA	black	0	0	0.12565
MGH36_P6_F03	NA	black	0	0	1.6007
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	1.8209	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0
MGH53_P4_G12	NA	black	0	0	3.6638
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	1.4766
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0.45943
MGH53_P2_E07	NA	black	0	0	1.4579
MGH53_P4_H08	NA	black	0	0	0.28096
MGH36_P6_F11	NA	black	0	0.1903	0
MGH36_P8_C08	0.310919213509	green3	2	0.94411	1.0517
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	1.364
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	1.359
MGH53_P1_E10	NA	black	0	0	4.2178
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0	0.74674
MGH53_P2_F01	NA	black	0	0	0.95233
MGH53_P4_H05	NA	black	0	0	1.8335
MGH53_P4_G10	NA	black	0	0	1.3202
MGH54_P2_D07	NA	black	0	0	0.30568
MGH53_P2_D09	NA	black	0	0	2.2091
MGH53_P1_D09	NA	black	0	0	3.5444
MGH54_P2_B08	NA	black	0	0	1.9034
MGH54_P2_G05	NA	black	0	0	0.79826
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	0.616944243612	green3	2	0.15316	0.89608
MGH36_P5_E12	NA	black	0	0	4.329
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	0	1.8335
MGH36_P3_H10	NA	black	0	0	2.8938
MGH36_P3_H02	NA	black	0	0	0.848
MGH36_P5_C10	NA	black	0	0	2.6344
MGH54_P2_B05	NA	black	0	0	1.3561
MGH36_P2_F09	NA	black	0	0	2.683
MGH53_P4_A05	NA	black	0	0	0.55483
MGH54_P2_H10	NA	black	0	0	0
MGH53_P4_E06	NA	black	0	0	0
