Cell_name	Zvalue	Color	Cluster	CPT1A	PPARA
MGH36_P6_A12	NA	black	0	0.24853	0
MGH36_P6_H09	NA	black	0	0	0.13619
MGH53_P4_G04	0.0884751914546	green3	2	1.5548	0.58207
MGH36_P10_G12	NA	black	0	0	0.30334
MGH53_P2_H12	-0.502533191129	red	1	1.8143	0.044044
MGH53_P4_D10	-0.223900159402	green3	2	0.24732	0.62761
MGH53_P4_D01	0.175144389487	green3	2	1.269	1.0321
MGH36_P6_B07	NA	black	0	0.49978	0
MGH36_P10_B12	-0.207860619788	green3	2	1.4087	0.096262
MGH53_P2_G11	0.129382472519	green3	2	0.81803	0.045443
MGH53_P1_E04	NA	black	0	0.93206	0
MGH54_P2_C12	-0.60690071634	red	1	2.8288	0.26303
MGH53_P4_B07	-0.133113371659	green3	2	0.45733	0.5955
MGH53_P4_F09	-1.49633953605	black	0	0.64339	2.5457
MGH36_P2_H11	0.474207957532	green3	2	0.24732	0.038436
MGH36_P5_A11	-0.0112595923275	green3	2	1.101	0.33457
MGH53_P1_A09	0.0915089487546	green3	2	0.78576	0.20789
MGH53_P2_B02	-0.101312384847	green3	2	1.1846	0.025738
MGH53_P4_E04	-0.0105179495187	green3	2	1.8596	0.46258
MGH53_P4_D08	0.0735252586304	green3	2	0.84318	0.19787
MGH36_P1_F07	0.377340933429	green3	2	0.073135	0.1776
MGH53_P2_E11	-0.122504085054	green3	2	1.281	0.13225
MGH36_P1_G06	0.293182313775	green3	2	0.4489	0.11103
MGH36_P6_F03	0.142262341104	green3	2	0.543	0.2558
MGH54_P2_H06	-0.228651580688	green3	2	1.489	0.13093
MGH36_P8_H12	NA	black	0	0.53306	0
MGH53_P1_B06	0.18035926199	green3	2	0.68706	0.10165
MGH53_P4_F12	-0.465125584616	red	1	2.0147	0.15834
MGH53_P4_G12	0.000711963958428	green3	2	0.96717	0.4489
MGH53_P2_E08	-0.0173423908872	green3	2	0.93734	0.55876
MGH53_P1_F06	0.265352637546	green3	2	0.19912	0.2302
MGH53_P1_D02	NA	black	0	1.9605	0
MGH36_P9_D01	NA	black	0	1.2827	0
MGH36_P6_F02	NA	black	0	0.70841	0
MGH53_P2_E07	NA	black	0	0.23634	0
MGH53_P4_H08	-0.885308318554	black	0	3.9718	0.30801
MGH36_P6_F11	-2.38717214585	black	0	4.4787	0.056584
MGH36_P8_C08	0.196733726738	green3	2	0.55385	0.17505
MGH53_P2_D10	NA	black	0	0.45101	0
MGH53_P4_D03	0.10686609811	green3	2	0.83188	0.096262
MGH53_P2_C04	0.136882328838	green3	2	0.79577	0.063503
MGH53_P1_E08	NA	black	0	0.79494	0
MGH54_P2_A08	0.171407223084	green3	2	0.18015	0.30801
MGH36_P4_H07	0.0268388284152	green3	2	0.58304	0.40926
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	0.143121045126	green3	2	0.51602	0.26424
MGH53_P1_E10	NA	black	0	0.98841	0
MGH53_P2_E09	-0.0091632762282	green3	2	1.0766	0.29631
MGH36_P3_C10	0.0373115879474	green3	2	1.1043	1.3567
MGH53_P2_F01	0.181579336611	green3	2	0.48646	0.22651
MGH53_P4_H05	NA	black	0	1.3505	0
MGH53_P4_G10	NA	black	0	0.72334	0
MGH54_P2_D07	0.18824943462	green3	2	0.52206	0.20289
MGH53_P2_D09	0.262135609715	green3	2	0.54003	0.092207
MGH53_P1_D09	-0.00986839589993	green3	2	1.0503	0.10299
MGH54_P2_B08	0.152845530185	green3	2	0.76808	0.063503
MGH54_P2_G05	0.36408687753	green3	2	0.38515	0.069015
MGH53_P2_F06	-1.21951150815	black	0	3.256	0.13093
MGH36_P3_E01	-0.191648187008	green3	2	0.29396	0.61164
MGH36_P5_E12	0.073530798005	green3	2	0.90766	0.053806
MGH53_P4_A12	-0.0821563196292	green3	2	1.4324	0.32423
MGH36_P9_F01	NA	black	0	0.57628	0
MGH36_P3_H10	0.0623711742669	green3	2	0.6332	0.3471
MGH36_P3_H02	-0.0739777257282	green3	2	1.5651	0.37184
MGH36_P5_C10	0.0573141831172	green3	2	0.35502	0.38847
MGH54_P2_B05	0.122535376405	green3	2	0.50894	0.29278
MGH36_P2_F09	-0.0498180035779	green3	2	1.3386	0.3505
MGH53_P4_A05	0.233435633936	green3	2	0.33228	0.2228
MGH54_P2_H10	-0.566185942567	red	1	2.266	0.17249
MGH53_P4_E06	-0.0252873019314	green3	2	1.0766	0.086784
MGH53_P4_D12	0.836017130311	cyan	4	1.3334	3.6775
MGH54_P2_H07	0.117262453685	green3	2	0.77737	0.14666
MGH53_P2_E03	0.214063989479	green3	2	0.419	0.21412
MGH53_P1_A05	-0.945442611358	black	0	0.82375	2.5775
MGH36_P7_D12	0.4220327115	green3	2	0.29514	0.060739
MGH53_P4_H03	NA	black	0	0.78409	0
MGH53_P2_E05	-2.56122904117	black	0	0.34255	2.6339
MGH36_P4_H11	-0.223939518446	green3	2	1.6704	0.23266
MGH53_P1_B01	NA	black	0	0.57434	0
