Cell_name	Zvalue	Color	Cluster	CREB1	FLT1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	-0.909427125976	red	1	0.24123	0.94561
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	0.651936278044	red	1	0.042644	0.067639
MGH53_P4_D10	NA	black	0	0.10434	0
MGH53_P4_D01	-1.43085202464	black	0	0.29631	1.2744
MGH36_P6_B07	-0.220814010376	red	1	0.13619	0.53107
MGH36_P10_B12	0.181676631469	red	1	0.18903	0.30217
MGH53_P2_G11	0.266484944317	red	1	0.15834	0.2558
MGH53_P1_E04	-1.85775126857	black	0	0.97306	3.0721
MGH54_P2_C12	NA	black	0	0	0
MGH53_P4_B07	0.595915593809	red	1	0.08134	0.085425
MGH53_P4_F09	-0.251325557664	red	1	0.13225	0.54696
MGH36_P2_H11	0.448511062291	red	1	0.36065	0.067639
MGH36_P5_A11	NA	black	0	0	0.53306
MGH53_P1_A09	-0.532264863195	red	1	0.21537	0.72247
MGH53_P2_B02	0.287242652443	red	1	0.082703	0.2558
MGH53_P4_E04	-0.00336447319477	red	1	0.59646	0.419
MGH53_P4_D08	NA	black	0	0.067639	0
MGH36_P1_F07	NA	black	0	0	1.7442
MGH53_P2_E11	NA	black	0	1.4265	0
MGH36_P1_G06	0.352304126206	red	1	0.048236	0.22651
MGH36_P6_F03	NA	black	0	0.071763	0
MGH54_P2_H06	-0.246934056517	red	1	0.22404	0.55974
MGH36_P8_H12	-1.32311622716	black	0	0.12565	1.0881
MGH53_P1_B06	2.5427423431	black	0	3.26	1.0724
MGH53_P4_F12	-1.31448313099	black	0	0.23756	1.1622
MGH53_P4_G12	0.102498003041	red	1	1.5787	0.53506
MGH53_P2_E08	-3.39179143231	black	0	0.22157	2.1401
MGH53_P1_F06	-1.09143835579	red	1	0.066261	0.94486
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	2.9379	0
MGH36_P6_F02	NA	black	0	0.1903	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	-0.0601885657969	red	1	1.7381	0.38184
MGH36_P6_F11	0.118305428121	red	1	0.096262	0.34596
MGH36_P8_C08	NA	black	0	1.8695	0
MGH53_P2_D10	2.85758641815	black	0	2.5175	1.5627
MGH53_P4_D03	NA	black	0	0.83269	0
MGH53_P2_C04	NA	black	0	0	0.57337
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0.1137	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0.31383	0
MGH53_P4_C04	NA	black	0	0	0.27023
MGH53_P1_E10	NA	black	0	0.29983	0
MGH53_P2_E09	NA	black	0	0	0.42546
MGH36_P3_C10	NA	black	0	0	0.51096
MGH53_P2_F01	-0.284893180038	red	1	2.16	0.29866
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	0.0751937578923	red	1	0.88518	0.18015
MGH54_P2_D07	NA	black	0	0.063503	0
MGH53_P2_D09	NA	black	0	0	0.53107
MGH53_P1_D09	NA	black	0	0.6173	0
MGH54_P2_B08	NA	black	0	0.16479	0
MGH54_P2_G05	-0.730023130451	red	1	2.5452	0.18396
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	0.196179519346	red	1	0.13356	0.29983
MGH36_P5_E12	0.0250146175851	red	1	0.05797	0.39616
MGH53_P4_A12	0.252478268267	red	1	0.070389	0.2762
