Cell_name	Zvalue	Color	Cluster	CREB1	SLC39A1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0.24123	0
MGH36_P10_G12	NA	black	0	0	1.0752
MGH53_P2_H12	NA	black	0	0.042644	0
MGH53_P4_D10	1.20806289352	green3	2	0.10434	0.99422
MGH53_P4_D01	NA	black	0	0.29631	0
MGH36_P6_B07	-0.922075634675	red	1	0.13619	5.6784
MGH36_P10_B12	NA	black	0	0.18903	0
MGH53_P2_G11	NA	black	0	0.15834	0
MGH53_P1_E04	0.00679603446771	red	1	0.97306	3.6579
MGH54_P2_C12	NA	black	0	0	0
MGH53_P4_B07	NA	black	0	0.08134	0
MGH53_P4_F09	NA	black	0	0.13225	0
MGH36_P2_H11	NA	black	0	0.36065	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	0.970712122328	red	1	0.21537	1.2588
MGH53_P2_B02	NA	black	0	0.082703	0
MGH53_P4_E04	NA	black	0	0.59646	0
MGH53_P4_D08	NA	black	0	0.067639	0
MGH36_P1_F07	NA	black	0	0	4.4128
MGH53_P2_E11	NA	black	0	1.4265	0
MGH36_P1_G06	NA	black	0	0.048236	0
MGH36_P6_F03	NA	black	0	0.071763	0
MGH54_P2_H06	NA	black	0	0.22404	0
MGH36_P8_H12	NA	black	0	0.12565	0
MGH53_P1_B06	1.85887358918	green3	2	3.26	5.7367
MGH53_P4_F12	NA	black	0	0.23756	0
MGH53_P4_G12	NA	black	0	1.5787	0
MGH53_P2_E08	-0.402301695515	red	1	0.22157	4.6885
MGH53_P1_F06	-0.691967541614	red	1	0.066261	5.1116
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	1.56918839744	green3	2	2.9379	5.7125
MGH36_P6_F02	NA	black	0	0.1903	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	-0.482892980643	red	1	1.7381	2.2898
MGH36_P6_F11	NA	black	0	0.096262	0
MGH36_P8_C08	0.208828472374	red	1	1.8695	4.3979
MGH53_P2_D10	NA	black	0	2.5175	0
MGH53_P4_D03	NA	black	0	0.83269	0
MGH53_P2_C04	NA	black	0	0	5.0638
MGH53_P1_E08	NA	black	0	0	5.1243
MGH54_P2_A08	NA	black	0	0.1137	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	-0.187674336026	red	1	0.31383	4.2437
MGH53_P4_C04	NA	black	0	0	5.6881
MGH53_P1_E10	-0.34152516145	red	1	0.29983	4.6271
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	2.16	0
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0.88518	0
MGH54_P2_D07	-1.43985558378	red	1	0.063503	6.5154
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	-0.428631387929	red	1	0.6173	5.5026
MGH54_P2_B08	-1.34837872178	red	1	0.16479	6.603
MGH54_P2_G05	0.489190726425	red	1	2.5452	4.5692
MGH53_P2_F06	NA	black	0	0	3.7118
MGH36_P3_E01	0.785926869102	red	1	0.13356	1.9389
MGH36_P5_E12	NA	black	0	0.05797	0
MGH53_P4_A12	NA	black	0	0.070389	0
MGH36_P9_F01	-0.432744097795	red	1	0.36065	4.9445
MGH36_P3_H10	NA	black	0	0	4.7298
MGH36_P3_H02	NA	black	0	0	0
