Cell_name	Zvalue	Color	Cluster	CREB1	STMN1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0.84077
MGH53_P4_G04	NA	black	0	0.24123	0
MGH36_P10_G12	NA	black	0	0	1.044
MGH53_P2_H12	1.64595767281	green3	2	0.042644	0.21039
MGH53_P4_D10	NA	black	0	0.10434	0
MGH53_P4_D01	1.04116728275	red	1	0.29631	0.96051
MGH36_P6_B07	1.46564243975	green3	2	0.13619	0.31383
MGH36_P10_B12	1.16924764789	green3	2	0.18903	0.98696
MGH53_P2_G11	1.43657195888	green3	2	0.15834	0.29983
MGH53_P1_E04	0.0382167322899	red	1	0.97306	3.8147
MGH54_P2_C12	NA	black	0	0	0.93206
MGH53_P4_B07	1.36054819684	green3	2	0.08134	0.83512
MGH53_P4_F09	1.24977133348	green3	2	0.13225	0.96125
MGH36_P2_H11	NA	black	0	0.36065	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0.21537	0
MGH53_P2_B02	1.54476005344	green3	2	0.082703	0.31962
MGH53_P4_E04	NA	black	0	0.59646	0
MGH53_P4_D08	1.26825627749	green3	2	0.067639	1.1309
MGH36_P1_F07	NA	black	0	0	0.092207
MGH53_P2_E11	-0.480908377567	red	1	1.4265	0.6173
MGH36_P1_G06	1.57141705409	green3	2	0.048236	0.38847
MGH36_P6_F03	1.4923315056	green3	2	0.071763	0.50995
MGH54_P2_H06	0.82389620608	red	1	0.22404	1.9279
MGH36_P8_H12	NA	black	0	0.12565	0
MGH53_P1_B06	-3.42534596889	black	0	3.26	0.37629
MGH53_P4_F12	NA	black	0	0.23756	0
MGH53_P4_G12	0.138616706698	red	1	1.5787	5.3009
MGH53_P2_E08	-0.746894877387	red	1	0.22157	6.2771
MGH53_P1_F06	1.48381091069	green3	2	0.066261	0.55483
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	0.423751274273	red	1	2.9379	5.0817
MGH36_P6_F02	-0.658063149895	red	1	0.1903	5.9974
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	0.202025131214	red	1	1.7381	5.3437
MGH36_P6_F11	1.53365232296	green3	2	0.096262	0.29278
MGH36_P8_C08	-1.14634283179	red	1	1.8695	0.56657
MGH53_P2_D10	-2.10610998366	black	0	2.5175	0.59455
MGH53_P4_D03	-0.333266737031	red	1	0.83269	6.6146
MGH53_P2_C04	NA	black	0	0	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-0.521460273599	red	1	0.1137	5.5586
MGH36_P4_H07	NA	black	0	0	1.0676
MGH36_P9_D06	0.218562740612	red	1	0.31383	3.6418
MGH53_P4_C04	NA	black	0	0	0.33342
MGH53_P1_E10	NA	black	0	0.29983	0
MGH53_P2_E09	NA	black	0	0	0.32654
MGH36_P3_C10	NA	black	0	0	0.24853
MGH53_P2_F01	0.28861223155	red	1	2.16	5.1814
MGH53_P4_H05	NA	black	0	0	0.38073
MGH53_P4_G10	0.318240967853	red	1	0.88518	0.27023
MGH54_P2_D07	NA	black	0	0.063503	0
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	0.6173	0
MGH54_P2_B08	-0.328496793279	red	1	0.16479	5.1434
MGH54_P2_G05	-1.99240882669	black	0	2.5452	0.85997
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0.13356	0
MGH36_P5_E12	NA	black	0	0.05797	0
MGH53_P4_A12	NA	black	0	0.070389	0
MGH36_P9_F01	0.936848771421	red	1	0.36065	1.0454
MGH36_P3_H10	NA	black	0	0	1.1661
MGH36_P3_H02	NA	black	0	0	0.73552
MGH36_P5_C10	-0.333240985923	red	1	0.33342	5.3281
MGH54_P2_B05	1.56508135079	green3	2	0.086784	0.24489
MGH36_P2_F09	NA	black	0	0	0.44042
MGH53_P4_A05	1.38433791175	green3	2	0.060739	0.84398
MGH54_P2_H10	NA	black	0	0	0.22527
MGH53_P4_E06	1.52613979143	green3	2	0.053806	0.48852
MGH53_P4_D12	1.47348363728	green3	2	0.060739	0.60407
MGH54_P2_H07	1.57360103897	green3	2	0.073135	0.27977
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	-3.09920190903	black	0	2.9773	0.20414
MGH36_P7_D12	1.65136420724	green3	2	0.045443	0.18396
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0.13488	0
MGH53_P1_B01	NA	black	0	0	0.52005
MGH54_P2_G03	1.5509583383	green3	2	0.07861	0.31962
MGH53_P2_F12	0.54230946092	red	1	2.5296	5.4841
MGH36_P4_C09	1.39626076508	green3	2	0.20289	0.21039
MGH36_P5_C08	NA	black	0	1.3488	0
MGH36_P4_H06	0.449119422197	red	1	0.79909	0.31846
MGH36_P10_E01	1.47260375726	green3	2	0.10165	0.44361
MGH36_P8_E12	NA	black	0	2.3868	0
MGH53_P2_C10	-2.79546113337	black	0	2.9098	0.46467
MGH36_P4_H08	NA	black	0	0.11902	0
MGH36_P7_F07	NA	black	0	0.76043	0
