Cell_name	Zvalue	Color	Cluster	CTNNB1	NELFCD
MGH36_P6_A12	2.17352959106	black	0	0.35163	2.1808
MGH36_P6_H09	NA	black	0	3.3604	0
MGH53_P4_G04	NA	black	0	4.3283	0
MGH36_P10_G12	-1.89898514777	black	0	5.4381	1.0229
MGH53_P2_H12	NA	black	0	5.3369	0
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	5.9926	0
MGH36_P6_B07	NA	black	0	2.897	0
MGH36_P10_B12	-3.82757704139	black	0	6.5037	0.38073
MGH53_P2_G11	-0.768911939643	green3	2	2.3871	5.2482
MGH53_P1_E04	-2.76373818184	black	0	5.7955	0.46467
MGH54_P2_C12	-0.0199386761693	green3	2	3.6145	4.1574
MGH53_P4_B07	NA	black	0	2.8906	0
MGH53_P4_F09	NA	black	0	0	4.942
MGH36_P2_H11	NA	black	0	4.6882	0
MGH36_P5_A11	0.208077233294	green3	2	4.1595	5.9055
MGH53_P1_A09	NA	black	0	1.9786	0
MGH53_P2_B02	NA	black	0	6.5588	0
MGH53_P4_E04	-1.54341174845	red	1	5.3335	1.3984
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	-0.819890413657	green3	2	5.0139	2.2169
MGH53_P2_E11	NA	black	0	5.7886	0
MGH36_P1_G06	-0.700254155302	green3	2	2.5074	5.2399
MGH36_P6_F03	NA	black	0	2.8502	0
MGH54_P2_H06	NA	black	0	3.2294	0
MGH36_P8_H12	NA	black	0	1.0384	0
MGH53_P1_B06	NA	black	0	3.9433	0
MGH53_P4_F12	NA	black	0	0	4.0301
MGH53_P4_G12	NA	black	0	0	3.9268
MGH53_P2_E08	NA	black	0	4.9955	0
MGH53_P1_F06	2.69339655272	black	0	1.6567	0.4957
MGH53_P1_D02	-0.640075607387	green3	2	6.2238	3.3019
MGH36_P9_D01	NA	black	0	4.2334	0
MGH36_P6_F02	NA	black	0	3.4609	0
MGH53_P2_E07	-0.683721232529	green3	2	5.1057	2.6007
MGH53_P4_H08	NA	black	0	5.1956	0
MGH36_P6_F11	-0.281170446842	green3	2	3.5042	5.8642
MGH36_P8_C08	NA	black	0	5.1961	0
MGH53_P2_D10	-0.124897094759	green3	2	4.727	3.5943
MGH53_P4_D03	NA	black	0	3.2904	0
MGH53_P2_C04	-0.606217416608	green3	2	4.1702	0.2762
MGH53_P1_E08	0.344918398058	green3	2	3.0561	2.6993
MGH54_P2_A08	NA	black	0	2.1293	0
MGH36_P4_H07	NA	black	0	6.2983	0
MGH36_P9_D06	NA	black	0	2.9315	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	3.5377	0
MGH53_P2_E09	0.495538928695	green3	2	5.6119	4.7147
MGH36_P3_C10	0.603334394484	green3	2	4.766	5.7315
MGH53_P2_F01	3.78889101502	black	0	0.88362	0.37962
MGH53_P4_H05	NA	black	0	1.7769	0
MGH53_P4_G10	NA	black	0	3.0892	0
MGH54_P2_D07	3.14349011445	black	0	1.0461	0.81558
MGH53_P2_D09	NA	black	0	5.7734	0
MGH53_P1_D09	1.32854181479	green3	2	2.3696	1.4065
MGH54_P2_B08	NA	black	0	6.2882	0
MGH54_P2_G05	-0.0596686944958	green3	2	3.2008	4.1576
MGH53_P2_F06	NA	black	0	4.0095	0
MGH36_P3_E01	NA	black	0	4.9929	0
MGH36_P5_E12	NA	black	0	5.1711	0
MGH53_P4_A12	NA	black	0	1.5018	0
MGH36_P9_F01	-0.733337869811	green3	2	2.2082	5.0445
MGH36_P3_H10	1.08603799294	green3	2	2.5005	1.6658
MGH36_P3_H02	NA	black	0	4.5875	0
