Cell_name	Zvalue	Color	Cluster	EGR1	LDLR
MGH36_P6_A12	0.506461812497	red	1	4.0187	0.46153
MGH36_P6_H09	-0.457346910612	red	1	7.3219	0.3115
MGH53_P4_G04	-0.179775547652	red	1	6.4166	0.25338
MGH36_P10_G12	0.370796150267	red	1	8.1284	2.1587
MGH53_P2_H12	0.36971468851	red	1	4.6673	0.33457
MGH53_P4_D10	NA	black	0	7.7079	0
MGH53_P4_D01	0.0870554848125	red	1	5.5845	0.35614
MGH36_P6_B07	NA	black	0	0	0.54893
MGH36_P10_B12	NA	black	0	0	0.8679
MGH53_P2_G11	0.0561872473677	red	1	5.673	0.44148
MGH53_P1_E04	NA	black	0	5.857	0
MGH54_P2_C12	-1.01470148435	red	1	9.397	0.42438
MGH53_P4_B07	1.1079282283	red	1	1.3109	0.56657
MGH53_P4_F09	0.521281540929	red	1	3.9428	0.47301
MGH36_P2_H11	-0.329858271391	red	1	7.0167	0.41359
MGH36_P5_A11	-0.370508336857	red	1	7.0062	0.26784
MGH53_P1_A09	0.00433924910194	red	1	5.8467	1.0307
MGH53_P2_B02	NA	black	0	2.9987	0
MGH53_P4_E04	NA	black	0	7.2385	0
MGH53_P4_D08	-0.718607592044	red	1	9.581	0.78492
MGH36_P1_F07	-0.00071509417145	red	1	5.8927	1.2191
MGH53_P2_E11	-0.353951907251	red	1	7.7066	0.77989
MGH36_P1_G06	1.30264806464	blue	3	1.5251	0.34937
MGH36_P6_F03	-0.102759953744	red	1	6.2708	0.52206
MGH54_P2_H06	-0.293515509683	red	1	8.4025	1.0779
MGH36_P8_H12	NA	black	0	3.3502	0
MGH53_P1_B06	0.0514889679234	red	1	5.7221	0.18523
MGH53_P4_F12	-0.503496702183	red	1	8.7204	0.84639
MGH53_P4_G12	-0.467443928901	red	1	8.8035	0.91303
MGH53_P2_E08	-0.57920888247	red	1	7.7654	0.34937
MGH53_P1_F06	-0.431761489858	red	1	7.9979	0.74244
MGH53_P1_D02	NA	black	0	7.5269	0
MGH36_P9_D01	-0.683868312527	red	1	8.427	0.49774
MGH36_P6_F02	-0.948390714846	red	1	10.327	0.71458
MGH53_P2_E07	NA	black	0	7.6714	0
MGH53_P4_H08	0.564215312154	red	1	3.5394	0.58015
MGH36_P6_F11	-0.497683134664	red	1	9.2494	0.96125
MGH36_P8_C08	-0.493758948068	red	1	7.4474	0.31962
MGH53_P2_D10	-0.861365612832	red	1	8.4978	0.26784
MGH53_P4_D03	-0.347072649767	red	1	7.7422	0.80818
MGH53_P2_C04	-0.8538607721	red	1	8.5945	0.32308
MGH53_P1_E08	-0.472730796152	red	1	7.8549	0.60692
MGH54_P2_A08	-0.680680181871	red	1	9.2524	0.75446
MGH36_P4_H07	1.23250222351	blue	3	0.7476	0.57337
MGH36_P9_D06	NA	black	0	6.3259	0
MGH53_P4_C04	-0.964815063911	red	1	8.7119	0.22404
MGH53_P1_E10	-0.967741500792	red	1	9.6707	0.55189
MGH53_P2_E09	-0.534211603659	red	1	8.0401	0.57725
MGH36_P3_C10	0.343468500315	red	1	4.5856	0.48852
MGH53_P2_F01	-0.743302390443	red	1	8.6549	0.5008
MGH53_P4_H05	NA	black	0	5.3157	0
MGH53_P4_G10	1.00067868361	red	1	2.6229	0.32193
MGH54_P2_D07	-0.6999419056	red	1	9.5066	0.7891
MGH53_P2_D09	-0.489534914732	red	1	7.3335	0.23756
MGH53_P1_D09	-0.0733109353346	red	1	6.0852	0.20539
MGH54_P2_B08	-0.935202046713	red	1	9.8697	0.63227
MGH54_P2_G05	-0.682663140221	red	1	8.9737	0.68167
MGH53_P2_F06	0.208360740013	red	1	5.1767	0.36513
MGH36_P3_E01	-0.80330488189	red	1	8.5504	0.37518
MGH36_P5_E12	-1.36927450866	red	1	10.805	0.46884
MGH53_P4_A12	-0.663831046065	red	1	8.6833	0.61918
MGH36_P9_F01	-0.194845831837	red	1	6.6701	0.57821
MGH36_P3_H10	-0.608494592066	red	1	7.9251	0.38626
MGH36_P3_H02	NA	black	0	7.8429	0
MGH36_P5_C10	-0.600343903265	red	1	9.8907	0.95606
MGH54_P2_B05	1.5279238768	blue	3	1.1223	0.26303
MGH36_P2_F09	0.665690260809	red	1	2.2455	0.79826
MGH53_P4_A05	-0.519375364337	red	1	8.233	0.67897
MGH54_P2_H10	-0.775385836477	red	1	8.5865	0.42975
MGH53_P4_E06	-0.795448621193	red	1	8.4539	0.34369
MGH53_P4_D12	-0.858387313973	red	1	8.7104	0.36625
MGH54_P2_H07	-0.505088715264	red	1	7.5984	0.39944
MGH53_P2_E03	NA	black	0	7.0152	0
MGH53_P1_A05	-0.343023917709	red	1	6.9843	0.33685
MGH36_P7_D12	-0.729525512775	red	1	8.048	0.23879
MGH53_P4_H03	NA	black	0	7.4588	0
MGH53_P2_E05	-1.01288226599	red	1	8.827	0.21288
MGH36_P4_H11	NA	black	0	6.4035	0
MGH53_P1_B01	0.326329481705	red	1	4.9275	0.18523
MGH54_P2_G03	-0.721445299681	red	1	7.9416	0.18777
MGH53_P2_F12	0.14544990266	red	1	6.4777	2.4792
MGH36_P4_C09	-0.0972999446303	red	1	6.1608	0.22897
