Cell_name	Zvalue	Color	Cluster	ELK4	FOS
MGH36_P6_A12	-0.257423933776	red	1	0.10969	8.3893
MGH36_P6_H09	-0.285196433848	red	1	0.13881	8.553
MGH53_P4_G04	NA	black	0	0	7.1289
MGH36_P10_G12	-0.190944321519	red	1	0.27858	8.3949
MGH53_P2_H12	-0.0779143947733	red	1	0.035624	7.6356
MGH53_P4_D10	-4.1744069999	black	0	3.7035	3.8061
MGH53_P4_D01	-2.68674203778	black	0	2.9625	4.2971
MGH36_P6_B07	NA	black	0	0.33342	0
MGH36_P10_B12	-1.07960878433	red	1	0.042644	11.186
MGH53_P2_G11	2.98535508689	black	0	4.8336	9.5463
MGH53_P1_E04	0.0485772710659	red	1	0.20414	7.1299
MGH54_P2_C12	0.943354926882	red	1	1.5291	10.782
MGH53_P4_B07	NA	black	0	0.073135	0
MGH53_P4_F09	-0.25826804386	red	1	0.25338	8.6837
MGH36_P2_H11	-1.48443275526	red	1	2.2206	4.8016
MGH36_P5_A11	0.0928849405697	red	1	0.40926	6.6647
MGH53_P1_A09	NA	black	0	0.52907	0
MGH53_P2_B02	NA	black	0	0.33571	0
MGH53_P4_E04	NA	black	0	0	8.0767
MGH53_P4_D08	-0.454227092911	red	1	0.338	10.084
MGH36_P1_F07	-0.152204599002	red	1	0.19156	8.0605
MGH53_P2_E11	4.50690230566	black	0	4.9095	10.497
MGH36_P1_G06	1.86364718272	black	0	0.02148	0.21039
MGH36_P6_F03	0.265496798665	red	1	1.0279	10.252
MGH54_P2_H06	-0.364760764193	red	1	0.22404	9.1171
MGH36_P8_H12	NA	black	0	0	7.6275
MGH53_P1_B06	NA	black	0	0	7.5277
MGH53_P4_F12	-0.98258274205	red	1	3.8021	6.6862
MGH53_P4_G12	-0.55077874293	red	1	0.3505	10.724
MGH53_P2_E08	0.0671889081209	red	1	2.7192	7.578
MGH53_P1_F06	-0.205251258777	red	1	0.28333	8.4818
MGH53_P1_D02	-0.706602169505	red	1	0.37962	11.896
MGH36_P9_D01	0.0671120212095	red	1	0.8504	9.8756
MGH36_P6_F02	NA	black	0	0	9.8585
MGH53_P2_E07	-0.155195122589	red	1	4.218	7.443
MGH53_P4_H08	-0.0518950874936	red	1	0.034216	7.5408
MGH36_P6_F11	0.306004036612	red	1	1.9968	8.109
MGH36_P8_C08	0.219338514677	red	1	1.1998	8.7646
MGH53_P2_D10	NA	black	0	0	11.778
MGH53_P4_D03	-0.183219638168	red	1	0.42761	8.7816
MGH53_P2_C04	-0.84924457091	red	1	3.3294	6.6434
MGH53_P1_E08	0.158082873226	red	1	0.28333	6.4798
MGH54_P2_A08	-0.850882802553	red	1	0.12565	10.771
MGH36_P4_H07	NA	black	0	0	7.2799
MGH36_P9_D06	-1.11475093665	red	1	0.14535	11.914
MGH53_P4_C04	NA	black	0	0	10.56
MGH53_P1_E10	NA	black	0	0	11.11
MGH53_P2_E09	-0.117957397282	red	1	3.101	7.3727
MGH36_P3_C10	-0.0427044528456	red	1	0.10568	7.5279
MGH53_P2_F01	2.85941407515	black	0	3.0376	10.866
MGH53_P4_H05	NA	black	0	0	7.0158
MGH53_P4_G10	0.0379348167349	red	1	0.053806	7.2115
MGH54_P2_D07	-0.395534318546	red	1	0.46676	10.669
MGH53_P2_D09	-0.933026708976	red	1	3.5347	6.6382
MGH53_P1_D09	-1.02362079534	red	1	0.18015	11.787
MGH54_P2_B08	-0.305483257058	red	1	0.0086303	8.4139
MGH54_P2_G05	-0.410068967476	red	1	0.14535	9.0847
MGH53_P2_F06	0.00695603982387	red	1	0.78994	8.2095
MGH36_P3_E01	-0.715175400323	red	1	0.20163	10.61
MGH36_P5_E12	-0.936511753955	red	1	0.3115	12.475
MGH53_P4_A12	-0.692459213445	red	1	0.35952	11.617
MGH36_P9_F01	NA	black	0	0	10.75
