Cell_name	Zvalue	Color	Cluster	ERAP2	IRF1
MGH36_P6_A12	NA	black	0	0	0.75617
MGH36_P6_H09	NA	black	0	0	1.8131
MGH53_P4_G04	-0.322239912069	green3	2	0.1177	1.9199
MGH36_P10_G12	NA	black	0	0	1.2185
MGH53_P2_H12	0.31395261656	green3	2	0.029983	0.8213
MGH53_P4_D10	NA	black	0	0	4.0495
MGH53_P4_D01	-0.0528386578661	green3	2	0.13488	1.4484
MGH36_P6_B07	-0.108851273162	green3	2	0.38515	1.7207
MGH36_P10_B12	-0.106497695086	green3	2	0.20289	1.5782
MGH53_P2_G11	NA	black	0	0	1.748
MGH53_P1_E04	NA	black	0	0	0.99422
MGH54_P2_C12	-0.571056586265	red	1	1.9317	0.93055
MGH53_P4_B07	-0.114094854573	green3	2	0.28806	1.6466
MGH53_P4_F09	-0.217213300222	green3	2	0.10568	1.7307
MGH36_P2_H11	0.349675790213	green3	2	0.14012	0.62761
MGH36_P5_A11	-0.0272421106385	green3	2	0.097611	1.3956
MGH53_P1_A09	-0.286251961721	green3	2	0.19912	1.9392
MGH53_P2_B02	NA	black	0	0	1.3294
MGH53_P4_E04	NA	black	0	0	1.0489
MGH53_P4_D08	0.1345724512	green3	2	0.18523	1.0573
MGH36_P1_F07	NA	black	0	0	0.33113
MGH53_P2_E11	NA	black	0	0	1.6617
MGH36_P1_G06	0.223267307846	green3	2	0.13093	0.90689
MGH36_P6_F03	-0.100367047482	green3	2	0.123	1.5331
MGH54_P2_H06	NA	black	0	0	2.606
MGH36_P8_H12	NA	black	0	0	0.94935
MGH53_P1_B06	NA	black	0	0	0.46884
MGH53_P4_F12	-0.149691549506	green3	2	0.47405	2.0218
MGH53_P4_G12	-0.561797403189	red	1	0.018634	2.184
MGH53_P2_E08	NA	black	0	0	0.54893
MGH53_P1_F06	-0.189698507065	green3	2	0.24489	1.787
MGH53_P1_D02	NA	black	0	0	1.1473
MGH36_P9_D01	0.168878535702	green3	2	1.1316	1.7816
MGH36_P6_F02	-0.553995233339	red	1	5.4021	1.3724
MGH53_P2_E07	NA	black	0	0	0.66812
MGH53_P4_H08	NA	black	0	0	1.541
MGH36_P6_F11	-0.0518353276603	green3	2	0.10702	1.441
MGH36_P8_C08	NA	black	0	0	1.4249
MGH53_P2_D10	0.213055654111	green3	2	0.16607	0.89763
MGH53_P4_D03	0.683894804497	green3	2	1.129	3.3587
MGH53_P2_C04	NA	black	0	0	0.94711
MGH53_P1_E08	-0.801860591121	black	0	0.56169	4.5643
MGH54_P2_A08	-0.00571174363319	green3	2	0.24245	1.3646
MGH36_P4_H07	NA	black	0	0	1.4931
