Cell_name	Zvalue	Color	Cluster	ERCC4	FOS
MGH36_P6_A12	NA	black	0	0	8.3893
MGH36_P6_H09	-0.173816202407	red	1	0.40926	8.553
MGH53_P4_G04	NA	black	0	0	7.1289
MGH36_P10_G12	-0.144426539208	red	1	0.42868	8.3949
MGH53_P2_H12	-0.0745765840691	red	1	0.11103	7.6356
MGH53_P4_D10	NA	black	0	0	3.8061
MGH53_P4_D01	NA	black	0	0	4.2971
MGH36_P6_B07	NA	black	0	0.61824	0
MGH36_P10_B12	-0.575407083173	red	1	0.38957	11.186
MGH53_P2_G11	-0.45416042587	red	1	0.22157	9.5463
MGH53_P1_E04	0.0187148406787	red	1	0.5509	7.1299
MGH54_P2_C12	NA	black	0	0	10.782
MGH53_P4_B07	NA	black	0	0.12035	0
MGH53_P4_F09	-0.234528835556	red	1	0.31615	8.6837
MGH36_P2_H11	0.647924753516	red	1	0.060739	4.8016
MGH36_P5_A11	0.0386216013412	red	1	0.65901	6.6647
MGH53_P1_A09	NA	black	0	0.38736	0
MGH53_P2_B02	NA	black	0	3.4273	0
MGH53_P4_E04	NA	black	0	0	8.0767
MGH53_P4_D08	NA	black	0	0	10.084
MGH36_P1_F07	-0.164430980848	red	1	0.16221	8.0605
MGH53_P2_E11	NA	black	0	0	10.497
MGH36_P1_G06	1.71110923205	black	0	0.10434	0.21039
MGH36_P6_F03	-0.721258643624	red	1	0.096262	10.252
MGH54_P2_H06	-0.386318868127	red	1	0.18777	9.1171
MGH36_P8_H12	-0.0502112210816	red	1	0.33228	7.6275
MGH53_P1_B06	0.23122469792	red	1	4.8003	7.5277
MGH53_P4_F12	0.155325550954	red	1	0.10434	6.6862
MGH53_P4_G12	-0.740174713754	red	1	0.18269	10.724
MGH53_P2_E08	-0.0541690573569	red	1	0.18777	7.578
MGH53_P1_F06	-0.0793505930286	red	1	0.62854	8.4818
MGH53_P1_D02	-0.421910651275	red	1	0.56071	11.896
MGH36_P9_D01	2.29420649295	black	0	3.5641	9.8756
MGH36_P6_F02	2.46459935282	black	0	3.7888	9.8585
MGH53_P2_E07	NA	black	0	0	7.443
MGH53_P4_H08	-0.0480136946309	red	1	0.16221	7.5408
MGH36_P6_F11	-0.127553302667	red	1	0.34483	8.109
MGH36_P8_C08	-0.188989815765	red	1	0.44042	8.7646
MGH53_P2_D10	NA	black	0	0	11.778
MGH53_P4_D03	-0.336945236119	red	1	0.14012	8.7816
MGH53_P2_C04	-0.504706845948	red	1	3.0052	6.6434
MGH53_P1_E08	0.183768929524	red	1	0.18142	6.4798
MGH54_P2_A08	-0.609356314467	red	1	0.30568	10.771
MGH36_P4_H07	0.00834875944431	red	1	0.30217	7.2799
MGH36_P9_D06	-0.935718013486	red	1	0.22527	11.914
MGH53_P4_C04	-0.707049093307	red	1	0.18015	10.56
MGH53_P1_E10	0.00699493223558	red	1	0.84318	11.11
MGH53_P2_E09	-0.0111615091051	red	1	0.11636	7.3727
MGH36_P3_C10	-0.0292316319403	red	1	0.39616	7.5279
MGH53_P2_F01	1.92673774705	black	0	2.4797	10.866
MGH53_P4_H05	-0.332160460996	red	1	3.8533	7.0158
MGH53_P4_G10	0.0262444103739	red	1	0.14666	7.2115
MGH54_P2_D07	NA	black	0	0	10.669
MGH53_P2_D09	-0.536965775493	red	1	3.125	6.6382
MGH53_P1_D09	NA	black	0	0	11.787
MGH54_P2_B08	NA	black	0	0	8.4139
MGH54_P2_G05	-0.384532786541	red	1	0.17887	9.0847
MGH53_P2_F06	-0.168795725744	red	1	0.26063	8.2095
MGH36_P3_E01	-0.694527580708	red	1	0.20163	10.61
MGH36_P5_E12	-0.867481165116	red	1	0.33228	12.475
MGH53_P4_A12	-0.905014240148	red	1	0.20414	11.617
MGH36_P9_F01	3.66103179844	black	0	4.0773	10.75
MGH36_P3_H10	-0.313327570966	red	1	0.46467	9.8594
MGH36_P3_H02	2.59274947867	black	0	3.3096	10.498
MGH36_P5_C10	-0.713646596745	red	1	0.24001	10.916
MGH54_P2_B05	NA	black	0	0	9.0792
MGH36_P2_F09	-0.0646491871911	red	1	0.31034	7.6975
MGH53_P4_A05	-0.599987386174	red	1	0.36289	11.125
MGH54_P2_H10	0.136682691007	red	1	0.21909	6.6585
MGH53_P4_E06	-0.780304974474	red	1	0.123	10.609
MGH53_P4_D12	-0.2984290554	red	1	0.22651	8.7985
MGH54_P2_H07	-0.637494198763	red	1	0.097611	9.9178
MGH53_P2_E03	-0.0758847374372	red	1	0.12433	7.647
MGH53_P1_A05	1.47341332423	green3	2	2.7312	9.678
MGH36_P7_D12	NA	black	0	0	9.91
MGH53_P4_H03	-0.581953829897	red	1	0.44467	11.772
MGH53_P2_E05	-0.975050099522	red	1	0.14143	11.533
MGH36_P4_H11	-0.724048883372	red	1	0.19409	10.709
MGH53_P1_B01	NA	black	0	0	8.5113
MGH54_P2_G03	-0.067886593936	red	1	0.19283	7.6442
MGH53_P2_F12	-0.0924100150602	red	1	0.40817	7.9782
MGH36_P4_C09	-0.506547758384	red	1	0.26303	9.98
MGH36_P5_C08	-0.480156110697	red	1	0.43616	10.923
MGH36_P4_H06	-0.528772822978	red	1	0.25822	10.073
MGH36_P10_E01	-0.983734583612	red	1	0.12829	11.492
MGH36_P8_E12	NA	black	0	0	9.0954
MGH53_P2_C10	-0.720758340167	red	1	0.34255	11.698
MGH36_P4_H08	-0.306400830531	red	1	0.20789	8.7929
MGH36_P7_F07	-0.541102649214	red	1	0.063503	9.4297
MGH54_P2_A09	-0.490098576552	red	1	0.066261	9.2386
MGH36_P6_H11	-0.232901077317	red	1	0.23143	8.4852
MGH53_P2_E12	NA	black	0	0	6.5663
MGH53_P1_F08	-0.344740070349	red	1	0.47197	10.167
MGH36_P6_D12	1.21706455491	green3	2	0.056584	2.5953
MGH36_P2_H09	-0.524509967259	red	1	0.25459	10.034
MGH53_P1_C01	2.6695759091	black	0	2.7557	11.527
MGH53_P2_F11	-0.0711480171758	red	1	0.77315	10.666
MGH36_P6_H04	-0.548882948124	red	1	0.26664	10.219
MGH36_P5_G05	NA	black	0	0.097611	0
MGH53_P4_B04	NA	black	0	0	9.414
MGH53_P1_E05	-0.861215475065	red	1	0.15834	11.136
MGH36_P10_A08	-0.162387793504	red	1	0.14274	8.0309
MGH36_P9_G01	NA	black	0	0	8.3824
MGH53_P4_A06	0.12330885121	red	1	1.2916	8.1436
MGH36_P6_B09	NA	black	0	0	9.3229
MGH54_P2_D09	-0.0207885025124	red	1	0.29514	7.4428
MGH53_P1_E06	3.03497302194	black	0	3.7553	10.476
MGH36_P4_A10	-0.307019030096	red	1	0.27381	8.9682
MGH36_P6_B02	NA	black	0	0	9.8206
MGH53_P4_G06	-0.238807617781	red	1	0.12035	8.3296
MGH36_P8_F01	NA	black	0	0	10.327
MGH36_P9_F06	NA	black	0	0	9.5718
MGH36_P5_H04	-0.53511025319	red	1	0.15316	9.6793
MGH53_P1_B03	-0.157601412991	red	1	0.077243	7.9507
MGH53_P2_D05	-0.449696420302	red	1	0.47716	11.077
MGH36_P4_G12	NA	black	0	0.20664	0
MGH53_P2_D11	NA	black	0	0	8.7406
MGH53_P4_C02	-0.186312461535	red	1	0.19787	8.2048
MGH53_P4_F04	0.148606353891	red	1	0.16092	6.6627
MGH36_P3_D10	-0.586788740939	red	1	0.33228	10.818
MGH54_P2_F04	NA	black	0	0	8.3264
MGH36_P6_A03	1.93065778841	black	0	2.9193	10.129
MGH53_P1_F07	-0.772163873338	red	1	0.18523	10.884
MGH36_P5_H08	-0.320050652758	red	1	0.26544	9.0126
MGH54_P2_A04	0.510340081712	red	1	2.7991	8.1219
MGH53_P4_E11	-0.14186711579	red	1	0.34596	8.1986
MGH53_P2_G03	-0.101796479602	red	1	0.29396	7.8924
MGH36_P3_F04	-0.544097161134	red	1	0.067639	9.4527
MGH54_P2_B02	NA	black	0	0	7.9776
MGH36_P5_C07	-0.564047195773	red	1	0.20539	10.011
MGH53_P2_E02	-0.353184944043	red	1	0.17632	8.9354
MGH54_P2_F09	-0.0752098273651	red	1	0.31267	7.7599
MGH36_P3_D05	0.0427275524286	red	1	0.082703	7.155
MGH36_P5_F12	-0.727539583822	red	1	0.079975	10.214
MGH53_P2_H09	-0.331465229001	red	1	0.38957	9.5568
MGH54_P2_F07	NA	black	0	0	6.641
MGH36_P5_D10	-0.470161871811	red	1	0.15445	9.3983
MGH54_P2_F11	-0.327810590552	red	1	0.31034	9.2007
MGH53_P2_H04	-0.769459769755	red	1	0.22157	11.08
MGH36_P6_F09	-0.310650399757	red	1	0.40817	9.5079
MGH36_P9_F05	2.00118653198	black	0	2.3649	11.278
MGH36_P8_G11	-0.432758971426	red	1	0.17121	9.2819
MGH54_P2_A07	0.0457006031693	red	1	0.25942	7.0879
MGH36_P7_H06	0.0165415455558	red	1	0.048236	7.2624
MGH53_P1_A01	-0.775304013339	red	1	0.074505	10.381
MGH53_P1_A02	0.099405006894	red	1	0.23634	6.8269
MGH54_P2_E07	-0.595306252952	red	1	0.20038	10.137
MGH53_P4_F07	0.125775861595	red	1	0.99711	9.6809
MGH53_P2_C05	-0.229872815288	red	1	0.14535	8.3272
MGH53_P4_H07	NA	black	0	0	8.813
MGH53_P2_C06	0.38110065231	red	1	0.10702	5.7486
MGH36_P3_F03	-0.269065743517	red	1	0.2228	8.6459
MGH36_P2_A10	-0.699721707343	red	1	0.18269	10.539
MGH53_P4_E03	-0.225149104361	red	1	0.24123	8.4652
MGH36_P9_D12	-0.456345788295	red	1	0.31383	9.9497
