Cell_name	Zvalue	Color	Cluster	ETV5	ICAM1
MGH36_P6_A12	-3.83447194402	black	0	0.2857	6.0164
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	5.6243	0
MGH36_P10_G12	-3.76942399115	black	0	0.65444	7.1597
MGH53_P2_H12	NA	black	0	0	6.2636
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	-0.0531761511371	red	1	3.6737	0.72072
MGH36_P6_B07	0.874191581918	green3	2	0.1776	0.41359
MGH36_P10_B12	0.997728163523	green3	2	0.2228	0.27739
MGH53_P2_G11	NA	black	0	0	0.23511
MGH53_P1_E04	-0.275082876199	red	1	1.8996	1.8754
MGH54_P2_C12	2.54171631155	black	0	5.3423	3.4472
MGH53_P4_B07	NA	black	0	1.7031	0
MGH53_P4_F09	NA	black	0	1.46	0
MGH36_P2_H11	-0.240212460548	red	1	3.7979	0.059355
MGH36_P5_A11	-0.266485797172	red	1	4.006	0.15445
MGH53_P1_A09	-0.381821963354	red	1	5.3243	0.3173
MGH53_P2_B02	NA	black	0	0	4.0612
MGH53_P4_E04	NA	black	0	4.1829	0
MGH53_P4_D08	NA	black	0	2.7738	0
MGH36_P1_F07	-0.9879301925	red	1	1.3408	3.0524
MGH53_P2_E11	NA	black	0	1.5261	0
MGH36_P1_G06	NA	black	0	1.5049	0
MGH36_P6_F03	NA	black	0	0	0.19535
MGH54_P2_H06	0.522432806257	red	1	0.68077	0.59359
MGH36_P8_H12	0.775146468368	green3	2	3.7736	3.0383
MGH53_P1_B06	-0.210341451693	red	1	3.9145	0.26664
MGH53_P4_F12	NA	black	0	0.98112	0
MGH53_P4_G12	6.60696413485	black	0	5.6367	6.5111
MGH53_P2_E08	NA	black	0	2.5348	0
MGH53_P1_F06	NA	black	0	4.7156	0
MGH53_P1_D02	NA	black	0	0	4.1431
MGH36_P9_D01	-0.0582569889331	red	1	0.80735	1.2798
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	0.192626355864	red	1	3.4712	1.8335
MGH53_P4_H08	-0.152464374797	red	1	4.4335	0.56657
MGH36_P6_F11	NA	black	0	4.2206	0
MGH36_P8_C08	-2.11178969329	black	0	0.21288	3.5759
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0.22527	0
MGH53_P2_C04	NA	black	0	0.15963	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-1.24755344897	black	0	1.8351	6.6377
MGH36_P4_H07	NA	black	0	0	5.1668
MGH36_P9_D06	0.00759011507248	red	1	2.5719	5.3789
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	3.9383	0
MGH53_P2_E09	NA	black	0	0	0.23511
MGH36_P3_C10	2.94317077711	black	0	4.5213	5.0545
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	0.608854128531	green3	2	0.46884	0.5724
MGH53_P4_G10	-0.069021468593	red	1	0.74071	1.2975
MGH54_P2_D07	NA	black	0	2.5452	0
MGH53_P2_D09	NA	black	0	0	3.6859
MGH53_P1_D09	NA	black	0	1.5907	0
MGH54_P2_B08	0.997115148565	green3	2	0.41468	0.1903
MGH54_P2_G05	0.194725372615	red	1	2.4	0.18777
MGH53_P2_F06	3.96646428007	black	0	5.0942	5.1511
MGH36_P3_E01	NA	black	0	0	0.37295
MGH36_P5_E12	-3.27012534753	black	0	0.54102	5.7617
MGH53_P4_A12	-1.06886128372	red	1	1.7719	4.4784
MGH36_P9_F01	NA	black	0	2.6206	0
MGH36_P3_H10	NA	black	0	3.0571	0
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	0.117654568958	red	1	2.4244	0.4813
MGH54_P2_B05	NA	black	0	3.1308	0
MGH36_P2_F09	NA	black	0	0	6.506
MGH53_P4_A05	-0.562832443037	red	1	2.1966	6.0758
MGH54_P2_H10	-1.51420597216	black	0	0.71105	3.2531
MGH53_P4_E06	-1.16112580213	red	1	0.20289	2.4823
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0	0
MGH53_P2_E03	-1.21150219786	red	1	1.1408	3.2365
MGH53_P1_A05	0.893851592767	green3	2	4.1515	2.6967
MGH36_P7_D12	-3.69677302302	black	0	0.60217	6.7743
MGH53_P4_H03	4.09755457207	black	0	4.1178	7.451
MGH53_P2_E05	NA	black	0	2.2501	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0	0
MGH54_P2_G03	NA	black	0	0	0.22527
MGH53_P2_F12	NA	black	0	4.5811	0
MGH36_P4_C09	0.0237422237686	red	1	2.933	1.952
MGH36_P5_C08	-0.0849866062609	red	1	3.2954	0.1003
MGH36_P4_H06	NA	black	0	0	4.3844
MGH36_P10_E01	0.39125854622	red	1	1.2702	0.53506
MGH36_P8_E12	NA	black	0	0	5.6823
MGH53_P2_C10	-3.69357465595	black	0	0.26784	5.7592
MGH36_P4_H08	NA	black	0	0	6.1542
MGH36_P7_F07	NA	black	0	0	0.12829
MGH54_P2_A09	NA	black	0	0	0.26063
MGH36_P6_H11	NA	black	0	0	5.3359
MGH53_P2_E12	-0.191459557894	red	1	2.515	3.6979
MGH53_P1_F08	0.576823677134	green3	2	3.7281	2.6371
MGH36_P6_D12	-4.03334499206	black	0	0.084064	5.8371
MGH36_P2_H09	0.116332309375	red	1	2.6649	0.13488
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0.86711	0
MGH36_P6_H04	1.12401972647	green3	2	3.5229	4.467
MGH36_P5_G05	NA	black	0	0	5.655
MGH53_P4_B04	NA	black	0	4.4263	0
MGH53_P1_E05	-3.91785840307	black	0	0.25338	6.0628
MGH36_P10_A08	-0.397292482937	red	1	2.3257	4.7148
MGH36_P9_G01	-2.91791049851	black	0	0.36961	4.8294
MGH53_P4_A06	-0.523404231813	red	1	5.5707	0.18269
MGH36_P6_B09	NA	black	0	0.94411	0
MGH54_P2_D09	NA	black	0	3.3678	0
MGH53_P1_E06	-0.341535938102	red	1	1.9482	2.1345
MGH36_P4_A10	NA	black	0	0	5.4815
MGH36_P6_B02	-4.08265091524	black	0	0.22527	6.2424
MGH53_P4_G06	-0.178828771683	red	1	2.5263	3.7893
MGH36_P8_F01	-2.04709583504	black	0	0.9115	4.4382
