Cell_name	Zvalue	Color	Cluster	F3	REL
MGH36_P6_A12	-0.803492280163	red	1	0.4916	4.23
MGH36_P6_H09	NA	black	0	0	1.8824
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	6.1027
MGH53_P2_H12	-1.63479527039	black	0	0.097611	4.7169
MGH53_P4_D10	NA	black	0	0	2.1564
MGH53_P4_D01	NA	black	0	0	1.3951
MGH36_P6_B07	NA	black	0	0	0.24489
MGH36_P10_B12	NA	black	0	0	0.72944
MGH53_P2_G11	-0.262762889052	red	1	0.41468	2.0635
MGH53_P1_E04	NA	black	0	0	2.9499
MGH54_P2_C12	0.239346422474	blue	3	0.33457	0.44042
MGH53_P4_B07	NA	black	0	0	1.1903
MGH53_P4_F09	NA	black	0	0.8679	0
MGH36_P2_H11	0.0263315711424	blue	3	0.085425	1.1097
MGH36_P5_A11	-0.297174512806	red	1	0.86631	4.9793
MGH53_P1_A09	-0.791748518132	red	1	0.42116	3.8397
MGH53_P2_B02	0.278856336722	blue	3	0.31962	0.338
MGH53_P4_E04	NA	black	0	0	1.373
MGH53_P4_D08	0.203064667309	blue	3	0.50995	0.32539
MGH36_P1_F07	NA	black	0	0	0.20914
MGH53_P2_E11	NA	black	0	0	7.7272
MGH36_P1_G06	0.357151586074	blue	3	0.10568	0.36065
MGH36_P6_F03	NA	black	0	0	6.1737
MGH54_P2_H06	0.139927147076	blue	3	0.38294	0.71105
MGH36_P8_H12	NA	black	0	0	3.8003
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0.26424
MGH53_P4_G12	-0.627726534444	red	1	0.27501	2.8815
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	3.4713
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	0.0181615911248	blue	3	0.94711	0.338
MGH53_P2_E07	NA	black	0	0	1.5089
MGH53_P4_H08	NA	black	0	0	0.38626
MGH36_P6_F11	0.0581065725426	blue	3	0.46676	0.9501
MGH36_P8_C08	0.177459575142	blue	3	0.37518	0.59455
MGH53_P2_D10	NA	black	0	0	5.9914
MGH53_P4_D03	NA	black	0	0.39506	0
MGH53_P2_C04	-0.45793141773	red	1	0.52206	3.0503
MGH53_P1_E08	-0.0516291120884	blue	3	0.20539	1.2987
MGH54_P2_A08	NA	black	0	0	0.71194
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	5.1473
MGH53_P4_C04	NA	black	0	0	0.2916
MGH53_P1_E10	NA	black	0	0	5.9841
MGH53_P2_E09	0.0924452258485	blue	3	0.33457	0.88908
MGH36_P3_C10	NA	black	0	0	4.417
MGH53_P2_F01	0.385585048499	blue	3	0.20914	0.18015
MGH53_P4_H05	NA	black	0	0	4.1778
MGH53_P4_G10	NA	black	0	0	0.34483
MGH54_P2_D07	0.262452985005	blue	3	0.26544	0.44573
MGH53_P2_D09	-0.993834705065	black	0	0.35952	4.1955
MGH53_P1_D09	-1.1624591289	black	0	0.43829	5.1509
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	0.26903	0
MGH53_P2_F06	NA	black	0	0	3.7668
MGH36_P3_E01	NA	black	0	0	5.9909
MGH36_P5_E12	-1.51410258284	black	0	0.29514	5.3302
MGH53_P4_A12	NA	black	0	0	2.7981
MGH36_P9_F01	NA	black	0	0	2.698
MGH36_P3_H10	0.272801623349	blue	3	0.42761	0.19912
MGH36_P3_H02	NA	black	0	0	5.4765
MGH36_P5_C10	-0.453217667904	red	1	0.62574	3.5155
MGH54_P2_B05	NA	black	0	0	6.3285
MGH36_P2_F09	-0.460668415104	red	1	0.20289	2.3179
MGH53_P4_A05	NA	black	0	0	0
MGH54_P2_H10	-0.573542797073	red	1	0.22527	2.6369
MGH53_P4_E06	-0.635379129814	red	1	0.3584	3.1207
MGH53_P4_D12	NA	black	0	0	2.6713
MGH54_P2_H07	NA	black	0	0	1.4049
MGH53_P2_E03	0.0411746041707	blue	3	0.74674	0.83915
MGH53_P1_A05	NA	black	0	0	4.407
MGH36_P7_D12	0.28144368625	blue	3	0.070389	0.5568
MGH53_P4_H03	NA	black	0	0	3.8427
MGH53_P2_E05	-0.69591993309	red	1	0.71282	5.6148
MGH36_P4_H11	NA	black	0	0	2.8045
MGH53_P1_B01	NA	black	0	0	6.1175
MGH54_P2_G03	NA	black	0	0	2.5624
MGH53_P2_F12	NA	black	0	0	6.1899
MGH36_P4_C09	0.165019419239	blue	3	0.52807	0.45838
MGH36_P5_C08	-0.0859072496152	blue	3	0.75788	1.8777
MGH36_P4_H06	NA	black	0	0	4.1592
MGH36_P10_E01	NA	black	0	0	5.2512
MGH36_P8_E12	NA	black	0	0	2.4268
MGH53_P2_C10	NA	black	0	0	5.087
MGH36_P4_H08	-0.698905820021	red	1	0.22774	2.9588
MGH36_P7_F07	NA	black	0	0	5.0892
MGH54_P2_A09	NA	black	0	0	5.8249
MGH36_P6_H11	-1.50722050425	black	0	0.1776	4.7499
MGH53_P2_E12	NA	black	0	0	1.8903
MGH53_P1_F08	NA	black	0	0	2.8824
MGH36_P6_D12	-1.48283095683	black	0	0.14143	4.5512
MGH36_P2_H09	-1.14718847443	black	0	0.123	3.745
MGH53_P1_C01	-1.78695356985	black	0	0.22897	5.6614
MGH53_P2_F11	-0.526105978349	red	1	0.68796	4.3599
MGH36_P6_H04	-0.707533126507	red	1	0.23634	3.0005
MGH36_P5_G05	-0.923603811994	black	0	0.62012	5.7182
MGH53_P4_B04	-0.0169032551776	blue	3	0.54201	1.2449
MGH53_P1_E05	NA	black	0	0	6.3189
MGH36_P10_A08	NA	black	0	0	1.763
MGH36_P9_G01	NA	black	0	0	4.0766
