Cell_name	Zvalue	Color	Cluster	F3	SP1
MGH36_P6_A12	NA	black	0	0.4916	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	-0.240498190554	red	1	0.097611	1.858
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0.41468	0
MGH53_P1_E04	NA	black	0	0	2.6159
MGH54_P2_C12	NA	black	0	0.33457	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	-0.513274948792	red	1	0.8679	4.2931
MGH36_P2_H11	-0.418301427707	red	1	0.085425	2.1506
MGH36_P5_A11	NA	black	0	0.86631	0
MGH53_P1_A09	NA	black	0	0.42116	0
MGH53_P2_B02	NA	black	0	0.31962	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0.50995	0
MGH36_P1_F07	NA	black	0	0	1.2041
MGH53_P2_E11	NA	black	0	0	0.81721
MGH36_P1_G06	NA	black	0	0.10568	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0.38294	0
MGH36_P8_H12	NA	black	0	0	0.16092
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0
MGH53_P4_G12	NA	black	0	0.27501	0
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0.53207
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0.94711	0
MGH53_P2_E07	NA	black	0	0	2.4898
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	0.379333371561	red	1	0.46676	0.074505
MGH36_P8_C08	0.220359255046	red	1	0.37518	0.82863
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	0.333055867013	red	1	0.39506	0.44361
MGH53_P2_C04	NA	black	0	0.52206	0
MGH53_P1_E08	NA	black	0	0.20539	0
MGH54_P2_A08	NA	black	0	0	0
MGH36_P4_H07	NA	black	0	0	4.1056
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	1.537
MGH53_P2_E09	0.0119331693534	red	1	0.33457	1.4114
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	-1.03863241675	red	1	0.20914	3.3357
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0	0
MGH54_P2_D07	-0.0646583934222	red	1	0.26544	1.5811
MGH53_P2_D09	NA	black	0	0.35952	0
MGH53_P1_D09	-0.58422958308	red	1	0.43829	2.9271
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	-1.14991647131	red	1	0.26903	3.6459
MGH53_P2_F06	NA	black	0	0	0.93659
MGH36_P3_E01	NA	black	0	0	0
MGH36_P5_E12	NA	black	0	0.29514	0
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0.42761	0
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	0.227911974539	red	1	0.62574	0.22527
MGH54_P2_B05	NA	black	0	0	0
MGH36_P2_F09	NA	black	0	0.20289	0
MGH53_P4_A05	NA	black	0	0	0
MGH54_P2_H10	NA	black	0	0.22527	0
MGH53_P4_E06	NA	black	0	0.3584	0
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0	2.1047
MGH53_P2_E03	NA	black	0	0.74674	0
MGH53_P1_A05	NA	black	0	0	0
MGH36_P7_D12	NA	black	0	0.070389	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0.71282	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0	0
MGH54_P2_G03	NA	black	0	0	3.2997
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	0.181243948803	red	1	0.52807	0.76214
MGH36_P5_C08	NA	black	0	0.75788	0
MGH36_P4_H06	NA	black	0	0	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	NA	black	0	0	0
MGH36_P4_H08	NA	black	0	0.22774	0
MGH36_P7_F07	NA	black	0	0	1.0902
MGH54_P2_A09	NA	black	0	0	0
MGH36_P6_H11	NA	black	0	0.1776	0
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	NA	black	0	0	2.7949
MGH36_P6_D12	0.599439143138	red	1	0.14143	0.17632
MGH36_P2_H09	NA	black	0	0.123	0
MGH53_P1_C01	NA	black	0	0.22897	0
MGH53_P2_F11	NA	black	0	0.68796	0
MGH36_P6_H04	0.566143886156	red	1	0.23634	0.075875
MGH36_P5_G05	NA	black	0	0.62012	0
MGH53_P4_B04	NA	black	0	0.54201	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	0.0577503176609	red	1	0.8536	0.36289
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	NA	black	0	0.41576	0
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	0.105234703013	red	1	0.45312	1.119
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0.43829	0
MGH36_P5_H04	NA	black	0	0.017209	0
MGH53_P1_B03	NA	black	0	0	3.1047
MGH53_P2_D05	NA	black	0	0	0
MGH36_P4_G12	-0.0241384580522	red	1	0.32769	1.4993
MGH53_P2_D11	NA	black	0	0	2.9804
MGH53_P4_C02	NA	black	0	0	0.09356
MGH53_P4_F04	NA	black	0	0.29042	0
MGH36_P3_D10	NA	black	0	0.24367	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0.32423	0
MGH53_P1_F07	0.289953279435	red	1	0.514	0.31846
MGH36_P5_H08	NA	black	0	0.42975	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0.22157	0
MGH53_P2_G03	NA	black	0	0.19283	0
MGH36_P3_F04	NA	black	0	0	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	NA	black	0	0.12697	0
MGH53_P2_E02	-0.109569658273	red	1	0.36513	1.7185
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0.23756	0
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0.21164	0
MGH36_P5_D10	NA	black	0	0.11636	0
MGH54_P2_F11	0.0342587234222	red	1	0.88753	0.27023
MGH53_P2_H04	NA	black	0	0.27023	0
MGH36_P6_F09	NA	black	0	0.43616	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	-0.307344555071	red	1	0.47612	2.3237
MGH54_P2_A07	NA	black	0	0.20664	0
MGH36_P7_H06	NA	black	0	0.16864	0
MGH53_P1_A01	NA	black	0	0	0.066261
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	0	0
MGH53_P4_F07	-0.797818916778	red	1	0.23389	2.9727
MGH53_P2_C05	NA	black	0	0.2916	0
MGH53_P4_H07	NA	black	0	0.30334	0
MGH53_P2_C06	0.268104334587	red	1	0.55974	0.27023
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	0.109330069068	red	1	0.12433	1.224
MGH53_P4_E03	-0.117123518252	red	1	1.0861	0.21785
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.46258	0
MGH36_P4_D06	NA	black	0	0.15056	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	0.130234974849	red	1	0.24123	1.1486
MGH36_P10_E09	NA	black	0	0.50995	0
MGH53_P1_G02	NA	black	0	0.27381	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0	0
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0.20789	0
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0
MGH53_P1_B10	NA	black	0	0.24853	0
MGH53_P2_F08	NA	black	0	0	0
MGH36_P10_A01	NA	black	0	0	2.1535
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	-0.318543178844	red	1	0.32193	2.167
MGH53_P1_F12	NA	black	0	0	3.4439
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0.20289
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0	2.1332
MGH53_P4_H09	NA	black	0	0	1.3929
MGH36_P8_H02	NA	black	0	0	2.5028
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	NA	black	0	0.3505	0
MGH36_P8_F08	NA	black	0	0.21909	0
MGH53_P1_D10	NA	black	0	0.38073	0
MGH53_P4_A09	NA	black	0	0.40163	0
MGH53_P2_H08	NA	black	0	1.3127	0
MGH36_P4_A09	NA	black	0	0	0
MGH53_P4_C08	NA	black	0	0.19787	0
MGH36_P5_E04	NA	black	0	0	2.4109
MGH53_P2_A07	NA	black	0	0.51096	0
MGH54_P2_G10	NA	black	0	0	0
MGH36_P7_E06	NA	black	0	0.24123	0
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	-0.0551348912442	red	1	0.22527	1.5524
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	0	0
MGH53_P1_F02	NA	black	0	0.35276	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0.29042	0
MGH53_P4_B03	NA	black	0	0.31962	0
MGH53_P1_F10	0.45009269262	red	1	0.21785	0.41143
MGH53_P4_B05	NA	black	0	0	1.2839
MGH53_P2_B08	NA	black	0	0.39397	0
MGH36_P3_B06	NA	black	0	0.50691	0
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	NA	black	0	0.12697	0
MGH54_P2_G09	-1.06578148745	red	1	0.2762	3.5189
MGH54_P2_D12	NA	black	0	0.30568	0
MGH53_P2_H02	NA	black	0	0.23756	0
MGH36_P8_F11	-0.825866369046	red	1	0.29631	3.1345
MGH53_P2_A10	NA	black	0	0.25096	0
MGH54_P2_E09	NA	black	0	0.17377	0
MGH36_P3_H06	NA	black	0	0.19156	0
MGH36_P5_D05	NA	black	0	0.22404	0
MGH54_P2_A11	NA	black	0	0.17632	0
MGH54_P2_G04	NA	black	0	0.25942	0
MGH36_P6_C01	NA	black	0	0	0
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	NA	black	0	0	0.67987
MGH36_P1_B01	NA	black	0	0.24245	0
MGH54_P2_H04	NA	black	0	0.18903	0
MGH36_P2_C05	NA	black	0	0.10702	0
MGH36_P6_H05	0.551417990024	red	1	0.25096	0.084064
MGH36_P10_E06	NA	black	0	0	0
MGH54_P2_F03	0.249899781276	red	1	0.34937	0.77062
MGH36_P4_B10	NA	black	0	0.45207	0
MGH54_P2_F02	NA	black	0	0	2.7918
MGH36_P2_E11	NA	black	0	0.14796	0
MGH54_P2_D11	NA	black	0	0.35727	0
MGH54_P2_G01	NA	black	0	0	0
MGH36_P9_D02	NA	black	0	0	0.30918
MGH54_P2_E06	NA	black	0	0	0
MGH54_P16_F12	0.534991135989	red	1	0.27143	0.084064
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	1.9683
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	0.0440180901131	red	1	0.8024	1.0524
MGH53_P1_E03	NA	black	0	0.31034	0
MGH54_P15_D06	NA	black	0	0	0.11103
MGH54_P14_F05	NA	black	0	0	0.50487
MGH54_P16_A03	NA	black	0	0.39177	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0.3774
MGH54_P10_G04	NA	black	0	0.34028	0
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0.27381	0
MGH53_P4_F06	NA	black	0	0.22033	0
MGH53_P7_F07	0.274408625136	red	1	0.47716	0.48336
MGH53_P11_F06	NA	black	0	0	2.9723
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	-0.416898626453	red	1	0.4351	2.5346
MGH53_P11_H03	NA	black	0	0.42008	0
MGH53_P10_D11	NA	black	0	0	0.87657
MGH53_P1_A10	NA	black	0	0	3.1816
MGH53_P4_B12	NA	black	0	0	3.3745
MGH53_P5_H09	NA	black	0	0	4.5541
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	-0.910685644709	red	1	0.37851	3.4714
MGH53_P10_F11	NA	black	0	0.69243	0
MGH53_P1_E02	NA	black	0	0	3.5313
MGH53_P1_D07	NA	black	0	0	0.31499
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	0.167882970881	red	1	0.44573	0.91991
MGH53_P1_C05	NA	black	0	1.1622	0
MGH53_P2_G09	-0.386784830342	red	1	0.52206	2.6114
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	1.025	0
MGH53_P10_H03	NA	black	0	0.55876	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0	0.088142
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	NA	black	0	0.26664	0
MGH53_P4_C07	NA	black	0	0.2916	0
MGH53_P6_H06	NA	black	0	0.33914	0
MGH36_P1_A01	NA	black	0	0	0
