Cell_name	Zvalue	Color	Cluster	HDAC2	IGF1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	6.70674317718	black	0	3.6588	4.5754
MGH53_P4_G04	-0.146478343916	green3	2	0.34255	0.45943
MGH36_P10_G12	NA	black	0	0.44042	0
MGH53_P2_H12	NA	black	0	0	0
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	0.00691878381348	green3	2	2.0625	1.6267
MGH36_P10_B12	0.13615714117	green3	2	4.3947	0.36401
MGH53_P2_G11	0.416893054121	blue	3	0.2302	0.10969
MGH53_P1_E04	6.93406987963	black	0	3.9798	4.1592
MGH54_P2_C12	NA	black	0	0	0.063503
MGH53_P4_B07	NA	black	0	0	0.30451
MGH53_P4_F09	0.271293773744	blue	3	0.2302	0.19787
MGH36_P2_H11	NA	black	0	0	0.082703
MGH36_P5_A11	-0.0650670633089	green3	2	0.14143	0.4049
MGH53_P1_A09	NA	black	0	0	0.14926
MGH53_P2_B02	0.117067371909	green3	2	0.22033	0.29278
MGH53_P4_E04	NA	black	0	0	5.4003
MGH53_P4_D08	0.203916259736	blue	3	0.36177	0.22774
MGH36_P1_F07	3.63394831536	black	0	3.1551	3.668
MGH53_P2_E11	0.0770709920823	green3	2	0.22033	0.3173
MGH36_P1_G06	0.580687770949	blue	3	0.10434	0.034216
MGH36_P6_F03	6.35011635548	black	0	4.6323	3.1217
MGH54_P2_H06	-0.0772328442072	green3	2	2.8069	0.15575
MGH36_P8_H12	0.0672855109124	green3	2	0.34028	0.31846
MGH53_P1_B06	-5.94162658439	black	0	0.14143	5.2509
MGH53_P4_F12	0.247467554001	blue	3	0.48852	0.18523
MGH53_P4_G12	-0.347842727774	green3	2	0.86394	0.67987
MGH53_P2_E08	0.00712111158885	green3	2	1.5636	0.32654
MGH53_P1_F06	0.486910571994	blue	3	0.097611	0.088142
MGH53_P1_D02	0.125782320658	green3	2	2.8345	0.5509
MGH36_P9_D01	NA	black	0	0	3.1045
MGH36_P6_F02	NA	black	0	0	6.2256
MGH53_P2_E07	NA	black	0	4.6952	0
MGH53_P4_H08	1.68684332782	black	0	2.1496	4.8665
MGH36_P6_F11	-5.56862093921	black	0	0.16479	4.8814
MGH36_P8_C08	0.27481646585	blue	3	0.25822	0.19283
MGH53_P2_D10	10.233501133	black	0	4.2535	5.1672
MGH53_P4_D03	-3.76399964074	black	0	0.27501	3.2584
MGH53_P2_C04	12.4313463957	black	0	4.7937	5.1831
MGH53_P1_E08	-6.24465520728	black	0	0.24975	6.6219
MGH54_P2_A08	-0.468590698551	green3	2	0.096262	0.64339
MGH36_P4_H07	NA	black	0	0	0.1776
MGH36_P9_D06	NA	black	0	4.1073	0
MGH53_P4_C04	0.2529950598	blue	3	0.12035	0.21909
MGH53_P1_E10	NA	black	0	0.41251	0
MGH53_P2_E09	0.519629791088	blue	3	4.5139	0.55778
MGH36_P3_C10	NA	black	0	0	0.079975
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	4.811	0
MGH53_P4_G10	0.0758939078823	green3	2	0.23756	0.3173
MGH54_P2_D07	0.326635584466	blue	3	0.25822	0.16092
MGH53_P2_D09	4.59007250397	black	0	3.7256	3.3262
MGH53_P1_D09	-0.0394974769735	green3	2	0.15575	0.38957
MGH54_P2_B08	NA	black	0	0.097611	0
MGH54_P2_G05	-0.15853638243	green3	2	3.0902	0.086784
MGH53_P2_F06	0.431960568075	blue	3	0.36177	0.079975
MGH36_P3_E01	0.0446912458852	green3	2	0.19535	0.338
MGH36_P5_E12	-1.18843122894	black	0	0.12433	1.0956
