Cell_name	Zvalue	Color	Cluster	HIF1A	LEP
MGH36_P6_A12	NA	black	0	3.1564	0
MGH36_P6_H09	0.0395556395304	green3	2	4.5999	0.41792
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	3.8211	0
MGH53_P2_H12	NA	black	0	4.4395	0
MGH53_P4_D10	NA	black	0	0	0.36625
MGH53_P4_D01	NA	black	0	5.1914	0
MGH36_P6_B07	NA	black	0	0	0.21039
MGH36_P10_B12	NA	black	0	0.90612	0
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	4.9614	0
MGH54_P2_C12	NA	black	0	0.74157	0
MGH53_P4_B07	NA	black	0	4.6003	0
MGH53_P4_F09	NA	black	0	0	0.33685
MGH36_P2_H11	0.207907958885	green3	2	3.8138	0.056584
MGH36_P5_A11	NA	black	0	4.0871	0
MGH53_P1_A09	NA	black	0	4.5786	0
MGH53_P2_B02	NA	black	0	0.18777	0
MGH53_P4_E04	NA	black	0	0.97673	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	NA	black	0	2.06	0
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	NA	black	0	5.3838	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0.3115
MGH36_P8_H12	NA	black	0	5.6908	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	1.4016	0
MGH53_P4_G12	NA	black	0	0	0.33113
MGH53_P2_E08	NA	black	0	4.1102	0
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	4.2461	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	-0.0479993104065	green3	2	0.14012	0.30334
MGH36_P8_C08	NA	black	0	4.1154	0
MGH53_P2_D10	NA	black	0	4.9461	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	-0.10860503942	green3	2	4.761	0.15056
MGH53_P1_E08	NA	black	0	3.2024	0
MGH54_P2_A08	0.702177187115	black	0	1.0936	0.16221
MGH36_P4_H07	NA	black	0	6.4018	0
MGH36_P9_D06	NA	black	0	5.2831	0
MGH53_P4_C04	NA	black	0	0	0.22527
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	3.8043	0
MGH36_P3_C10	-0.0586483452636	green3	2	4.5934	0.16607
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	2.4284	0
MGH53_P4_G10	0.870573664722	black	0	0.37629	0.15704
MGH54_P2_D07	0.588671416446	blue	3	1.4631	0.17121
MGH53_P2_D09	NA	black	0	3.9348	0
MGH53_P1_D09	NA	black	0	5.0645	0
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0	0.22527
MGH36_P5_E12	-0.0755375395944	green3	2	5.5477	0.27739
MGH53_P4_A12	0.435667835807	green3	2	1.757	0.19535
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	5.1956	0
MGH36_P5_C10	NA	black	0	6.1972	0
MGH54_P2_B05	NA	black	0	6.0045	0
MGH36_P2_F09	0.299974031074	green3	2	0.79327	0.24489
MGH53_P4_A05	-0.0974023693192	green3	2	4.8302	0.18777
MGH54_P2_H10	-0.418017190567	green3	2	5.9172	0.15056
MGH53_P4_E06	NA	black	0	4.7095	0
MGH53_P4_D12	NA	black	0	1.8832	0
MGH54_P2_H07	NA	black	0	0	0
MGH53_P2_E03	-0.621539434188	red	1	6.4041	0.12961
MGH53_P1_A05	NA	black	0	2.3448	0
MGH36_P7_D12	0.593992853244	blue	3	2.2735	0.12168
MGH53_P4_H03	NA	black	0	0	0.30801
MGH53_P2_E05	NA	black	0	3.1159	0
MGH36_P4_H11	0.0768676900206	green3	2	3.939	0.1903
MGH53_P1_B01	NA	black	0	4.591	0
MGH54_P2_G03	NA	black	0	6.3307	0
MGH53_P2_F12	NA	black	0	6.5469	0
MGH36_P4_C09	NA	black	0	2.4222	0
MGH36_P5_C08	-0.19244588865	green3	2	5.0259	0.1375
MGH36_P4_H06	NA	black	0	7.0155	0
MGH36_P10_E01	-0.149189870904	green3	2	6.5126	0.27739
MGH36_P8_E12	NA	black	0	3.0813	0
MGH53_P2_C10	NA	black	0	5.752	0
MGH36_P4_H08	-0.0805441111736	green3	2	4.7164	0.1776
MGH36_P7_F07	NA	black	0	3.3774	0
MGH54_P2_A09	0.782592740455	black	0	1.4372	0.12961
MGH36_P6_H11	NA	black	0	4.3563	0
MGH53_P2_E12	NA	black	0	6.3115	0
MGH53_P1_F08	NA	black	0	6.3918	0
MGH36_P6_D12	NA	black	0	4.261	0
MGH36_P2_H09	NA	black	0	0	0.085425
MGH53_P1_C01	NA	black	0	5.4944	0
MGH53_P2_F11	NA	black	0	6.6528	0
MGH36_P6_H04	NA	black	0	5.9295	0
MGH36_P5_G05	NA	black	0	5.3375	0
MGH53_P4_B04	NA	black	0	0	0.37295
MGH53_P1_E05	NA	black	0	0.67627	0
MGH36_P10_A08	NA	black	0	4.0447	0
MGH36_P9_G01	NA	black	0	6.2303	0
MGH53_P4_A06	NA	black	0	5.6843	0
MGH36_P6_B09	NA	black	0	5.5467	0
MGH54_P2_D09	NA	black	0	5.7901	0
MGH53_P1_E06	NA	black	0	2.3657	0
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	-0.101674365529	green3	2	5.6135	0.26664
MGH53_P4_G06	NA	black	0	0	0.16221
MGH36_P8_F01	NA	black	0	4.0826	0
MGH36_P9_F06	NA	black	0	3.9089	0
MGH36_P5_H04	NA	black	0	4.7907	0
MGH53_P1_B03	NA	black	0	4.4074	0
MGH53_P2_D05	NA	black	0	6.3668	0
MGH36_P4_G12	NA	black	0	5.7951	0
MGH53_P2_D11	NA	black	0	5.4845	0
MGH53_P4_C02	NA	black	0	2.8655	0
MGH53_P4_F04	-0.605651184359	red	1	7.3014	0.19409
MGH36_P3_D10	NA	black	0	6.0933	0
MGH54_P2_F04	NA	black	0	4.6364	0
MGH36_P6_A03	NA	black	0	6.0538	0
MGH53_P1_F07	-0.232697759492	green3	2	5.4629	0.18523
MGH36_P5_H08	NA	black	0	4.7788	0
MGH54_P2_A04	NA	black	0	1.9686	0
MGH53_P4_E11	NA	black	0	3.0621	0
MGH53_P2_G03	NA	black	0	6.6228	0
MGH36_P3_F04	NA	black	0	2.48	0
MGH54_P2_B02	NA	black	0	1.84	0
MGH36_P5_C07	NA	black	0	6.5598	0
MGH53_P2_E02	NA	black	0	0	0
MGH54_P2_F09	NA	black	0	4.5777	0
MGH36_P3_D05	NA	black	0	4.6218	0
MGH36_P5_F12	-0.761298486971	black	0	6.3455	0.079975
MGH53_P2_H09	NA	black	0	5.1987	0
MGH54_P2_F07	NA	black	0	3.6389	0
MGH36_P5_D10	NA	black	0	7.0101	0
MGH54_P2_F11	NA	black	0	4.7463	0
MGH53_P2_H04	NA	black	0	0	0.092207
MGH36_P6_F09	-0.770620902317	black	0	6.6328	0.10836
