Cell_name	Zvalue	Color	Cluster	HLA-E	MYC
MGH36_P6_A12	-1.15326131847	green3	2	6.8437	2.4821
MGH36_P6_H09	NA	black	0	7.0846	0
MGH53_P4_G04	NA	black	0	8.2116	0
MGH36_P10_G12	NA	black	0	1.489	0
MGH53_P2_H12	NA	black	0	7.2699	0
MGH53_P4_D10	1.00876803315	blue	3	5.404	4.892
MGH53_P4_D01	NA	black	0	8.1268	0
MGH36_P6_B07	NA	black	0	9.0268	0
MGH36_P10_B12	NA	black	0	6.8838	0
MGH53_P2_G11	NA	black	0	5.504	0
MGH53_P1_E04	NA	black	0	6.0018	0
MGH54_P2_C12	NA	black	0	6.2058	0
MGH53_P4_B07	NA	black	0	4.7918	0
MGH53_P4_F09	-0.0270039746112	green3	2	6.8871	3.5274
MGH36_P2_H11	NA	black	0	8.207	0
MGH36_P5_A11	NA	black	0	8.0853	0
MGH53_P1_A09	NA	black	0	7.638	0
MGH53_P2_B02	NA	black	0	7.6521	0
MGH53_P4_E04	NA	black	0	7.3163	0
MGH53_P4_D08	NA	black	0	4.399	0
MGH36_P1_F07	-3.51900757657	black	0	7.3764	0.63784
MGH53_P2_E11	NA	black	0	6.6297	0
MGH36_P1_G06	NA	black	0	6.8057	0
MGH36_P6_F03	NA	black	0	4.8834	0
MGH54_P2_H06	NA	black	0	7.8037	0
MGH36_P8_H12	-3.27035814701	black	0	7.3367	0.82212
MGH53_P1_B06	NA	black	0	6.8897	0
MGH53_P4_F12	NA	black	0	7.1608	0
MGH53_P4_G12	NA	black	0	7.3994	0
MGH53_P2_E08	NA	black	0	5.271	0
MGH53_P1_F06	2.87966169553	black	0	7.8429	5.8165
MGH53_P1_D02	NA	black	0	6.9906	0
MGH36_P9_D01	NA	black	0	6.5108	0
MGH36_P6_F02	NA	black	0	7.8418	0
MGH53_P2_E07	NA	black	0	7.362	0
MGH53_P4_H08	NA	black	0	7.8293	0
MGH36_P6_F11	NA	black	0	6.6971	0
MGH36_P8_C08	NA	black	0	8.6008	0
MGH53_P2_D10	NA	black	0	5.4234	0
MGH53_P4_D03	NA	black	0	7.5176	0
MGH53_P2_C04	0.698090515801	green3	2	6.287	4.2844
MGH53_P1_E08	NA	black	0	8.4525	0
MGH54_P2_A08	NA	black	0	7.7808	0
MGH36_P4_H07	5.89196216945	black	0	8.4279	7.8082
MGH36_P9_D06	NA	black	0	8.7673	0
MGH53_P4_C04	NA	black	0	6.675	0
MGH53_P1_E10	NA	black	0	6.9314	0
MGH53_P2_E09	NA	black	0	6.7412	0
MGH36_P3_C10	NA	black	0	6.9087	0
MGH53_P2_F01	NA	black	0	7.3192	0
MGH53_P4_H05	NA	black	0	7.6185	0
MGH53_P4_G10	1.0793400589	blue	3	7.3115	4.48
MGH54_P2_D07	NA	black	0	7.9254	0
MGH53_P2_D09	NA	black	0	4.9149	0
MGH53_P1_D09	-2.27938682347	black	0	5.5968	0.71633
MGH54_P2_B08	NA	black	0	5.7445	0
MGH54_P2_G05	NA	black	0	7.9757	0
MGH53_P2_F06	NA	black	0	5.9109	0
MGH36_P3_E01	NA	black	0	5.9264	0
MGH36_P5_E12	NA	black	0	4.8311	0
MGH53_P4_A12	NA	black	0	7.7748	0
MGH36_P9_F01	NA	black	0	7.5983	0
MGH36_P3_H10	NA	black	0	7.5307	0
MGH36_P3_H02	NA	black	0	5.7354	0
MGH36_P5_C10	NA	black	0	7.6559	0
MGH54_P2_B05	0.962294594758	blue	3	6.5854	4.5024
MGH36_P2_F09	2.82006201818	black	0	6.5677	6.3924
MGH53_P4_A05	NA	black	0	4.5773	0
MGH54_P2_H10	NA	black	0	7.024	0
MGH53_P4_E06	NA	black	0	6.8816	0
MGH53_P4_D12	NA	black	0	7.4378	0
MGH54_P2_H07	NA	black	0	7.0361	0
MGH53_P2_E03	1.18392128416	blue	3	8.3052	4.4218
MGH53_P1_A05	-0.796042837545	green3	2	6.1904	2.6886
MGH36_P7_D12	NA	black	0	7.7165	0
MGH53_P4_H03	NA	black	0	6.7003	0
MGH53_P2_E05	-2.49455732485	black	0	5.8824	0.67987
MGH36_P4_H11	NA	black	0	6.0336	0
MGH53_P1_B01	-0.222066855815	green3	2	6.0673	3.2951
MGH54_P2_G03	NA	black	0	6.838	0
MGH53_P2_F12	NA	black	0	6.2611	0
MGH36_P4_C09	NA	black	0	6.1907	0
MGH36_P5_C08	NA	black	0	6.3728	0
MGH36_P4_H06	1.6884832496	blue	3	7.3419	4.9968
MGH36_P10_E01	NA	black	0	7.621	0
MGH36_P8_E12	-0.674453097165	green3	2	7.2707	2.9811
MGH53_P2_C10	NA	black	0	6.4333	0
MGH36_P4_H08	NA	black	0	7.6647	0
MGH36_P7_F07	0.444090683055	green3	2	7.6769	3.9164
MGH54_P2_A09	1.24241329031	blue	3	7.3008	4.6222
MGH36_P6_H11	-2.71969403285	black	0	6.4232	0.80571
MGH53_P2_E12	NA	black	0	5.5388	0
MGH53_P1_F08	NA	black	0	7.3079	0
MGH36_P6_D12	-0.740267863781	green3	2	6.8201	2.8602
MGH36_P2_H09	0.868010676849	blue	3	5.7562	4.5923
MGH53_P1_C01	NA	black	0	5.8714	0
MGH53_P2_F11	NA	black	0	5.9519	0
MGH36_P6_H04	NA	black	0	8.3107	0
MGH36_P5_G05	1.87697610429	blue	3	4.6627	6.8561
MGH53_P4_B04	NA	black	0	7.5314	0
MGH53_P1_E05	NA	black	0	7.4013	0
MGH36_P10_A08	0.981486539031	blue	3	7.4004	4.3832
MGH36_P9_G01	NA	black	0	6.9801	0
MGH53_P4_A06	2.09258487837	black	0	7.8007	5.2067
MGH36_P6_B09	1.12550622987	blue	3	6.7993	4.6174
MGH54_P2_D09	-2.86459856493	black	0	6.0434	0.39177
MGH53_P1_E06	NA	black	0	6.899	0
MGH36_P4_A10	NA	black	0	5.5178	0
MGH36_P6_B02	NA	black	0	7.9893	0
MGH53_P4_G06	NA	black	0	6.4366	0
MGH36_P8_F01	NA	black	0	6.9538	0
MGH36_P9_F06	2.46117669346	black	0	7.0101	5.8031
MGH36_P5_H04	NA	black	0	8.0805	0
MGH53_P1_B03	NA	black	0	6.8121	0
MGH53_P2_D05	-0.104949251646	green3	2	5.3118	3.3883
MGH36_P4_G12	1.07477540993	blue	3	7.805	4.4036
MGH53_P2_D11	NA	black	0	7.2524	0
MGH53_P4_C02	NA	black	0	7.0558	0
MGH53_P4_F04	0.299412521297	green3	2	8.2326	3.7869
MGH36_P3_D10	NA	black	0	6.2045	0
MGH54_P2_F04	NA	black	0	6.5632	0
MGH36_P6_A03	NA	black	0	8.0693	0
MGH53_P1_F07	NA	black	0	7.3972	0
MGH36_P5_H08	-1.90367715478	red	1	4.5421	0.21164
MGH54_P2_A04	0.787395310659	green3	2	7.1254	4.2519
MGH53_P4_E11	0.952518661011	blue	3	8.296	4.2558
MGH53_P2_G03	NA	black	0	5.9367	0
MGH36_P3_F04	1.3967915638	blue	3	6.4271	4.986
MGH54_P2_B02	3.75890264816	black	0	7.3698	6.781
MGH36_P5_C07	NA	black	0	7.6644	0
MGH53_P2_E02	NA	black	0	7.0728	0
MGH54_P2_F09	NA	black	0	5.672	0
MGH36_P3_D05	NA	black	0	7.2419	0
MGH36_P5_F12	NA	black	0	8.2091	0
MGH53_P2_H09	NA	black	0	8.096	0
MGH54_P2_F07	NA	black	0	7.4288	0
MGH36_P5_D10	NA	black	0	7.0134	0
MGH54_P2_F11	NA	black	0	7.7352	0
MGH53_P2_H04	NA	black	0	4.2078	0
MGH36_P6_F09	NA	black	0	6.9289	0
MGH36_P9_F05	NA	black	0	6.7504	0
MGH36_P8_G11	NA	black	0	5.6702	0
MGH54_P2_A07	NA	black	0	7.4767	0
MGH36_P7_H06	0.225833948935	green3	2	7.3308	3.7496
MGH53_P1_A01	NA	black	0	7.3802	0
MGH53_P1_A02	-0.128548716255	green3	2	6.7684	3.4291
MGH54_P2_E07	0.56637462959	green3	2	6.0057	4.1835
MGH53_P4_F07	NA	black	0	7.9978	0
MGH53_P2_C05	NA	black	0	7.1326	0
MGH53_P4_H07	NA	black	0	7.0244	0
MGH53_P2_C06	2.15386701722	black	0	5.6151	6.2974
