Cell_name	Zvalue	Color	Cluster	HMGA1	INSR
MGH36_P6_A12	-0.499487127257	red	1	0.94636	2.0902
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	0.465154275778	red	1	0.10836	1.237
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	2.886	0
MGH36_P6_B07	NA	black	0	0	0.082703
MGH36_P10_B12	NA	black	0	0	3.8806
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	3.0461	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	1.62095544915	green3	2	4.0883	3.1536
MGH36_P2_H11	NA	black	0	4.4023	0
MGH36_P5_A11	NA	black	0	3.8371	0
MGH53_P1_A09	NA	black	0	0	0.96864
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	1.5266
MGH53_P4_D08	NA	black	0	4.0047	0
MGH36_P1_F07	0.899230622047	red	1	3.123	3.6171
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	1.94030408583	black	0	4.1252	3.4071
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	0	1.2497
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	2.948	0
MGH53_P4_G12	NA	black	0	0	0
MGH53_P2_E08	NA	black	0	3.3775	0
MGH53_P1_F06	NA	black	0	2.9946	0
MGH53_P1_D02	-0.33148609695	red	1	3.3611	1.3121
MGH36_P9_D01	NA	black	0	0	2.3843
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0	1.9873
MGH53_P4_H08	-0.085364009232	red	1	2.2984	0.28333
MGH36_P6_F11	0.134050795083	red	1	4.2844	1.8992
MGH36_P8_C08	NA	black	0	0	0.58592
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	1.2473
MGH53_P2_C04	NA	black	0	0	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	1.2497
MGH36_P4_H07	NA	black	0	0	1.926
MGH36_P9_D06	NA	black	0	0	0.83673
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	1.1577	0
MGH53_P2_E09	NA	black	0	3.5968	0
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	0.43296	0
MGH53_P4_H05	NA	black	0	0	2.319
MGH53_P4_G10	NA	black	0	0	2.376
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0	2.114
MGH53_P1_D09	NA	black	0	0	0
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0	0.073135
MGH36_P3_E01	NA	black	0	0	3.3716
MGH36_P5_E12	NA	black	0	0	0
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	-1.64407510522	red	1	4.1611	0.59932
MGH36_P3_H10	NA	black	0	0	0.774
MGH36_P3_H02	NA	black	0	1.9986	0
MGH36_P5_C10	NA	black	0	0	0.097611
MGH54_P2_B05	NA	black	0	0	0
MGH36_P2_F09	2.38913680597	black	0	5.362	3.0079
MGH53_P4_A05	NA	black	0	2.3417	0
MGH54_P2_H10	NA	black	0	0	2.3757
MGH53_P4_E06	NA	black	0	0	0
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0	0
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	1.9683	0
MGH36_P7_D12	NA	black	0	0	0
MGH53_P4_H03	NA	black	0	0	1.487
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0.61447	0
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	-0.626659795394	red	1	3.3845	0.96421
MGH36_P5_C08	NA	black	0	0	0
MGH36_P4_H06	NA	black	0	0	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	0.815633458818	red	1	0.85599	0.76384
MGH53_P2_C10	NA	black	0	2.1635	0
MGH36_P4_H08	NA	black	0	0	1.5236
MGH36_P7_F07	-0.0661154047714	red	1	2.4206	3.749
MGH54_P2_A09	1.23063577669	red	1	3.3853	3.5979
MGH36_P6_H11	NA	black	0	0	1.6425
MGH53_P2_E12	1.19928816043	red	1	0.82049	0.38184
MGH53_P1_F08	NA	black	0	0	0
MGH36_P6_D12	1.81778820692	green3	2	4.4839	3.0468
MGH36_P2_H09	NA	black	0	3.7264	0
