Cell_name	Zvalue	Color	Cluster	HTT	SP1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	3.0391	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0	1.858
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	3.4827	0
MGH53_P2_G11	NA	black	0	0.11636	0
MGH53_P1_E04	-1.0277093633	green3	2	0.088142	2.6159
MGH54_P2_C12	NA	black	0	0.16479	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0	4.2931
MGH36_P2_H11	-0.412885890672	green3	2	0.41251	2.1506
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0.5509	0
MGH53_P2_B02	NA	black	0	3.121	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	NA	black	0	0	1.2041
MGH53_P2_E11	NA	black	0	0	0.81721
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0.62761	0
MGH36_P8_H12	NA	black	0	0	0.16092
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0
MGH53_P4_G12	NA	black	0	0	0
MGH53_P2_E08	NA	black	0	3.0778	0
MGH53_P1_F06	NA	black	0	2.07	0
MGH53_P1_D02	NA	black	0	0	0.53207
MGH36_P9_D01	NA	black	0	2.706	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	-0.426491850407	green3	2	0.66175	2.4898
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	NA	black	0	0	0.074505
MGH36_P8_C08	0.0179246221054	green3	2	1.103	0.82863
MGH53_P2_D10	NA	black	0	0.34483	0
MGH53_P4_D03	0.843661033638	green3	2	0.14012	0.44361
MGH53_P2_C04	NA	black	0	1.3465	0
MGH53_P1_E08	NA	black	0	1.0036	0
MGH54_P2_A08	NA	black	0	0	0
MGH36_P4_H07	NA	black	0	0	4.1056
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	1.537
MGH53_P2_E09	0.0481637439362	green3	2	0.46153	1.4114
MGH36_P3_C10	NA	black	0	0.20414	0
MGH53_P2_F01	-1.05707979323	green3	2	0.51299	3.3357
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	3.5779	0
MGH54_P2_D07	0.0233406856743	green3	2	2.2693	1.5811
MGH53_P2_D09	NA	black	0	0.36737	0
