Cell_name	Zvalue	Color	Cluster	ICAM1	REL
MGH36_P6_A12	2.12395943129	black	0	6.0164	4.23
MGH36_P6_H09	NA	black	0	0	1.8824
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	5.30960427387	black	0	7.1597	6.1027
MGH53_P2_H12	2.88196101443	black	0	6.2636	4.7169
MGH53_P4_D10	NA	black	0	0	2.1564
MGH53_P4_D01	0.00478333868537	blue	3	0.72072	1.3951
MGH36_P6_B07	0.115407286178	blue	3	0.41359	0.24489
MGH36_P10_B12	0.131256834055	blue	3	0.27739	0.72944
MGH53_P2_G11	-0.334477164912	black	0	0.23511	2.0635
MGH53_P1_E04	0.160366622998	blue	3	1.8754	2.9499
MGH54_P2_C12	-2.03899075269	black	0	3.4472	0.44042
MGH53_P4_B07	NA	black	0	0	1.1903
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	0.0478342227335	blue	3	0.059355	1.1097
MGH36_P5_A11	-3.21608982166	black	0	0.15445	4.9793
MGH53_P1_A09	-1.6220083886	black	0	0.3173	3.8397
MGH53_P2_B02	-2.92028107853	black	0	4.0612	0.338
MGH53_P4_E04	NA	black	0	0	1.373
MGH53_P4_D08	NA	black	0	0	0.32539
MGH36_P1_F07	-1.91763603188	black	0	3.0524	0.20914
MGH53_P2_E11	NA	black	0	0	7.7272
MGH36_P1_G06	NA	black	0	0	0.36065
MGH36_P6_F03	-4.94709032729	black	0	0.19535	6.1737
MGH54_P2_H06	0.0641685929014	blue	3	0.59359	0.71105
MGH36_P8_H12	0.857725165346	black	0	3.0383	3.8003
MGH53_P1_B06	NA	black	0	0.26664	0
MGH53_P4_F12	NA	black	0	0	0.26424
MGH53_P4_G12	-0.48519966254	black	0	6.5111	2.8815
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	1.05853738264	black	0	4.1431	3.4713
MGH36_P9_D01	NA	black	0	1.2798	0
MGH36_P6_F02	NA	black	0	0	0.338
MGH53_P2_E07	-0.078068082605	green3	2	1.8335	1.5089
MGH53_P4_H08	0.0604618681258	blue	3	0.56657	0.38626
MGH36_P6_F11	NA	black	0	0	0.9501
MGH36_P8_C08	-1.96027995993	black	0	3.5759	0.59455
MGH53_P2_D10	NA	black	0	0	5.9914
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	3.0503
MGH53_P1_E08	NA	black	0	0	1.2987
MGH54_P2_A08	-5.93480148687	black	0	6.6377	0.71194
MGH36_P4_H07	NA	black	0	5.1668	0
MGH36_P9_D06	3.05886032584	black	0	5.3789	5.1473
MGH53_P4_C04	NA	black	0	0	0.2916
MGH53_P1_E10	NA	black	0	0	5.9841
MGH53_P2_E09	0.107716845704	blue	3	0.23511	0.88908
MGH36_P3_C10	2.17759322594	black	0	5.0545	4.417
MGH53_P2_F01	NA	black	0	0	0.18015
MGH53_P4_H05	-1.62163484236	black	0	0.5724	4.1778
MGH53_P4_G10	-0.316761577529	black	0	1.2975	0.34483
MGH54_P2_D07	NA	black	0	0	0.44573
MGH53_P2_D09	1.3738124505	black	0	3.6859	4.1955
MGH53_P1_D09	NA	black	0	0	5.1509
MGH54_P2_B08	NA	black	0	0.1903	0
MGH54_P2_G05	NA	black	0	0.18777	0
MGH53_P2_F06	1.45781370167	black	0	5.1511	3.7668
MGH36_P3_E01	-4.24873980152	black	0	0.37295	5.9909
MGH36_P5_E12	3.47559515832	black	0	5.7617	5.3302
MGH53_P4_A12	0.340506430161	blue	3	4.4784	2.7981
MGH36_P9_F01	NA	black	0	0	2.698
MGH36_P3_H10	NA	black	0	0	0.19912
MGH36_P3_H02	NA	black	0	0	5.4765
MGH36_P5_C10	-1.13877852928	black	0	0.4813	3.5155
MGH54_P2_B05	NA	black	0	0	6.3285
MGH36_P2_F09	-1.71529757645	black	0	6.506	2.3179
MGH53_P4_A05	NA	black	0	6.0758	0
MGH54_P2_H10	0.354648920821	blue	3	3.2531	2.6369
MGH53_P4_E06	0.43179294621	magenta	5	2.4823	3.1207
MGH53_P4_D12	NA	black	0	0	2.6713
MGH54_P2_H07	NA	black	0	0	1.4049
MGH53_P2_E03	-1.32358337819	black	0	3.2365	0.83915
MGH53_P1_A05	0.670282096139	black	0	2.6967	4.407
MGH36_P7_D12	-6.61265605139	black	0	6.7743	0.5568
MGH53_P4_H03	1.06478984697	black	0	7.451	3.8427
MGH53_P2_E05	NA	black	0	0	5.6148
MGH36_P4_H11	NA	black	0	0	2.8045
MGH53_P1_B01	NA	black	0	0	6.1175
MGH54_P2_G03	-0.644341240301	black	0	0.22527	2.5624
MGH53_P2_F12	NA	black	0	0	6.1899
MGH36_P4_C09	-0.681800648977	black	0	1.952	0.45838
MGH36_P5_C08	-0.290697149255	black	0	0.1003	1.8777
MGH36_P4_H06	1.69381619314	black	0	4.3844	4.1592
MGH36_P10_E01	-2.88018161059	black	0	0.53506	5.2512
MGH36_P8_E12	-0.806537925403	black	0	5.6823	2.4268
MGH53_P2_C10	3.2011529623	black	0	5.7592	5.087
MGH36_P4_H08	-0.101200584226	green3	2	6.1542	2.9588
MGH36_P7_F07	-3.41712005028	black	0	0.12829	5.0892
MGH54_P2_A09	-4.23888106059	black	0	0.26063	5.8249
MGH36_P6_H11	2.63417217592	black	0	5.3359	4.7499
MGH53_P2_E12	-0.427190876371	black	0	3.6979	1.8903
MGH53_P1_F08	0.415294260816	magenta	5	2.6371	2.8824
MGH36_P6_D12	2.55954224212	black	0	5.8371	4.5512
MGH36_P2_H09	-1.75350744573	black	0	0.13488	3.745
MGH53_P1_C01	NA	black	0	0	5.6614
MGH53_P2_F11	NA	black	0	0	4.3599
MGH36_P6_H04	0.581481133748	black	0	4.467	3.0005
MGH36_P5_G05	3.79419144626	black	0	5.655	5.7182
MGH53_P4_B04	NA	black	0	0	1.2449
MGH53_P1_E05	4.71854027299	black	0	6.0628	6.3189
MGH36_P10_A08	-1.23811373204	black	0	4.7148	1.763
MGH36_P9_G01	1.76319116039	black	0	4.8294	4.0766
MGH53_P4_A06	-0.920145118437	black	0	0.18269	2.8928
MGH36_P6_B09	NA	black	0	0	3.6808
MGH54_P2_D09	NA	black	0	0	4.3243
