Cell_name	Zvalue	Color	Cluster	ICAM1	STAT3
MGH36_P6_A12	3.13108261059	black	0	6.0164	4.3499
MGH36_P6_H09	NA	black	0	0	4.2076
MGH53_P4_G04	NA	black	0	0	0.31267
MGH36_P10_G12	NA	black	0	7.1597	0
MGH53_P2_H12	2.84159073628	black	0	6.2636	4.0941
MGH53_P4_D10	NA	black	0	0	0.63134
MGH53_P4_D01	NA	black	0	0.72072	0
MGH36_P6_B07	0.27639589435	green3	2	0.41359	0.53007
MGH36_P10_B12	0.327746690232	green3	2	0.27739	0.65076
MGH53_P2_G11	NA	black	0	0.23511	0
MGH53_P1_E04	NA	black	0	1.8754	0
MGH54_P2_C12	1.6125503893	black	0	3.4472	4.3749
MGH53_P4_B07	NA	black	0	0	3.515
MGH53_P4_F09	NA	black	0	0	5.3589
MGH36_P2_H11	0.586489171316	green3	2	0.059355	0.077243
MGH36_P5_A11	NA	black	0	0.15445	0
MGH53_P1_A09	-0.69029659003	red	1	0.3173	5.1951
MGH53_P2_B02	-2.24046700709	black	0	4.0612	0.16221
MGH53_P4_E04	NA	black	0	0	4.4692
MGH53_P4_D08	NA	black	0	0	0.31267
MGH36_P1_F07	1.74034466378	black	0	3.0524	4.9724
MGH53_P2_E11	NA	black	0	0	0.26183
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	-0.488969818283	red	1	0.19535	4.0858
MGH54_P2_H06	NA	black	0	0.59359	0
MGH36_P8_H12	0.712015558008	green3	2	3.0383	3.3883
MGH53_P1_B06	-0.142247037554	red	1	0.26664	2.8506
MGH53_P4_F12	NA	black	0	0	5.1995
MGH53_P4_G12	4.3488808774	black	0	6.5111	4.8872
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	4.6999
MGH53_P1_D02	1.00327234584	blue	3	4.1431	3.3336
MGH36_P9_D01	0.111651145757	red	1	1.2798	3.4464
MGH36_P6_F02	NA	black	0	0	0.3584
MGH53_P2_E07	NA	black	0	1.8335	0
MGH53_P4_H08	0.194418466007	green3	2	0.56657	0.50691
MGH36_P6_F11	NA	black	0	0	4.7856
MGH36_P8_C08	2.05319025834	black	0	3.5759	4.8193
MGH53_P2_D10	NA	black	0	0	0.20539
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	3.8655
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	5.58394933489	black	0	6.6377	5.531
MGH36_P4_H07	-0.679059807795	red	1	5.1668	1.8883
MGH36_P9_D06	2.65656151873	black	0	5.3789	4.2729
MGH53_P4_C04	NA	black	0	0	3.9941
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0.23511	0
MGH36_P3_C10	3.78866225848	black	0	5.0545	5.3001
MGH53_P2_F01	NA	black	0	0	4.4016
MGH53_P4_H05	0.120346095914	red	1	0.5724	1.206
MGH53_P4_G10	-0.156067016029	red	1	1.2975	0.97746
MGH54_P2_D07	NA	black	0	0	0.23756
MGH53_P2_D09	-1.24948945064	red	1	3.6859	0.94486
MGH53_P1_D09	NA	black	0	0	5.9656
MGH54_P2_B08	-0.661321993808	red	1	0.1903	4.6787
MGH54_P2_G05	0.416526646945	green3	2	0.18777	0.45418
MGH53_P2_F06	2.52692180826	black	0	5.1511	4.2716
MGH36_P3_E01	0.281904610255	green3	2	0.37295	0.63413
MGH36_P5_E12	-3.59301354422	black	0	5.7617	0.11636
MGH53_P4_A12	1.21205492051	blue	3	4.4784	3.4358
MGH36_P9_F01	NA	black	0	0	0.9568
MGH36_P3_H10	NA	black	0	0	0.21039
MGH36_P3_H02	NA	black	0	0	2.1263
MGH36_P5_C10	0.282533961741	green3	2	0.4813	0.17505
MGH54_P2_B05	NA	black	0	0	0.35163
MGH36_P2_F09	-3.87385907951	black	0	6.506	0.28333
MGH53_P4_A05	-3.45189491251	black	0	6.0758	0.34596
MGH54_P2_H10	-1.69150301442	black	0	3.2531	0.10836
MGH53_P4_E06	-0.4366030687	red	1	2.4823	1.4319
MGH53_P4_D12	NA	black	0	0	3.0839
MGH54_P2_H07	NA	black	0	0	0.25942
MGH53_P2_E03	NA	black	0	3.2365	0
MGH53_P1_A05	0.576987473459	green3	2	2.6967	3.347
MGH36_P7_D12	-3.91872102939	black	0	6.7743	0.36401
MGH53_P4_H03	4.10090743689	black	0	7.451	4.4372
MGH53_P2_E05	NA	black	0	0	0.19535
MGH36_P4_H11	NA	black	0	0	2.4166
MGH53_P1_B01	NA	black	0	0	5.0552
MGH54_P2_G03	NA	black	0	0.22527	0
MGH53_P2_F12	NA	black	0	0	4.0004
MGH36_P4_C09	-0.366662688256	red	1	1.952	1.1808
MGH36_P5_C08	-0.768965790959	red	1	0.1003	4.7887
MGH36_P4_H06	-2.4844551728	black	0	4.3844	0.15834
MGH36_P10_E01	0.195414558281	green3	2	0.53506	0.65992
MGH36_P8_E12	NA	black	0	5.6823	0
MGH53_P2_C10	-0.0651592131384	red	1	5.7592	2.362
MGH36_P4_H08	NA	black	0	6.1542	0
MGH36_P7_F07	0.365604949916	green3	2	0.12829	0.80488
MGH54_P2_A09	-0.600284632995	red	1	0.26063	4.6616
MGH36_P6_H11	-3.0808331749	black	0	5.3359	0.24123
MGH53_P2_E12	-1.79660608749	black	0	3.6979	0.35389
MGH53_P1_F08	1.35726820798	blue	3	2.6371	4.906
MGH36_P6_D12	2.36586358534	black	0	5.8371	3.9205
MGH36_P2_H09	0.304810920194	green3	2	0.13488	1.0412
MGH53_P1_C01	NA	black	0	0	5.0108
MGH53_P2_F11	NA	black	0	0	3.6218
MGH36_P6_H04	NA	black	0	4.467	0
MGH36_P5_G05	5.15199563344	black	0	5.655	5.8706
MGH53_P4_B04	NA	black	0	0	2.1548
