Cell_name	Zvalue	Color	Cluster	IFNAR1	STAT3
MGH36_P6_A12	NA	black	0	0	4.3499
MGH36_P6_H09	-1.12655430389	red	1	0.26063	4.2076
MGH53_P4_G04	0.818326417159	red	1	0.66539	0.31267
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0	4.0941
MGH53_P4_D10	NA	black	0	0	0.63134
MGH53_P4_D01	NA	black	0	0.42546	0
MGH36_P6_B07	-1.22317816679	red	1	3.6724	0.53007
MGH36_P10_B12	0.824847959263	red	1	0.41792	0.65076
MGH53_P2_G11	NA	black	0	0.24732	0
MGH53_P1_E04	NA	black	0	3.8429	0
MGH54_P2_C12	-1.23540700676	red	1	0.2461	4.3749
MGH53_P4_B07	-0.786314606756	red	1	0.12961	3.515
MGH53_P4_F09	-1.6790403305	red	1	0.36401	5.3589
MGH36_P2_H11	-1.40609098993	red	1	3.5086	0.077243
MGH36_P5_A11	NA	black	0	0.33342	0
MGH53_P1_A09	-1.79641574069	red	1	0.17505	5.1951
MGH53_P2_B02	-2.72641710932	red	1	5.2361	0.16221
MGH53_P4_E04	2.29156277806	red	1	4.6442	4.4692
MGH53_P4_D08	1.07677103058	green3	2	0.30685	0.31267
MGH36_P1_F07	-1.75407321871	red	1	0.08134	4.9724
MGH53_P2_E11	0.883466702249	red	1	0.60597	0.26183
MGH36_P1_G06	NA	black	0	0.04684	0
MGH36_P6_F03	-0.94758557448	red	1	0.419	4.0858
MGH54_P2_H06	NA	black	0	0.84318	0
MGH36_P8_H12	-0.604557579203	red	1	0.37072	3.3883
MGH53_P1_B06	NA	black	0	0	2.8506
MGH53_P4_F12	-1.51508279664	red	1	0.43403	5.1995
MGH53_P4_G12	1.7676975433	red	1	3.6437	4.8872
MGH53_P2_E08	NA	black	0	1.7681	0
MGH53_P1_F06	-0.473981724721	red	1	1.294	4.6999
MGH53_P1_D02	0.43897259512	red	1	2.9275	3.3336
MGH36_P9_D01	-0.657014681763	red	1	0.32308	3.4464
MGH36_P6_F02	0.759685261461	red	1	0.72159	0.3584
MGH53_P2_E07	NA	black	0	0.33228	0
MGH53_P4_H08	1.05286786547	green3	2	0.17887	0.50691
MGH36_P6_F11	-1.02163744704	red	1	0.72944	4.7856
MGH36_P8_C08	-1.25847019045	red	1	0.4957	4.8193
MGH53_P2_D10	1.09648558218	green3	2	0.3584	0.20539
MGH53_P4_D03	NA	black	0	0.66903	0
MGH53_P2_C04	NA	black	0	0	3.8655
MGH53_P1_E08	NA	black	0	3.8305	0
MGH54_P2_A08	-1.96373044214	red	1	0.20789	5.531
MGH36_P4_H07	-0.34387089619	red	1	4.1299	1.8883
MGH36_P9_D06	-0.057199199569	red	1	1.7386	4.2729
MGH53_P4_C04	-1.01108943742	red	1	0.24732	3.9941
MGH53_P1_E10	NA	black	0	0.24975	0
MGH53_P2_E09	NA	black	0	0.55189	0
MGH36_P3_C10	3.4074694163	black	0	4.8679	5.3001
MGH53_P2_F01	-1.15582747649	red	1	0.36513	4.4016
MGH53_P4_H05	NA	black	0	0	1.206
MGH53_P4_G10	0.745836503884	red	1	0.23266	0.97746
MGH54_P2_D07	-1.38959497146	red	1	3.6216	0.23756
MGH53_P2_D09	0.660870948821	red	1	0.44679	0.94486
MGH53_P1_D09	-1.44239403928	red	1	0.77653	5.9656
MGH54_P2_B08	-1.374056998	red	1	0.29042	4.6787
MGH54_P2_G05	-0.454526246071	red	1	2.4665	0.45418
MGH53_P2_F06	-1.19690935621	red	1	0.21661	4.2716
MGH36_P3_E01	0.921291649265	red	1	0.27143	0.63413
MGH36_P5_E12	1.13471855514	green3	2	0.36961	0.11636
MGH53_P4_A12	-0.749564165811	red	1	0.1003	3.4358
MGH36_P9_F01	0.644792949858	red	1	0.4678	0.9568
MGH36_P3_H10	-0.672257138457	red	1	2.669	0.21039
MGH36_P3_H02	NA	black	0	0	2.1263
MGH36_P5_C10	1.1030461092	green3	2	0.37072	0.17505
MGH54_P2_B05	0.654295019948	red	1	0.87421	0.35163
MGH36_P2_F09	1.00068367755	red	1	0.43296	0.28333
MGH53_P4_A05	0.963944554646	red	1	0.44042	0.34596
MGH54_P2_H10	1.36384798075	red	1	0.086784	0.10836
MGH53_P4_E06	0.496043534333	red	1	0.1865	1.4319
MGH53_P4_D12	-0.536586244025	red	1	0.063503	3.0839
MGH54_P2_H07	1.17089160411	green3	2	0.21909	0.25942
MGH53_P2_E03	NA	black	0	1.3185	0
MGH53_P1_A05	NA	black	0	0	3.347
MGH36_P7_D12	-1.22393677773	red	1	3.5111	0.36401
MGH53_P4_H03	-1.08661658038	red	1	0.47405	4.4372
MGH53_P2_E05	1.25645108152	red	1	0.15575	0.19535
MGH36_P4_H11	-0.0920523046598	red	1	0.23879	2.4166
MGH53_P1_B01	2.0616330492	red	1	3.8202	5.0552
MGH54_P2_G03	NA	black	0	0.123	0
MGH53_P2_F12	1.5046838157	red	1	4.1742	4.0004
MGH36_P4_C09	-0.979439376538	red	1	4.1821	1.1808
MGH36_P5_C08	1.44621345759	red	1	3.3686	4.7887
MGH36_P4_H06	1.01459434789	red	1	0.4957	0.15834
MGH36_P10_E01	NA	black	0	0	0.65992
MGH36_P8_E12	NA	black	0	0.25701	0
MGH53_P2_C10	-0.0660358449733	red	1	0.10299	2.362
MGH36_P4_H08	NA	black	0	2.6873	0
MGH36_P7_F07	0.925442708528	red	1	0.084064	0.80488
MGH54_P2_A09	0.343638668252	red	1	2.2041	4.6616
MGH36_P6_H11	NA	black	0	0	0.24123
MGH53_P2_E12	0.745513277511	red	1	0.74416	0.35389
MGH53_P1_F08	-1.57837240781	red	1	0.21537	4.906
MGH36_P6_D12	1.4142763764	red	1	4.14	3.9205
MGH36_P2_H09	0.681908753212	red	1	0.29278	1.0412
MGH53_P1_C01	-1.77347623634	red	1	0.086784	5.0108
MGH53_P2_F11	-0.842678565801	red	1	0.15056	3.6218
MGH36_P6_H04	NA	black	0	3.4248	0
MGH36_P5_G05	-2.39216882937	red	1	0.042644	5.8706
MGH53_P4_B04	0.0126639989539	red	1	1.5018	2.1548
MGH53_P1_E05	-0.367532280011	red	1	1.263	4.0583
MGH36_P10_A08	0.30545351362	red	1	0.19283	1.748
MGH36_P9_G01	-1.11205236228	red	1	0.25701	4.1782
MGH53_P4_A06	-1.14541989658	red	1	4.284	1.0475
MGH36_P6_B09	-0.276490583542	red	1	0.38847	2.7835
MGH54_P2_D09	0.917574958037	red	1	0.44784	0.42868
MGH53_P1_E06	1.00624407412	red	1	0.46989	0.21661
MGH36_P4_A10	1.15234857963	green3	2	0.23389	0.27262
MGH36_P6_B02	-1.12123109735	red	1	0.15445	4.0744
MGH53_P4_G06	-2.07773095403	red	1	4.5566	0.26544
MGH36_P8_F01	0.00329140768893	red	1	2.5132	2.2869
MGH36_P9_F06	1.3010134423	red	1	4.113	3.8066
MGH36_P5_H04	1.13340324792	green3	2	0.30801	0.20789
MGH53_P1_B03	-0.123236696714	red	1	0.16221	2.4597
MGH53_P2_D05	1.17282688441	green3	2	5.1348	3.2415
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	-0.557052992434	red	1	0.27977	3.2377
MGH53_P4_C02	0.292837030419	red	1	0.11636	1.7908
