Cell_name	Zvalue	Color	Cluster	IGF1	NCOR1
MGH36_P6_A12	NA	black	0	0	1.4152
MGH36_P6_H09	NA	black	0	4.5754	0
MGH53_P4_G04	NA	black	0	0.45943	0
MGH36_P10_G12	NA	black	0	0	3.0954
MGH53_P2_H12	NA	black	0	0	2.0101
MGH53_P4_D10	NA	black	0	0	2.0197
MGH53_P4_D01	NA	black	0	0	2.7818
MGH36_P6_B07	3.016381398	black	0	1.6267	5.039
MGH36_P10_B12	-0.0984421701179	red	1	0.36401	0.29042
MGH53_P2_G11	-0.146984303415	red	1	0.10969	3.4455
MGH53_P1_E04	NA	black	0	4.1592	0
MGH54_P2_C12	0.400810415551	red	1	0.063503	1.2672
MGH53_P4_B07	0.0339579746202	red	1	0.30451	1.121
MGH53_P4_F09	NA	black	0	0.19787	0
MGH36_P2_H11	0.495737944003	green3	2	0.082703	0.76469
MGH36_P5_A11	-0.00517473577804	red	1	0.4049	2.7086
MGH53_P1_A09	0.477228258323	green3	2	0.14926	0.11103
MGH53_P2_B02	-0.022728120207	red	1	0.29278	3.4967
MGH53_P4_E04	7.84465625556	black	0	5.4003	4.2971
MGH53_P4_D08	NA	black	0	0.22774	0
MGH36_P1_F07	-3.759576321	black	0	3.668	1.6549
MGH53_P2_E11	-0.00823660192971	red	1	0.3173	4.1479
MGH36_P1_G06	-0.0788736385031	red	1	0.034216	3.039
MGH36_P6_F03	0.418111128478	green3	2	3.1217	2.9123
MGH54_P2_H06	0.419601505707	green3	2	0.15575	0.34142
MGH36_P8_H12	-0.00536099411207	red	1	0.31846	3.8543
MGH53_P1_B06	10.339115127	black	0	5.2509	4.8462
MGH53_P4_F12	NA	black	0	0.18523	0
MGH53_P4_G12	0.208835564028	red	1	0.67987	3.345
MGH53_P2_E08	0.00194495822876	red	1	0.32654	3.4059
MGH53_P1_F06	NA	black	0	0.088142	0
MGH53_P1_D02	-0.156142484301	red	1	0.5509	2.0959
MGH36_P9_D01	-7.18356259721	black	0	3.1045	0.21909
MGH36_P6_F02	-5.76492936295	black	0	6.2256	1.782
MGH53_P2_E07	NA	black	0	0	4.592
MGH53_P4_H08	NA	black	0	4.8665	0
MGH36_P6_F11	6.42821084903	black	0	4.8814	4.1601
MGH36_P8_C08	-0.192383822656	red	1	0.19283	4.2189
MGH53_P2_D10	10.8447688633	black	0	5.1672	4.9853
MGH53_P4_D03	2.97584451006	black	0	3.2584	3.7635
MGH53_P2_C04	4.86407006029	black	0	5.1831	3.7549
MGH53_P1_E08	NA	black	0	6.6219	0
MGH54_P2_A08	NA	black	0	0.64339	0
MGH36_P4_H07	0.137739662329	red	1	0.1776	1.8516
MGH36_P9_D06	NA	black	0	0	3.6242
MGH53_P4_C04	0.0391217569665	red	1	0.21909	2.4063
MGH53_P1_E10	NA	black	0	0	2.7634
MGH53_P2_E09	0.283381449323	red	1	0.55778	3.9552
MGH36_P3_C10	NA	black	0	0.079975	0
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	0	0.22527
MGH53_P4_G10	0.0213354535126	red	1	0.3173	0.11636
MGH54_P2_D07	0.0350605645816	red	1	0.16092	2.561
MGH53_P2_D09	3.00837513461	black	0	3.3262	3.7517
MGH53_P1_D09	-0.108161229066	red	1	0.38957	1.1375
MGH54_P2_B08	NA	black	0	0	3.3257
MGH54_P2_G05	-0.125825707059	red	1	0.086784	3.2926
MGH53_P2_F06	0.534037143747	green3	2	0.079975	0.63413
MGH36_P3_E01	NA	black	0	0.338	0
MGH36_P5_E12	1.87559274065	black	0	1.0956	5.1501
MGH53_P4_A12	-0.394551973269	red	1	0.12168	4.6943
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	6.99068080005	black	0	5.0707	4.2229
MGH36_P3_H02	-8.62938926278	black	0	6.1408	1.2762
MGH36_P5_C10	NA	black	0	0.12697	0
MGH54_P2_B05	0.000898298803538	red	1	0.079975	2.7683
MGH36_P2_F09	NA	black	0	1.7407	0
MGH53_P4_A05	NA	black	0	0.34483	0
MGH54_P2_H10	0.279456374113	red	1	0.07861	1.6576
MGH53_P4_E06	0.222677203313	red	1	0.12035	1.7022
MGH53_P4_D12	NA	black	0	0.67265	0
MGH54_P2_H07	-0.120855124769	red	1	0.27381	5.1987
MGH53_P2_E03	0.015386452582	red	1	0.1177	2.6987
MGH53_P1_A05	0.683141065178	black	0	0.074505	0.098958
MGH36_P7_D12	1.25977765313	black	0	1.33	3.9963
MGH53_P4_H03	0.22998555477	red	1	0.53007	3.8611
MGH53_P2_E05	NA	black	0	0.16221	0
MGH36_P4_H11	NA	black	0	1.6636	0
MGH53_P1_B01	-0.126288961945	red	1	0.18142	3.6433
MGH54_P2_G03	NA	black	0	0	0.774
MGH53_P2_F12	6.00636182291	black	0	4.3331	4.2443
MGH36_P4_C09	0.000993894319531	red	1	0.12168	2.767
MGH36_P5_C08	NA	black	0	5.0108	0
MGH36_P4_H06	0.375275552459	red	1	0.10434	1.1023
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	-2.8902402514	black	0	2.1273	1.1928
MGH53_P2_C10	1.91995019934	black	0	3.8108	3.307
MGH36_P4_H08	NA	black	0	0.092207	0
MGH36_P7_F07	NA	black	0	3.4154	0
MGH54_P2_A09	4.29807462977	black	0	3.6105	4.0536
MGH36_P6_H11	0.0767219443148	red	1	0.056584	2.4908
MGH53_P2_E12	-8.00347054277	black	0	4.5988	0.90689
MGH53_P1_F08	-0.151910315887	red	1	0.086784	3.4007
MGH36_P6_D12	-0.361449546458	red	1	0.049631	4.067
MGH36_P2_H09	2.65121538587	black	0	1.6168	4.7793
MGH53_P1_C01	NA	black	0	0	1.827
MGH53_P2_F11	-0.0780245678083	red	1	0.24732	3.7773
MGH36_P6_H04	0.49499281554	green3	2	1.2116	3.3159
MGH36_P5_G05	-0.17784884501	red	1	0.05797	3.4283
MGH53_P4_B04	-0.281403483819	red	1	0.42761	0.075875
MGH53_P1_E05	NA	black	0	0	0.6581
MGH36_P10_A08	-0.109410727179	red	1	0.41684	1.6107
MGH36_P9_G01	0.253872163546	red	1	0.99277	3.1418
MGH53_P4_A06	0.0635343554767	red	1	0.30217	0.066261
MGH36_P6_B09	-2.92587203142	black	0	6.3672	2.2738
MGH54_P2_D09	-13.792221631	black	0	5.4002	0.055196
MGH53_P1_E06	NA	black	0	0	2.9822
MGH36_P4_A10	-0.645183199413	black	0	0.55778	0.049631
MGH36_P6_B02	NA	black	0	0	1.9819
MGH53_P4_G06	0.613971128574	green3	2	0.07861	0.32884
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	-7.4256694421	black	0	3.0854	0.11503
MGH36_P5_H04	-0.14102640754	red	1	0.59264	2.2561
MGH53_P1_B03	-0.27014442859	red	1	0.073135	3.8302
MGH53_P2_D05	NA	black	0	4.5755	0
MGH36_P4_G12	NA	black	0	1.6772	0
MGH53_P2_D11	0.263460312234	red	1	0.11902	1.515
MGH53_P4_C02	2.29262252737	black	0	2.6299	3.7434
MGH53_P4_F04	-0.0587900795623	red	1	0.25942	3.672
MGH36_P3_D10	NA	black	0	0.18396	0
MGH54_P2_F04	0.00755163805641	red	1	0.15316	2.7284
MGH36_P6_A03	-0.248377095864	red	1	0.10836	3.9045
MGH53_P1_F07	-4.70735464703	black	0	4.9614	1.754
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	4.3976
MGH53_P4_E11	-12.8014059706	black	0	5.0245	0.055196
MGH53_P2_G03	0.430953276369	green3	2	0.16736	0.09356
MGH36_P3_F04	NA	black	0	0	4.2207
MGH54_P2_B02	NA	black	0	0	0.71458
MGH36_P5_C07	0.0742580343494	red	1	0.62199	3.0147
MGH53_P2_E02	NA	black	0	0	3.4398
MGH54_P2_F09	0.330277379911	red	1	0.1177	1.2073
MGH36_P3_D05	0.318737621583	red	1	0.18903	0.47301
MGH36_P5_F12	NA	black	0	0.032806	0
MGH53_P2_H09	2.87371084261	black	0	5.2487	3.3403
MGH54_P2_F07	0.688176839699	black	0	0.071763	0.10836
