Cell_name	Zvalue	Color	Cluster	JUN	STMN1
MGH36_P6_A12	NA	black	0	7.6891	0
MGH36_P6_H09	-2.58260727986	black	0	8.6804	0.84077
MGH53_P4_G04	NA	black	0	6.2647	0
MGH36_P10_G12	-0.0153537808306	green3	2	5.0432	1.044
MGH53_P2_H12	-0.283623277261	green3	2	5.394	0.21039
MGH53_P4_D10	NA	black	0	3.7884	0
MGH53_P4_D01	-1.08564638577	green3	2	6.5648	0.96051
MGH36_P6_B07	-1.08061328058	green3	2	6.3429	0.31383
MGH36_P10_B12	-0.822633903661	green3	2	6.1932	0.98696
MGH53_P2_G11	0.503253353656	green3	2	4.4859	0.29983
MGH53_P1_E04	NA	black	0	0	3.8147
MGH54_P2_C12	-0.78895566301	green3	2	6.1293	0.93206
MGH53_P4_B07	NA	black	0	0	0.83512
MGH53_P4_F09	NA	black	0	0	0.96125
MGH36_P2_H11	NA	black	0	8.1968	0
MGH36_P5_A11	NA	black	0	3.8413	0
MGH53_P1_A09	NA	black	0	7.7032	0
MGH53_P2_B02	NA	black	0	0	0.31962
MGH53_P4_E04	NA	black	0	6.2262	0
MGH53_P4_D08	-2.97551738449	black	0	9.6989	1.1309
MGH36_P1_F07	0.716327942282	green3	2	4.2944	0.092207
MGH53_P2_E11	-0.731987622423	green3	2	5.9793	0.6173
MGH36_P1_G06	4.46721528525	black	0	0.071763	0.38847
MGH36_P6_F03	-2.49753623137	black	0	8.2421	0.50995
MGH54_P2_H06	-1.04262621231	green3	2	7.0773	1.9279
MGH36_P8_H12	NA	black	0	3.8354	0
MGH53_P1_B06	-0.435828030629	green3	2	5.5796	0.37629
MGH53_P4_F12	NA	black	0	7.993	0
MGH53_P4_G12	1.25233264836	green3	2	9.7487	5.3009
MGH53_P2_E08	0.996362736375	green3	2	7.0257	6.2771
MGH53_P1_F06	-1.76737907037	black	0	7.3052	0.55483
MGH53_P1_D02	NA	black	0	7.8125	0
MGH36_P9_D01	-0.144374245072	green3	2	3.7599	5.0817
MGH36_P6_F02	2.21645661856	black	0	10.209	5.9974
MGH53_P2_E07	NA	black	0	7.3721	0
MGH53_P4_H08	0.0411329047548	green3	2	4.9623	5.3437
MGH36_P6_F11	-3.37997023243	black	0	9.1938	0.29278
MGH36_P8_C08	-0.965251132953	green3	2	6.2676	0.56657
MGH53_P2_D10	-2.86817658033	black	0	8.8279	0.59455
MGH53_P4_D03	1.51098166496	green3	2	7.66	6.6146
MGH53_P2_C04	NA	black	0	6.9288	0
MGH53_P1_E08	NA	black	0	7.511	0
MGH54_P2_A08	0.620833638956	green3	2	6.9931	5.5586
MGH36_P4_H07	0.0376635242029	green3	2	4.9662	1.0676
MGH36_P9_D06	-0.333858153581	green3	2	7.5394	3.6418
MGH53_P4_C04	-2.92015683966	black	0	8.641	0.33342
MGH53_P1_E10	NA	black	0	9.1983	0
MGH53_P2_E09	-3.38504167429	black	0	9.2369	0.32654
MGH36_P3_C10	NA	black	0	0	0.24853
MGH53_P2_F01	0.728838964455	green3	2	8.2435	5.1814
MGH53_P4_H05	-1.39007774222	red	1	6.7418	0.38073
MGH53_P4_G10	-2.19577699985	black	0	7.6808	0.27023
MGH54_P2_D07	NA	black	0	7.6313	0
