Cell_name	Zvalue	Color	Cluster	L1TD1	NANOG
MGH36_P6_A12	NA	black	0	0.43723	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	0.494767933662	blue	3	2.4766	1.2969
MGH36_P10_G12	0.0573998554468	green3	2	1.2265	1.037
MGH53_P2_H12	0.359386346994	green3	2	0.58496	0.34596
MGH53_P4_D10	NA	black	0	0.62106	0
MGH53_P4_D01	NA	black	0	1.0384	0
MGH36_P6_B07	-0.176594282246	green3	2	1.1782	0.72944
MGH36_P10_B12	-0.569062240332	red	1	1.7463	0.7941
MGH53_P2_G11	0.00166214219628	green3	2	0.85758	0.35389
MGH53_P1_E04	-0.159532812373	green3	2	1.0129	0.50487
MGH54_P2_C12	0.189311576708	green3	2	0.69777	0.42975
MGH53_P4_B07	0.296678572028	green3	2	1.7523	1.1922
MGH53_P4_F09	-0.00335011910325	green3	2	0.90535	0.85519
MGH36_P2_H11	1.38931101103	black	0	0.1137	0.035624
MGH36_P5_A11	-1.22729620668	black	0	1.5321	0.30217
MGH53_P1_A09	0.0703762022839	green3	2	1.7111	1.082
MGH53_P2_B02	-0.0406309989517	green3	2	1.5341	0.99422
MGH53_P4_E04	-0.552067316182	red	1	1.433	0.61447
MGH53_P4_D08	NA	black	0	1.3651	0
MGH36_P1_F07	0.625349400232	blue	3	0.49057	0.16092
MGH53_P2_E11	NA	black	0	1.6663	0
MGH36_P1_G06	-0.171255770024	green3	2	0.96569	0.30801
MGH36_P6_F03	NA	black	0	0.89685	0
MGH54_P2_H06	-0.224912611556	green3	2	0.70841	1.33
MGH36_P8_H12	0.0795512981638	green3	2	1.0942	1.1063
MGH53_P1_B06	NA	black	0	1.1329	0
MGH53_P4_F12	-1.81456594259	black	0	2.5223	0.7433
MGH53_P4_G12	0.490484222659	blue	3	1.8106	1.278
MGH53_P2_E08	1.24741105334	black	0	1.4276	2.0161
MGH53_P1_F06	-0.519974219448	red	1	1.4505	0.64985
MGH53_P1_D02	NA	black	0	1.3635	0
MGH36_P9_D01	-0.248029917787	green3	2	1.3791	0.79743
MGH36_P6_F02	-0.249178964227	green3	2	1.0489	0.41468
MGH53_P2_E07	-0.388306397453	green3	2	1.6257	0.82782
MGH53_P4_H08	-1.16805076086	black	0	1.5792	0.38515
MGH36_P6_F11	0.116337706457	green3	2	0.49876	0.72944
MGH36_P8_C08	-1.16080484205	black	0	1.5931	0.40272
MGH53_P2_D10	-0.151501797381	green3	2	0.54597	1.0307
MGH53_P4_D03	-0.292506535487	green3	2	1.4972	0.82538
MGH53_P2_C04	-1.23886796214	black	0	1.5356	0.29983
MGH53_P1_E08	NA	black	0	2.1515	0
MGH54_P2_A08	-0.0413260180579	green3	2	1.0454	0.83915
MGH36_P4_H07	0.145174070525	green3	2	0.73466	0.44361
MGH36_P9_D06	NA	black	0	0.19409	0
MGH53_P4_C04	NA	black	0	0.6173	0
MGH53_P1_E10	NA	black	0	1.3757	0
MGH53_P2_E09	-0.551721372617	red	1	0.52105	1.4114
MGH36_P3_C10	0.208271882996	green3	2	1.2271	1.2222
MGH53_P2_F01	0.0555213236818	green3	2	0.70576	0.75788
MGH53_P4_H05	0.220830068328	green3	2	1.3885	1.1738
MGH53_P4_G10	-0.52141497999	red	1	1.1922	0.3471
MGH54_P2_D07	-0.143343221314	green3	2	1.3057	0.848
MGH53_P2_D09	0.0127785482191	green3	2	1.03	0.97306
MGH53_P1_D09	NA	black	0	0.98914	0
MGH54_P2_B08	0.22940557876	green3	2	0.61259	0.51299
MGH54_P2_G05	-0.0341676623082	green3	2	0.67356	0.94186
MGH53_P2_F06	0.154097542708	green3	2	1.1903	1.1725
MGH36_P3_E01	0.166310033772	green3	2	1.3283	1.1382
