Cell_name	Zvalue	Color	Cluster	MTF1	PRNP
MGH36_P6_A12	NA	black	0	0	2.1053
MGH36_P6_H09	NA	black	0	0	4.6476
MGH53_P4_G04	NA	black	0	0.28688	0
MGH36_P10_G12	NA	black	0	0	3.2013
MGH53_P2_H12	-0.456756429444	red	1	1.7596	4.5301
MGH53_P4_D10	NA	black	0	0.16736	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	-0.172147377981	red	1	0.18269	5.5984
MGH36_P10_B12	-0.0432929417114	red	1	0.17377	5.1208
MGH53_P2_G11	NA	black	0	0.098958	0
MGH53_P1_E04	1.97328306004	black	0	2.5415	6.2854
MGH54_P2_C12	1.08587887646	black	0	0.1137	1.3431
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	-0.321389409145	red	1	0.28924	6.6226
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0.25459	0
MGH53_P1_A09	-0.194758040211	red	1	0.1635	5.6431
MGH53_P2_B02	-0.457983364036	red	1	0.18777	6.6396
MGH53_P4_E04	-0.000633826329377	red	1	0.16221	4.9656
MGH53_P4_D08	-0.28408658166	red	1	0.16221	5.9454
MGH36_P1_F07	-0.182512103582	red	1	0.31846	6.0537
MGH53_P2_E11	NA	black	0	0.15963	0
MGH36_P1_G06	-0.105259302141	red	1	0.098958	5.2762
MGH36_P6_F03	-0.159319477074	red	1	0.2762	5.7656
MGH54_P2_H06	NA	black	0	0.25459	0
MGH36_P8_H12	NA	black	0	0	5.0176
MGH53_P1_B06	NA	black	0	0	2.8819
MGH53_P4_F12	NA	black	0	0.1776	0
MGH53_P4_G12	NA	black	0	0.73292	0
MGH53_P2_E08	-0.0395073653017	red	1	0.50589	0.71017
MGH53_P1_F06	-0.574431409118	red	1	0.085425	6.5893
MGH53_P1_D02	0.0324926827899	red	1	1.0129	5.0703
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0.11103	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	0.137930425349	red	1	0.35952	3.8482
MGH36_P6_F11	0.153390173178	red	1	0.4489	0.20789
MGH36_P8_C08	NA	black	0	0.21785	0
MGH53_P2_D10	0.506582271906	red	1	0.3505	0.34823
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	0.126094896937	red	1	0.18777	4.4806
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-0.143318978106	red	1	0.16221	5.4636
MGH36_P4_H07	-7.02941901728	black	0	2.3931	0.26903
MGH36_P9_D06	-0.0237064126708	red	1	1.224	4.9465
MGH53_P4_C04	0.243553315498	red	1	0.16607	4.0792
MGH53_P1_E10	NA	black	0	0.35276	0
MGH53_P2_E09	-0.119745202821	red	1	0.18903	5.4154
MGH36_P3_C10	0.0669184319993	red	1	0.27023	4.627
MGH53_P2_F01	NA	black	0	0.17887	0
MGH53_P4_H05	-0.167553858689	red	1	0.25942	5.7549
MGH53_P4_G10	1.04192704944	black	0	0.20914	0.20414
MGH54_P2_D07	-0.217239651547	red	1	0.075875	5.574
MGH53_P2_D09	NA	black	0	0.73118	0
MGH53_P1_D09	0.683288062709	red	1	0.25942	1.2963
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	0.233588942452	red	1	0.15186	4.149
MGH53_P2_F06	NA	black	0	0.31615	0
MGH36_P3_E01	-0.0962136110671	red	1	0.18142	5.3193
MGH36_P5_E12	NA	black	0	0.33342	0
MGH53_P4_A12	NA	black	0	0.31383	0
MGH36_P9_F01	NA	black	0	0	0.93433
MGH36_P3_H10	0.609064478361	red	1	0.13093	2.9044
MGH36_P3_H02	0.0886413381291	red	1	0.24367	4.5582
MGH36_P5_C10	NA	black	0	0	0
MGH54_P2_B05	0.645484235595	red	1	2.8963	5.3819
MGH36_P2_F09	0.249942905956	red	1	0.1003	4.1985
MGH53_P4_A05	NA	black	0	0.075875	0
MGH54_P2_H10	-0.236769878694	red	1	0.063503	5.6107
MGH53_P4_E06	0.0174186382589	red	1	0.56949	5.5376
MGH53_P4_D12	0.350441876272	red	1	0.36401	1.6942
