Cell_name	Zvalue	Color	Cluster	NANOG	POU5F1
MGH36_P6_A12	NA	black	0	0	1.6012
MGH36_P6_H09	NA	black	0	0	0.73031
MGH53_P4_G04	0.602556977734	green3	2	1.2969	3.1122
MGH36_P10_G12	-0.0522556137722	red	1	1.037	2.7738
MGH53_P2_H12	0.58846566011	red	1	0.34596	0.80571
MGH53_P4_D10	NA	black	0	0	1.487
MGH53_P4_D01	NA	black	0	0	2.1362
MGH36_P6_B07	-0.27058316279	red	1	0.72944	2.0493
MGH36_P10_B12	-0.0607535928971	red	1	0.7941	1.696
MGH53_P2_G11	-0.0515274778854	red	1	0.35389	1.4926
MGH53_P1_E04	0.48948205398	red	1	0.50487	0.62012
MGH54_P2_C12	-0.0312041336945	red	1	0.42975	1.4828
MGH53_P4_B07	0.269141589231	red	1	1.1922	2.2464
MGH53_P4_F09	-0.25369464738	red	1	0.85519	2.3457
MGH36_P2_H11	1.45220343476	black	0	0.035624	0.39944
MGH36_P5_A11	-0.962372287917	black	0	0.30217	2.1852
MGH53_P1_A09	0.0802992961192	red	1	1.082	2.6498
MGH53_P2_B02	0.0149715862728	red	1	0.99422	2.0707
MGH53_P4_E04	-0.442071709141	red	1	0.61447	2.1003
MGH53_P4_D08	NA	black	0	0	2.0335
MGH36_P1_F07	0.84316102709	green3	2	0.16092	0.76214
MGH53_P2_E11	NA	black	0	0	1.9479
MGH36_P1_G06	0.530140662324	red	1	0.30801	0.91991
MGH36_P6_F03	NA	black	0	0	1.6365
MGH54_P2_H06	0.696640044302	green3	2	1.33	3.0721
MGH36_P8_H12	0.104461571973	red	1	1.1063	1.8683
MGH53_P1_B06	NA	black	0	0	2.0912
MGH53_P4_F12	-0.47941840252	red	1	0.7433	2.4035
MGH53_P4_G12	0.526100827963	red	1	1.278	2.8119
MGH53_P2_E08	0.354698736811	red	1	2.0161	1.726
MGH53_P1_F06	-4.50318424563	black	0	0.64985	5.0983
MGH53_P1_D02	NA	black	0	0	2.8237
