Cell_name	Zvalue	Color	Cluster	NANOG	STAT3
MGH36_P6_A12	NA	black	0	0	4.3499
MGH36_P6_H09	NA	black	0	0	4.2076
MGH53_P4_G04	-0.517854234077	red	1	1.2969	0.31267
MGH36_P10_G12	NA	black	0	1.037	0
MGH53_P2_H12	-0.72720006305	red	1	0.34596	4.0941
MGH53_P4_D10	NA	black	0	0	0.63134
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	0.181281358312	red	1	0.72944	0.53007
MGH36_P10_B12	0.103671914453	red	1	0.7941	0.65076
MGH53_P2_G11	NA	black	0	0.35389	0
MGH53_P1_E04	NA	black	0	0.50487	0
MGH54_P2_C12	-0.721604669042	red	1	0.42975	4.3749
MGH53_P4_B07	0.211682322819	red	1	1.1922	3.515
MGH53_P4_F09	-0.206763710931	red	1	0.85519	5.3589
MGH36_P2_H11	1.17311262083	red	1	0.035624	0.077243
MGH36_P5_A11	NA	black	0	0.30217	0
MGH53_P1_A09	0.242790296195	red	1	1.082	5.1951
MGH53_P2_B02	-0.144528836481	red	1	0.99422	0.16221
MGH53_P4_E04	-0.482247184601	red	1	0.61447	4.4692
MGH53_P4_D08	NA	black	0	0	0.31267
MGH36_P1_F07	-1.42497241204	red	1	0.16092	4.9724
MGH53_P2_E11	NA	black	0	0	0.26183
MGH36_P1_G06	NA	black	0	0.30801	0
MGH36_P6_F03	NA	black	0	0	4.0858
MGH54_P2_H06	NA	black	0	1.33	0
MGH36_P8_H12	0.129116551055	red	1	1.1063	3.3883
MGH53_P1_B06	NA	black	0	0	2.8506
MGH53_P4_F12	-0.408186732736	red	1	0.7433	5.1995
MGH53_P4_G12	0.557555831432	red	1	1.278	4.8872
MGH53_P2_E08	NA	black	0	2.0161	0
MGH53_P1_F06	-0.479555502139	red	1	0.64985	4.6999
MGH53_P1_D02	NA	black	0	0	3.3336
MGH36_P9_D01	-0.105458427741	red	1	0.79743	3.4464
MGH36_P6_F02	0.575618274383	red	1	0.41468	0.3584
MGH53_P2_E07	NA	black	0	0.82782	0
MGH53_P4_H08	0.564177955528	red	1	0.38515	0.50691
MGH36_P6_F11	-0.365169598636	red	1	0.72944	4.7856
MGH36_P8_C08	-0.926495022668	red	1	0.40272	4.8193
MGH53_P2_D10	-0.189518541257	red	1	1.0307	0.20539
MGH53_P4_D03	NA	black	0	0.82538	0
MGH53_P2_C04	-0.686208019167	red	1	0.29983	3.8655
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-0.257448205733	red	1	0.83915	5.531
MGH36_P4_H07	0.100675488815	red	1	0.44361	1.8883
MGH36_P9_D06	NA	black	0	0	4.2729
MGH53_P4_C04	NA	black	0	0	3.9941
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	1.4114	0
MGH36_P3_C10	0.524914539452	red	1	1.2222	5.3001
MGH53_P2_F01	-0.26272202932	red	1	0.75788	4.4016
MGH53_P4_H05	-0.186756068907	red	1	1.1738	1.206
MGH53_P4_G10	0.443831566132	red	1	0.3471	0.97746
MGH54_P2_D07	0.0533198430998	red	1	0.848	0.23756
MGH53_P2_D09	-0.0634689208061	red	1	0.97306	0.94486
MGH53_P1_D09	NA	black	0	0	5.9656
MGH54_P2_B08	-0.695120224375	red	1	0.51299	4.6787
MGH54_P2_G05	-0.0584703432917	red	1	0.94186	0.45418
MGH53_P2_F06	0.300653775382	red	1	1.1725	4.2716
MGH36_P3_E01	-0.258031183013	red	1	1.1382	0.63413
MGH36_P5_E12	-0.411519915493	red	1	1.1821	0.11636
MGH53_P4_A12	0.460545648288	red	1	1.545	3.4358
MGH36_P9_F01	NA	black	0	0	0.9568
MGH36_P3_H10	0.557042492657	red	1	0.46258	0.21039
MGH36_P3_H02	0.0101421263445	red	1	0.77484	2.1263
MGH36_P5_C10	-0.707428603905	red	1	1.406	0.17505
MGH54_P2_B05	0.495260080242	red	1	0.48336	0.35163
MGH36_P2_F09	0.323482753399	red	1	0.63413	0.28333
MGH53_P4_A05	-0.211600166228	red	1	1.0607	0.34596
