Cell_name	Zvalue	Color	Cluster	NOX4	STAT3
MGH36_P6_A12	NA	black	0	0	4.3499
MGH36_P6_H09	NA	black	0	0	4.2076
MGH53_P4_G04	NA	black	0	0	0.31267
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0	4.0941
MGH53_P4_D10	NA	black	0	0	0.63134
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0.53007
MGH36_P10_B12	-0.0287394925154	red	1	0.56755	0.65076
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0	4.3749
MGH53_P4_B07	NA	black	0	0	3.515
MGH53_P4_F09	-0.853357055653	red	1	0.14405	5.3589
MGH36_P2_H11	0.614078083797	red	1	0.071763	0.077243
MGH36_P5_A11	NA	black	0	0.22897	0
MGH53_P1_A09	NA	black	0	0	5.1951
MGH53_P2_B02	0.560415939875	green3	2	0.094912	0.16221
MGH53_P4_E04	NA	black	0	0	4.4692
MGH53_P4_D08	NA	black	0	0	0.31267
MGH36_P1_F07	NA	black	0	0	4.9724
MGH53_P2_E11	NA	black	0	0	0.26183
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	4.0858
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	0	3.3883
MGH53_P1_B06	-0.149639216146	red	1	0.20664	2.8506
MGH53_P4_F12	-0.779049436512	red	1	0.15963	5.1995
MGH53_P4_G12	-0.273120304105	red	1	0.40381	4.8872
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	4.6999
MGH53_P1_D02	NA	black	0	0	3.3336
MGH36_P9_D01	NA	black	0	0	3.4464
MGH36_P6_F02	NA	black	0	0	0.3584
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0	0.50691
MGH36_P6_F11	NA	black	0	0	4.7856
MGH36_P8_C08	NA	black	0	0	4.8193
MGH53_P2_D10	NA	black	0	0	0.20539
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	-0.438671646998	red	1	0.15056	3.8655
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	5.531
MGH36_P4_H07	NA	black	0	0	1.8883
MGH36_P9_D06	NA	black	0	0	4.2729
MGH53_P4_C04	NA	black	0	0	3.9941
MGH53_P1_E10	NA	black	0	0.33228	0
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0	5.3001
MGH53_P2_F01	NA	black	0	0	4.4016
MGH53_P4_H05	NA	black	0	0	1.206
MGH53_P4_G10	0.114045609196	red	1	0.38957	0.97746
MGH54_P2_D07	NA	black	0	0	0.23756
MGH53_P2_D09	NA	black	0	0	0.94486
MGH53_P1_D09	-0.805874508638	red	1	0.23389	5.9656
MGH54_P2_B08	NA	black	0	0	4.6787
MGH54_P2_G05	NA	black	0	0	0.45418
MGH53_P2_F06	-0.546393488034	red	1	0.15056	4.2716
MGH36_P3_E01	NA	black	0	0	0.63413
MGH36_P5_E12	NA	black	0	0	0.11636
MGH53_P4_A12	NA	black	0	0	3.4358
MGH36_P9_F01	NA	black	0	0	0.9568
MGH36_P3_H10	0.512565659089	green3	2	0.123	0.21039
MGH36_P3_H02	NA	black	0	0	2.1263
MGH36_P5_C10	NA	black	0	0	0.17505
MGH54_P2_B05	NA	black	0	0	0.35163
MGH36_P2_F09	0.574594778081	red	1	0.055196	0.28333
MGH53_P4_A05	0.458245232897	green3	2	0.14012	0.34596
MGH54_P2_H10	NA	black	0	0	0.10836
MGH53_P4_E06	NA	black	0	0	1.4319
MGH53_P4_D12	-0.250764934013	red	1	0.123	3.0839
MGH54_P2_H07	NA	black	0	0	0.25942
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	3.347
MGH36_P7_D12	0.500703834384	green3	2	0.098958	0.36401
MGH53_P4_H03	NA	black	0	0	4.4372
MGH53_P2_E05	NA	black	0	0	0.19535
