Cell_name	Zvalue	Color	Cluster	PARP1	SH3BP2
MGH36_P6_A12	-0.204411616993	red	1	4.8868	0.25822
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0.29631
MGH36_P10_G12	-1.7764040664	black	0	1.1257	1.4782
MGH53_P2_H12	NA	black	0	0	1.9531
MGH53_P4_D10	0.67992814703	green3	2	0.58111	0.14796
MGH53_P4_D01	NA	black	0	0	2.5018
MGH36_P6_B07	NA	black	0	0	4.1285
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0.16993
MGH53_P1_E04	1.73120089143	black	0	4.718	1.8844
MGH54_P2_C12	-6.38571222841	black	0	0.22157	3.1329
MGH53_P4_B07	0.844800467371	green3	2	0.36737	0.10299
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	-0.000663284713493	red	1	3.5945	0.42761
MGH36_P5_A11	NA	black	0	0	0.048236
MGH53_P1_A09	NA	black	0	0	0.22651
MGH53_P2_B02	0.686677316462	green3	2	3.9922	1.595
MGH53_P4_E04	0.126457795913	red	1	5.0023	0.51197
MGH53_P4_D08	NA	black	0	0	0.097611
MGH36_P1_F07	NA	black	0	0	0.032806
MGH53_P2_E11	NA	black	0	0	4.0518
MGH36_P1_G06	0.0805276942857	red	1	3.0902	0.025738
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	4.8621
MGH36_P8_H12	0.128227788606	red	1	3.3224	2.2382
MGH53_P1_B06	-0.234238904974	red	1	4.2575	0.11237
MGH53_P4_F12	NA	black	0	0	0.42761
MGH53_P4_G12	NA	black	0	0	2.8296
MGH53_P2_E08	-1.73624807699	black	0	2.1017	2.3545
MGH53_P1_F06	1.34930227188	black	0	5.3383	1.229
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	1.1097	0
MGH36_P6_F02	NA	black	0	0	0.10568
MGH53_P2_E07	NA	black	0	0	1.0222
MGH53_P4_H08	NA	black	0	0	3.4949
MGH36_P6_F11	NA	black	0	0	0.31615
MGH36_P8_C08	0.161664691966	red	1	3.3013	2.7093
MGH53_P2_D10	NA	black	0	0	2.4367
MGH53_P4_D03	0.0809758720238	red	1	3.0261	0.10568
MGH53_P2_C04	0.673123688826	green3	2	4.3393	1.2123
MGH53_P1_E08	NA	black	0	0	0.18396
MGH54_P2_A08	-1.41052293547	black	0	2.5566	3.2068
MGH36_P4_H07	NA	black	0	0	0.1635
MGH36_P9_D06	-0.694781524933	red	1	2.6767	1.9479
MGH53_P4_C04	NA	black	0	0	0.17121
MGH53_P1_E10	NA	black	0	0	2.5722
MGH53_P2_E09	-0.443692128653	red	1	1.5907	0.76808
MGH36_P3_C10	-0.00867249450381	red	1	3.4465	0.3471
MGH53_P2_F01	NA	black	0	0	1.4362
MGH53_P4_H05	NA	black	0	0	0.42761
MGH53_P4_G10	0.190649784697	red	1	0.57821	0.36849
MGH54_P2_D07	NA	black	0	0	2.0282
MGH53_P2_D09	NA	black	0	0	2.9844
MGH53_P1_D09	NA	black	0	0	4.1924
MGH54_P2_B08	NA	black	0	0	0.39616
MGH54_P2_G05	NA	black	0	0	0.90381
MGH53_P2_F06	-0.0870406088115	red	1	3.1566	3.0426
MGH36_P3_E01	NA	black	0	0	0.28096
MGH36_P5_E12	NA	black	0	0	0.338
MGH53_P4_A12	NA	black	0	5.3976	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0.11503
MGH36_P3_H02	-0.0546636084824	red	1	3.6425	0.21661
MGH36_P5_C10	NA	black	0	0	0.19661
MGH54_P2_B05	-0.0921152271337	red	1	3.92	0.23634
MGH36_P2_F09	0.0263381152452	red	1	0.84559	0.43936
MGH53_P4_A05	NA	black	0	0	3.3675
MGH54_P2_H10	NA	black	0	0	3.1452
MGH53_P4_E06	NA	black	0	0	2.3931
MGH53_P4_D12	1.66731258995	black	0	4.2639	2.4198
MGH54_P2_H07	NA	black	0	0	0.26183
MGH53_P2_E03	1.93510392076	black	0	5.2156	1.6452
MGH53_P1_A05	NA	black	0	0	0
MGH36_P7_D12	0.748425069036	green3	2	0.75275	0.09356
MGH53_P4_H03	0.170441731119	red	1	3.3568	2.1897
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	0.074505
MGH53_P1_B01	NA	black	0	0	1.8049
MGH54_P2_G03	NA	black	0	5.1536	0
MGH53_P2_F12	NA	black	0	0	0.39397
MGH36_P4_C09	NA	black	0	0	0.10165
MGH36_P5_C08	1.00322378012	green3	2	3.8255	2.4952
MGH36_P4_H06	NA	black	0	0	0.15834
MGH36_P10_E01	NA	black	0	0	0.12433
MGH36_P8_E12	0.269785977996	red	1	2.4378	0.066261
MGH53_P2_C10	-0.109051658119	red	1	3.8915	0.18903
MGH36_P4_H08	1.87003701068	black	0	5.0749	1.6955
MGH36_P7_F07	-0.337117761105	red	1	4.441	0.04684
MGH54_P2_A09	2.75351570834	black	0	4.7594	2.6381
MGH36_P6_H11	NA	black	0	0	0.04684
MGH53_P2_E12	NA	black	0	3.274	0
MGH53_P1_F08	-0.00104952013717	red	1	3.4084	0.41792
MGH36_P6_D12	NA	black	0	0	0.074505
MGH36_P2_H09	NA	black	0	0	0.21537
MGH53_P1_C01	NA	black	0	0	1.6681
MGH53_P2_F11	NA	black	0	0	0.17505
MGH36_P6_H04	-0.11718937789	red	1	5.229	0.34142
MGH36_P5_G05	NA	black	0	3.7646	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	1.232
MGH36_P10_A08	NA	black	0	0	0.59168
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	0	3.3423
MGH36_P6_B09	NA	black	0	0.96421	0
MGH54_P2_D09	NA	black	0	0	0.35163
MGH53_P1_E06	NA	black	0	2.2418	0
MGH36_P4_A10	NA	black	0	0	0.21164
MGH36_P6_B02	NA	black	0	0	3.082
MGH53_P4_G06	NA	black	0	0	0.085425
MGH36_P8_F01	NA	black	0	0	0.94035
MGH36_P9_F06	-0.138271938644	red	1	4.1897	0.22774
MGH36_P5_H04	-0.208909680795	red	1	4.1767	0.12035
MGH53_P1_B03	-3.68120616653	black	0	0.72944	2.2801
MGH53_P2_D05	NA	black	0	0	3.4116
MGH36_P4_G12	NA	black	0	0	0.044044
MGH53_P2_D11	0.10738227875	red	1	4.5417	0.53107
MGH53_P4_C02	0.927781823694	green3	2	5.0496	1.0711
MGH53_P4_F04	NA	black	0	0	0.084064
MGH36_P3_D10	NA	black	0	0	0.30918
MGH54_P2_F04	-3.89128017101	black	0	0.49365	2.2182
MGH36_P6_A03	NA	black	0	0	0.088142
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	-1.46587776	black	0	0.12829	1.0335
MGH54_P2_A04	NA	black	0	0	1.9149
MGH53_P4_E11	-1.37612724448	black	0	1.3103	1.3167
MGH53_P2_G03	NA	black	0	0	1.3718
MGH36_P3_F04	NA	black	0	0.10702	0
MGH54_P2_B02	0.299081218029	red	1	1.0172	0.29042
MGH36_P5_C07	NA	black	0	0	0.71194
MGH53_P2_E02	NA	black	0	0	0
MGH54_P2_F09	NA	black	0	0	1.0328
MGH36_P3_D05	NA	black	0	0	1.0704
MGH36_P5_F12	NA	black	0	0	0.059355
MGH53_P2_H09	NA	black	0	0	3.679
MGH54_P2_F07	0.0875295024808	red	1	3.7987	0.64893
MGH36_P5_D10	NA	black	0	0	1.5079
MGH54_P2_F11	0.357454836734	red	1	4.1462	0.94486
MGH53_P2_H04	-0.0781022861322	red	1	3.7442	0.19787
MGH36_P6_F09	NA	black	0	2.4965	0
MGH36_P9_F05	NA	black	0	0	0
