Cell_name	Zvalue	Color	Cluster	POU2AF1	POU2F1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	-0.488845848336	green3	2	0.60881	0.17249
MGH36_P10_G12	NA	black	0	0	0.22157
MGH53_P2_H12	0.503876286777	green3	2	0.23389	0.044044
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0.067639
MGH36_P10_B12	0.301358718909	green3	2	0.29866	0.13488
MGH53_P2_G11	0.45191087904	green3	2	0.25096	0.05797
MGH53_P1_E04	NA	black	0	0	0.089498
MGH54_P2_C12	NA	black	0	0	0.066261
MGH53_P4_B07	-0.267972598419	green3	2	0.52306	0.16736
MGH53_P4_F09	0.335782657273	green3	2	0.28096	0.1635
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	0.534921473176	green3	2	0.21661	0.074505
MGH53_P1_A09	NA	black	0	0	0.15704
MGH53_P2_B02	0.0183211274893	green3	2	0.41034	0.20914
MGH53_P4_E04	NA	black	0	0	0.096262
MGH53_P4_D08	-2.42293319135	black	0	1.2922	0.18396
MGH36_P1_F07	0.670155679246	green3	2	0.17505	0.029983
MGH53_P2_E11	NA	black	0	0	0.24367
MGH36_P1_G06	0.484361643329	green3	2	0.16479	0.35389
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	-0.594604045347	green3	2	0.62854	0.084064
MGH36_P8_H12	-0.896079225215	green3	2	0.86156	0.39944
MGH53_P1_B06	-0.707927703942	green3	2	0.30568	2.8626
MGH53_P4_F12	0.48175557248	green3	2	0.2228	0.14926
MGH53_P4_G12	0.510701684529	green3	2	0.20664	0.16736
MGH53_P2_E08	-0.0757308234923	green3	2	0.72683	1.0349
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	-0.464606613262	green3	2	0.5955	0.15186
MGH36_P6_F02	-0.307843669633	green3	2	0.54399	0.20539
MGH53_P2_E07	NA	black	0	0.16607	0
MGH53_P4_H08	0.74567246153	green3	2	0.58496	3.23
MGH36_P6_F11	-0.0209735585026	green3	2	0.42331	0.041243
MGH36_P8_C08	-0.859916189091	green3	2	0.71721	0.075875
MGH53_P2_D10	NA	black	0	0.65718	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	-0.185060042915	green3	2	0.5656	0.62854
MGH53_P1_E08	NA	black	0	0.55483	0
MGH54_P2_A08	-0.0178984836424	green3	2	0.42223	0.041243
MGH36_P4_H07	NA	black	0	0	0.089498
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	2.6738
MGH53_P1_E10	NA	black	0	0	0.12697
MGH53_P2_E09	-0.484671126466	green3	2	0.58496	0.053806
MGH36_P3_C10	NA	black	0	0	0.042644
MGH53_P2_F01	-0.382507672793	green3	2	0.33457	2.3522
MGH53_P4_H05	0.287516974257	green3	2	0.16607	0.64155
MGH53_P4_G10	-1.15318449361	green3	2	0.81639	0.079975
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0.28688	0
MGH53_P1_D09	NA	black	0	0	0.052416
MGH54_P2_B08	-0.74721445715	green3	2	0.68257	0.089498
MGH54_P2_G05	-0.186833622652	green3	2	0.23511	1.4087
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	-1.88024513325	black	0	1.0419	0.064883
