Cell_name	Zvalue	Color	Cluster	POU2F1	STAT3
MGH36_P6_A12	NA	black	0	0	4.3499
MGH36_P6_H09	NA	black	0	0	4.2076
MGH53_P4_G04	0.953198132112	green3	2	0.17249	0.31267
MGH36_P10_G12	NA	black	0	0.22157	0
MGH53_P2_H12	-1.191302116	red	1	0.044044	4.0941
MGH53_P4_D10	NA	black	0	0	0.63134
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	0.936882467064	green3	2	0.067639	0.53007
MGH36_P10_B12	0.818807398529	red	1	0.13488	0.65076
MGH53_P2_G11	NA	black	0	0.05797	0
MGH53_P1_E04	NA	black	0	0.089498	0
MGH54_P2_C12	-1.34845341527	red	1	0.066261	4.3749
MGH53_P4_B07	-0.727893843915	red	1	0.16736	3.515
MGH53_P4_F09	-1.83051252614	red	1	0.1635	5.3589
MGH36_P2_H11	NA	black	0	0	0.077243
MGH36_P5_A11	NA	black	0	0.074505	0
MGH53_P1_A09	-1.73966918918	red	1	0.15704	5.1951
MGH53_P2_B02	0.98678804516	green3	2	0.20914	0.16221
MGH53_P4_E04	-1.37214207941	red	1	0.096262	4.4692
MGH53_P4_D08	0.942124872249	green3	2	0.18396	0.31267
MGH36_P1_F07	-1.79435275733	red	1	0.029983	4.9724
MGH53_P2_E11	0.9067868812	red	1	0.24367	0.26183
MGH36_P1_G06	NA	black	0	0.35389	0
MGH36_P6_F03	NA	black	0	0	4.0858
MGH54_P2_H06	NA	black	0	0.084064	0
MGH36_P8_H12	-0.502943621034	red	1	0.39944	3.3883
MGH53_P1_B06	0.423717077514	red	1	2.8626	2.8506
MGH53_P4_F12	-1.75506460162	red	1	0.14926	5.1995
MGH53_P4_G12	-1.5349424865	red	1	0.16736	4.8872
MGH53_P2_E08	NA	black	0	1.0349	0
MGH53_P1_F06	NA	black	0	0	4.6999
MGH53_P1_D02	NA	black	0	0	3.3336
MGH36_P9_D01	-0.69969192643	red	1	0.15186	3.4464
MGH36_P6_F02	0.900224632791	red	1	0.20539	0.3584
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	-2.09792311955	red	1	3.23	0.50691
MGH36_P6_F11	-1.65157280731	red	1	0.041243	4.7856
MGH36_P8_C08	-1.62455207712	red	1	0.075875	4.8193
MGH53_P2_D10	NA	black	0	0	0.20539
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	-0.512148795119	red	1	0.62854	3.8655
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-2.15868673497	red	1	0.041243	5.531
MGH36_P4_H07	0.173214313767	red	1	0.089498	1.8883
MGH36_P9_D06	NA	black	0	0	4.2729
MGH53_P4_C04	1.25747114169	red	1	2.6738	3.9941
MGH53_P1_E10	NA	black	0	0.12697	0
MGH53_P2_E09	NA	black	0	0.053806	0
MGH36_P3_C10	-1.9976733078	red	1	0.042644	5.3001
MGH53_P2_F01	1.22424886486	red	1	2.3522	4.4016
MGH53_P4_H05	0.275330854241	red	1	0.64155	1.206
MGH53_P4_G10	0.684320899125	red	1	0.079975	0.97746
MGH54_P2_D07	NA	black	0	0	0.23756
MGH53_P2_D09	NA	black	0	0	0.94486
MGH53_P1_D09	-2.4382696881	red	1	0.052416	5.9656
MGH54_P2_B08	-1.51450756633	red	1	0.089498	4.6787
MGH54_P2_G05	-0.268258278619	red	1	1.4087	0.45418
MGH53_P2_F06	NA	black	0	0	4.2716
MGH36_P3_E01	0.882535080057	red	1	0.064883	0.63413
MGH36_P5_E12	1.19258886209	red	1	0.035624	0.11636
MGH53_P4_A12	1.31729062497	red	1	3.6663	3.4358
MGH36_P9_F01	NA	black	0	0	0.9568
MGH36_P3_H10	1.13816641906	red	1	0.038436	0.21039
MGH36_P3_H02	0.0375041908378	red	1	0.12168	2.1263
MGH36_P5_C10	1.06755463203	green3	2	0.12565	0.17505
MGH54_P2_B05	-1.1954342366	red	1	2.2672	0.35163
MGH36_P2_F09	1.02089350038	green3	2	0.1177	0.28333
MGH53_P4_A05	1.01430642782	green3	2	0.090853	0.34596
