Cell_name	Zvalue	Color	Cluster	POU5F1	THY1
MGH36_P6_A12	-0.543806186603	green3	2	1.6012	2.4665
MGH36_P6_H09	NA	black	0	0.73031	0
MGH53_P4_G04	NA	black	0	3.1122	0
MGH36_P10_G12	-5.2060400614	black	0	2.7738	1.5768
MGH53_P2_H12	NA	black	0	0.80571	0
MGH53_P4_D10	NA	black	0	1.487	0
MGH53_P4_D01	NA	black	0	2.1362	0
MGH36_P6_B07	NA	black	0	2.0493	0
MGH36_P10_B12	NA	black	0	1.696	0
MGH53_P2_G11	NA	black	0	1.4926	0
MGH53_P1_E04	NA	black	0	0.62012	0
MGH54_P2_C12	NA	black	0	1.4828	0
MGH53_P4_B07	NA	black	0	2.2464	0
MGH53_P4_F09	NA	black	0	2.3457	0
MGH36_P2_H11	NA	black	0	0.39944	0
MGH36_P5_A11	NA	black	0	2.1852	0
MGH53_P1_A09	NA	black	0	2.6498	0
MGH53_P2_B02	NA	black	0	2.0707	0
MGH53_P4_E04	NA	black	0	2.1003	0
MGH53_P4_D08	NA	black	0	2.0335	0
MGH36_P1_F07	2.58488356793	black	0	0.76214	1.4714
MGH53_P2_E11	NA	black	0	1.9479	0
MGH36_P1_G06	NA	black	0	0.91991	0
MGH36_P6_F03	NA	black	0	1.6365	0
MGH54_P2_H06	NA	black	0	3.0721	0
MGH36_P8_H12	-1.40112412799	black	0	1.8683	2.2594
MGH53_P1_B06	NA	black	0	2.0912	0
MGH53_P4_F12	NA	black	0	2.4035	0
MGH53_P4_G12	NA	black	0	2.8119	0
MGH53_P2_E08	NA	black	0	1.726	0
MGH53_P1_F06	NA	black	0	5.0983	0
MGH53_P1_D02	NA	black	0	2.8237	0
MGH36_P9_D01	NA	black	0	2.472	0
MGH36_P6_F02	NA	black	0	1.2418	0
MGH53_P2_E07	NA	black	0	1.5326	0
MGH53_P4_H08	NA	black	0	2.1266	0
MGH36_P6_F11	NA	black	0	1.8335	0
MGH36_P8_C08	NA	black	0	2.518	0
MGH53_P2_D10	NA	black	0	1.4983	0
MGH53_P4_D03	NA	black	0	1.7949	0
MGH53_P2_C04	NA	black	0	3.0356	0
MGH53_P1_E08	NA	black	0	2.6933	0
MGH54_P2_A08	NA	black	0	1.7933	0
MGH36_P4_H07	NA	black	0	1.7407	0
MGH36_P9_D06	NA	black	0	0.76893	0
MGH53_P4_C04	NA	black	0	1.2388	0
MGH53_P1_E10	NA	black	0	2.7233	0
MGH53_P2_E09	NA	black	0	1.7329	0
MGH36_P3_C10	NA	black	0	1.6112	0
MGH53_P2_F01	NA	black	0	1.378	0
MGH53_P4_H05	NA	black	0	1.5739	0
