Cell_name	Zvalue	Color	Cluster	PPARA	STAT3
MGH36_P6_A12	NA	black	0	0	4.3499
MGH36_P6_H09	-0.574474073793	red	1	0.13619	4.2076
MGH53_P4_G04	-0.242559557682	red	1	0.58207	0.31267
MGH36_P10_G12	NA	black	0	0.30334	0
MGH53_P2_H12	-0.680625839139	red	1	0.044044	4.0941
MGH53_P4_D10	-0.259850812933	red	1	0.62761	0.63134
MGH53_P4_D01	NA	black	0	1.0321	0
MGH36_P6_B07	NA	black	0	0	0.53007
MGH36_P10_B12	0.448533736894	green3	2	0.096262	0.65076
MGH53_P2_G11	NA	black	0	0.045443	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	-0.405747791337	red	1	0.26303	4.3749
MGH53_P4_B07	0.109708219747	red	1	0.5955	3.515
MGH53_P4_F09	4.71501658184	black	0	2.5457	5.3589
MGH36_P2_H11	0.693622147708	red	1	0.038436	0.077243
MGH36_P5_A11	NA	black	0	0.33457	0
MGH53_P1_A09	-0.728650014033	red	1	0.20789	5.1951
MGH53_P2_B02	0.689964688748	red	1	0.025738	0.16221
MGH53_P4_E04	-0.0667531965039	red	1	0.46258	4.4692
MGH53_P4_D08	0.375531982946	red	1	0.19787	0.31267
MGH36_P1_F07	-0.733443508841	red	1	0.1776	4.9724
MGH53_P2_E11	0.489660421641	green3	2	0.13225	0.26183
MGH36_P1_G06	NA	black	0	0.11103	0
MGH36_P6_F03	-0.354055658822	red	1	0.2558	4.0858
MGH54_P2_H06	NA	black	0	0.13093	0
MGH36_P8_H12	NA	black	0	0	3.3883
MGH53_P1_B06	-0.182460861284	red	1	0.10165	2.8506
MGH53_P4_F12	-0.850473408174	red	1	0.15834	5.1995
MGH53_P4_G12	-0.122948146399	red	1	0.4489	4.8872
MGH53_P2_E08	NA	black	0	0.55876	0
MGH53_P1_F06	-0.544801613558	red	1	0.2302	4.6999
MGH53_P1_D02	NA	black	0	0	3.3336
MGH36_P9_D01	NA	black	0	0	3.4464
MGH36_P6_F02	NA	black	0	0	0.3584
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	0.185637833952	red	1	0.30801	0.50691
MGH36_P6_F11	-0.93160946953	red	1	0.056584	4.7856
MGH36_P8_C08	-0.69234286472	red	1	0.17505	4.8193
MGH53_P2_D10	NA	black	0	0	0.20539
MGH53_P4_D03	NA	black	0	0.096262	0
MGH53_P2_C04	-0.565082021932	red	1	0.063503	3.8655
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-0.556989341867	red	1	0.30801	5.531
MGH36_P4_H07	0.0160158443028	red	1	0.40926	1.8883
MGH36_P9_D06	NA	black	0	0	4.2729
MGH53_P4_C04	-0.322026325754	red	1	0.26424	3.9941
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0.29631	0
MGH36_P3_C10	2.00863486218	black	0	1.3567	5.3001
MGH53_P2_F01	-0.476238816578	red	1	0.22651	4.4016
MGH53_P4_H05	NA	black	0	0	1.206
MGH53_P4_G10	NA	black	0	0	0.97746
MGH54_P2_D07	0.379775198707	red	1	0.20289	0.23756
MGH53_P2_D09	0.375405823901	red	1	0.092207	0.94486
MGH53_P1_D09	-1.27879132148	red	1	0.10299	5.9656
MGH54_P2_B08	-0.874958707782	red	1	0.063503	4.6787
MGH54_P2_G05	0.538136401722	green3	2	0.069015	0.45418
MGH53_P2_F06	-0.603843962849	red	1	0.13093	4.2716
MGH36_P3_E01	-0.23722315106	red	1	0.61164	0.63413
MGH36_P5_E12	0.655951253262	red	1	0.053806	0.11636
MGH53_P4_A12	-0.15112182284	red	1	0.32423	3.4358
MGH36_P9_F01	NA	black	0	0	0.9568
MGH36_P3_H10	0.142988101613	red	1	0.3471	0.21039
MGH36_P3_H02	0.0114794860884	red	1	0.37184	2.1263
MGH36_P5_C10	0.0733945069776	red	1	0.38847	0.17505
MGH54_P2_B05	0.221787599336	red	1	0.29278	0.35163
MGH36_P2_F09	0.134334613341	red	1	0.3505	0.28333
MGH53_P4_A05	0.331330527613	red	1	0.2228	0.34596
MGH54_P2_H10	0.453229554895	green3	2	0.17249	0.10836
MGH53_P4_E06	0.244143187832	red	1	0.086784	1.4319
MGH53_P4_D12	1.16289209537	red	1	3.6775	3.0839
MGH54_P2_H07	0.467019339083	green3	2	0.14666	0.25942
MGH53_P2_E03	NA	black	0	0.21412	0
MGH53_P1_A05	1.41656769099	cyan	4	2.5775	3.347
MGH36_P7_D12	0.575420291812	red	1	0.060739	0.36401
MGH53_P4_H03	NA	black	0	0	4.4372
MGH53_P2_E05	-4.19145763388	black	0	2.6339	0.19535
MGH36_P4_H11	-0.0288671981361	red	1	0.23266	2.4166
MGH53_P1_B01	NA	black	0	0	5.0552
MGH54_P2_G03	NA	black	0	0	0
