Cell_name	Zvalue	Color	Cluster	PPARD	SOD1
MGH36_P6_A12	0.125361955564	red	1	1.2382	4.5375
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	5.2945
MGH53_P2_H12	NA	black	0	0	0.38847
MGH53_P4_D10	NA	black	0	0	6.7211
MGH53_P4_D01	NA	black	0	0.54201	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	-4.916814193	black	0	3.6928	1.7009
MGH53_P2_G11	-0.201719322714	red	1	0.66175	6.2804
MGH53_P1_E04	-0.76296506095	red	1	5.2289	5.3937
MGH54_P2_C12	0.0745919648778	red	1	0.2461	5.6674
MGH53_P4_B07	NA	black	0	0.91303	0
MGH53_P4_F09	-7.29665071671	black	0	4.0673	0.57337
MGH36_P2_H11	1.15879568685	green3	2	0.094912	4.1638
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0	0
MGH53_P2_B02	NA	black	0	0	6.524
MGH53_P4_E04	NA	black	0	0	4.8647
MGH53_P4_D08	NA	black	0	0.9396	0
MGH36_P1_F07	-2.28231113348	black	0	2.4644	1.6299
MGH53_P2_E11	NA	black	0	1.9906	0
MGH36_P1_G06	0.0924249543438	red	1	0.22651	5.6416
MGH36_P6_F03	NA	black	0	0.5656	0
MGH54_P2_H06	NA	black	0	2.8584	0
MGH36_P8_H12	NA	black	0	0	4.1507
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0
MGH53_P4_G12	NA	black	0	1.7088	0
MGH53_P2_E08	0.166668529278	red	1	0.87499	5.217
MGH53_P1_F06	NA	black	0	0.3471	0
MGH53_P1_D02	NA	black	0	1.4621	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	0.426187687882	red	1	0.43296	4.9834
MGH53_P2_E07	-0.424356426131	red	1	2.0902	4.5879
MGH53_P4_H08	NA	black	0	0.26664	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	-1.49770910145	black	0	3.5492	4.4576
MGH53_P2_D10	NA	black	0	4.9507	0
MGH53_P4_D03	NA	black	0	0	4.4184
MGH53_P2_C04	NA	black	0	0.31499	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	0.787891039684	red	1	0.27023	4.5142
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	5.3826
MGH53_P4_C04	NA	black	0	6.2371	0
MGH53_P1_E10	NA	black	0	0.64432	0
MGH53_P2_E09	NA	black	0	2.7525	0
MGH36_P3_C10	NA	black	0	0	5.8011
MGH53_P2_F01	NA	black	0	4.822	0
MGH53_P4_H05	0.662871316317	red	1	4.7448	6.1421
MGH53_P4_G10	NA	black	0	4.439	0
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	-0.168085047554	red	1	1.5893	3.8307
MGH53_P1_D09	NA	black	0	0.54597	0
MGH54_P2_B08	-0.0397708728418	red	1	1.175	6.0844
MGH54_P2_G05	NA	black	0	0.48543	0
MGH53_P2_F06	-1.69904676417	black	0	3.8748	4.4779
MGH36_P3_E01	0.0323176626493	red	1	0.71896	5.6983
MGH36_P5_E12	NA	black	0	0.21909	0
MGH53_P4_A12	NA	black	0	2.6271	0
MGH36_P9_F01	NA	black	0	0	6.4705
MGH36_P3_H10	NA	black	0	1.4844	0
MGH36_P3_H02	NA	black	0	0.80323	0
MGH36_P5_C10	NA	black	0	4.6657	0
MGH54_P2_B05	NA	black	0	0	4.1001
MGH36_P2_F09	NA	black	0	5.9502	0
MGH53_P4_A05	NA	black	0	4.7453	0
MGH54_P2_H10	NA	black	0	3.03	0
MGH53_P4_E06	NA	black	0	0	0.74071
MGH53_P4_D12	NA	black	0	0.52707	0
MGH54_P2_H07	NA	black	0	1.058	0
MGH53_P2_E03	NA	black	0	3.9698	0
MGH53_P1_A05	0.222076557147	red	1	0.55385	5.3083
MGH36_P7_D12	NA	black	0	0.38515	0
MGH53_P4_H03	NA	black	0	0.56071	0
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0.3115	0
MGH53_P1_B01	0.54427296906	red	1	0.51602	4.6687
MGH54_P2_G03	NA	black	0	0.67446	0
MGH53_P2_F12	NA	black	0	0	1.648
MGH36_P4_C09	NA	black	0	0.77737	0
MGH36_P5_C08	NA	black	0	0.48336	0
