Cell_name	Zvalue	Color	Cluster	RUNX1T1	SMAD4
MGH36_P6_A12	NA	black	0	0.57821	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0	0
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	0.962651890107	red	1	0.24732	0.085425
MGH53_P2_G11	NA	black	0	0	4.0232
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	-0.602029094776	red	1	0.12433	1.5361
MGH53_P4_B07	NA	black	0	0	0.40926
MGH53_P4_F09	NA	black	0	0	0.26664
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0	0
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0.40381
MGH53_P4_D08	NA	black	0	0	0.074505
MGH36_P1_F07	NA	black	0	0	0
MGH53_P2_E11	NA	black	0	0	0.14926
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0.12829
MGH36_P8_H12	NA	black	0	0	0.26664
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0.15445
MGH53_P4_G12	NA	black	0	0	0.1375
MGH53_P2_E08	NA	black	0	0	0.24489
MGH53_P1_F06	NA	black	0	0	0.21039
MGH53_P1_D02	NA	black	0	0	3.449
MGH36_P9_D01	NA	black	0	0	0.23143
MGH36_P6_F02	NA	black	0	0	1.2209
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0	0.18142
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0	2.1345
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	1.8891
MGH53_P1_E08	NA	black	0	0	0.1903
MGH54_P2_A08	NA	black	0	0	0.064883
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0	0.090853
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	0	4.3413
MGH53_P4_G10	NA	black	0	0	0.062122
MGH54_P2_D07	NA	black	0	0	0.069015
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	0	0
MGH54_P2_B08	NA	black	0	0	0.98331
MGH54_P2_G05	NA	black	0	0	0.071763
