Cell_name	Zvalue	Color	Cluster	SP1	STAR
MGH36_P6_A12	NA	black	0	0	2.1204
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0.41251
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	-0.137574964498	green3	2	1.858	0.33571
MGH53_P4_D10	NA	black	0	0	1.0752
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0.64616
MGH36_P10_B12	NA	black	0	0	0.80323
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	-0.40601815622	green3	2	2.6159	0.40381
MGH54_P2_C12	NA	black	0	0	0
MGH53_P4_B07	NA	black	0	0	0.26664
MGH53_P4_F09	NA	black	0	4.2931	0
MGH36_P2_H11	-0.389044892456	green3	2	2.1506	0.071763
MGH36_P5_A11	NA	black	0	0	0.54992
MGH53_P1_A09	NA	black	0	0	0.67356
MGH53_P2_B02	NA	black	0	0	0.68975
MGH53_P4_E04	NA	black	0	0	0.092207
MGH53_P4_D08	NA	black	0	0	0.49467
MGH36_P1_F07	0.163457471955	green3	2	1.2041	0.10434
MGH53_P2_E11	NA	black	0	0.81721	0
MGH36_P1_G06	NA	black	0	0	0.24853
MGH36_P6_F03	NA	black	0	0	0.60217
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	0.16092	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0.64247
MGH53_P4_G12	NA	black	0	0	0
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0.23143
MGH53_P1_D02	NA	black	0	0.53207	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	2.4898	0
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	0.602595656781	green3	2	0.074505	0.23511
MGH36_P8_C08	-0.36553927777	green3	2	0.82863	1.5205
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	0.179964340625	green3	2	0.44361	0.59646
MGH53_P2_C04	NA	black	0	0	0.62293
MGH53_P1_E08	NA	black	0	0	0.95233
MGH54_P2_A08	NA	black	0	0	0.54102
MGH36_P4_H07	0.0223382232895	green3	2	4.1056	0.97673
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	-0.00483883084896	green3	2	1.537	0.50182
MGH53_P2_E09	0.0220496593448	green3	2	1.4114	0.59072
MGH36_P3_C10	NA	black	0	0	0.43403
MGH53_P2_F01	2.29018351639	black	0	3.3357	2.7594
MGH53_P4_H05	NA	black	0	0	0.7031
MGH53_P4_G10	NA	black	0	0	0.37407
MGH54_P2_D07	-0.0353892970567	green3	2	1.5811	0.21661
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	2.9271	0
MGH54_P2_B08	NA	black	0	0	0.42331
MGH54_P2_G05	-0.728888266074	red	1	3.6459	0.4782
