Cell_name	Zvalue	Color	Cluster	SP1	TNFRSF10B
MGH36_P6_A12	NA	black	0	0	0.28806
MGH36_P6_H09	NA	black	0	0	2.7655
MGH53_P4_G04	NA	black	0	0	0.32423
MGH36_P10_G12	NA	black	0	0	4.1702
MGH53_P2_H12	0.300300101073	red	1	1.858	4.0209
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	4.4049
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0.18903
MGH53_P1_E04	1.36151256576	red	1	2.6159	4.8523
MGH54_P2_C12	NA	black	0	0	5.2513
MGH53_P4_B07	NA	black	0	0	0.97746
MGH53_P4_F09	3.0961719827	black	0	4.2931	4.5895
MGH36_P2_H11	-0.496506559564	red	1	2.1506	0.32654
MGH36_P5_A11	NA	black	0	0	0.80653
MGH53_P1_A09	NA	black	0	0	4.3138
MGH53_P2_B02	NA	black	0	0	3.2802
MGH53_P4_E04	NA	black	0	0	1.6355
MGH53_P4_D08	NA	black	0	0	0.32308
MGH36_P1_F07	0.280235593608	red	1	1.2041	0.073135
MGH53_P2_E11	0.545003528501	red	1	0.81721	0.33914
MGH36_P1_G06	NA	black	0	0	5.8519
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	0.702668623991	red	1	0.16092	0.93055
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0.18777
MGH53_P4_G12	NA	black	0	0	2.8123
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0.10568
MGH53_P1_D02	-0.90111338755	red	1	0.53207	4.1814
MGH36_P9_D01	NA	black	0	0	4.0908
MGH36_P6_F02	NA	black	0	0	5.1979
MGH53_P2_E07	1.73234980531	red	1	2.4898	6.0518
MGH53_P4_H08	NA	black	0	0	2.7744
MGH36_P6_F11	-1.80916390609	red	1	0.074505	4.9544
MGH36_P8_C08	-0.620457657621	red	1	0.82863	4.1571
MGH53_P2_D10	NA	black	0	0	0.45523
MGH53_P4_D03	-1.88084918416	red	1	0.44361	6.1105
MGH53_P2_C04	NA	black	0	0	0.26424
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	0.94261
MGH36_P4_H07	5.09321172694	black	0	4.1056	6.5109
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	5.5834
MGH53_P1_E10	-0.0163259442952	red	1	1.537	0.35614
MGH53_P2_E09	0.044864861637	red	1	1.4114	1.1097
MGH36_P3_C10	NA	black	0	0	2.5658
MGH53_P2_F01	2.07998693972	blue	3	3.3357	4.6484
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0	0
MGH54_P2_D07	0.141559416509	red	1	1.5811	6.167
MGH53_P2_D09	NA	black	0	0	4.9359
MGH53_P1_D09	NA	black	0	2.9271	0
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	-1.68987898455	red	1	3.6459	0.28924
MGH53_P2_F06	-0.357373449156	red	1	0.93659	3.503
MGH36_P3_E01	NA	black	0	0	1.206
MGH36_P5_E12	NA	black	0	0	5.2687
MGH53_P4_A12	NA	black	0	0	3.9682
MGH36_P9_F01	NA	black	0	0	0.67175
MGH36_P3_H10	NA	black	0	0	0.15445
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	-2.48403612301	black	0	0.22527	6.4995
MGH54_P2_B05	NA	black	0	0	4.9202
MGH36_P2_F09	NA	black	0	0	0.34142
MGH53_P4_A05	NA	black	0	0	0.42868
MGH54_P2_H10	NA	black	0	0	6.5806
MGH53_P4_E06	NA	black	0	0	5.1867
MGH53_P4_D12	NA	black	0	0	0.21039
MGH54_P2_H07	0.589112421824	red	1	2.1047	4.3099
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	0.1903
MGH36_P7_D12	NA	black	0	0	0.10434
MGH53_P4_H03	NA	black	0	0	0.27143
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0	6.8034
MGH54_P2_G03	0.0521358498763	red	1	3.2997	2.148
MGH53_P2_F12	NA	black	0	0	3.4208
MGH36_P4_C09	0.662916711111	red	1	0.76214	0.11636
MGH36_P5_C08	NA	black	0	0	1.7757
MGH36_P4_H06	NA	black	0	0	5.3517
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0	3.5844
MGH53_P2_C10	NA	black	0	0	0.38515
MGH36_P4_H08	NA	black	0	0	4.1863
MGH36_P7_F07	0.37811568423	red	1	1.0902	0.096262
MGH54_P2_A09	NA	black	0	0	3.586
MGH36_P6_H11	NA	black	0	0	0
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	1.51080535446	red	1	2.7949	4.7292
MGH36_P6_D12	-2.15553025821	red	1	0.17632	5.7687
MGH36_P2_H09	NA	black	0	0	2.696
MGH53_P1_C01	NA	black	0	0	3.8132
MGH53_P2_F11	NA	black	0	0	4.5822
MGH36_P6_H04	1.25087751934	red	1	0.075875	0.14274
MGH36_P5_G05	NA	black	0	0	0.077243
MGH53_P4_B04	NA	black	0	0	4.0254
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	2.9088
MGH36_P9_G01	NA	black	0	0	2.8244
MGH53_P4_A06	-0.48051684066	red	1	0.36289	3.0433
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	1.7883
MGH53_P1_E06	NA	black	0	0	4.6606
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	-0.695234716453	red	1	1.119	6.1878
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0	3.0192
MGH36_P5_H04	NA	black	0	0	0.055196
MGH53_P1_B03	NA	black	0	3.1047	0
MGH53_P2_D05	NA	black	0	0	0.57337
MGH36_P4_G12	-0.00771670898732	red	1	1.4993	4.7003
MGH53_P2_D11	-0.876677682484	red	1	2.9804	0.73552
MGH53_P4_C02	0.431631932693	red	1	0.09356	1.4158
MGH53_P4_F04	NA	black	0	0	0.2302
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	4.4707
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	0.952387405812	red	1	0.31846	0.30685
MGH36_P5_H08	NA	black	0	0	0.24732
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0	0
MGH53_P2_G03	NA	black	0	0	0.12961
MGH36_P3_F04	NA	black	0	0	4.4741
MGH54_P2_B02	NA	black	0	0	2.7049
MGH36_P5_C07	NA	black	0	0	0.13881
MGH53_P2_E02	NA	black	0	1.7185	0
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0.84479
MGH36_P5_F12	NA	black	0	0	0.044044
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0	4.3922
MGH36_P5_D10	NA	black	0	0	0.26544
MGH54_P2_F11	-1.4358807415	red	1	0.27023	4.721
MGH53_P2_H04	NA	black	0	0	0.15704
MGH36_P6_F09	NA	black	0	0	4.2497
MGH36_P9_F05	NA	black	0	0	4.0604
MGH36_P8_G11	NA	black	0	2.3237	0
MGH54_P2_A07	NA	black	0	0	5.8983
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0.066261	0
MGH53_P1_A02	NA	black	0	0	0.27977
MGH54_P2_E07	NA	black	0	0	0.096262
MGH53_P4_F07	3.12482039039	black	0	2.9727	6.8891
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0.46048
MGH53_P2_C06	NA	black	0	0.27023	0
MGH36_P3_F03	NA	black	0	0	0.079975
MGH36_P2_A10	0.258793166682	red	1	1.224	0.1003
MGH53_P4_E03	-1.54799731421	red	1	0.21785	4.8119
MGH36_P9_D12	NA	black	0	0	0.88986
MGH54_P2_H03	NA	black	0	0	0.096262
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	4.3178
MGH53_P4_F03	-0.476464068097	red	1	1.1486	5.1092
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	4.4003
MGH54_P2_A02	NA	black	0	0	1.7816
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0	0.16736
MGH54_P2_A03	NA	black	0	0	0.9313
MGH53_P4_E10	NA	black	0	0	5.7182
MGH54_P2_D08	NA	black	0	0	5.3969
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	4.0417
MGH53_P1_B10	NA	black	0	0	3.4868
MGH53_P2_F08	NA	black	0	0	1.0101
MGH36_P10_A01	0.632500532059	red	1	2.1535	4.2934
MGH36_P10_F01	NA	black	0	0	3.9063
MGH53_P4_G03	NA	black	0	2.167	0
MGH53_P1_F12	1.11727897762	red	1	3.4439	3.384
MGH36_P4_B03	NA	black	0	0	0.2558
MGH54_P2_C07	NA	black	0	0	0.14926
MGH53_P1_B02	-1.82996353358	red	1	0.20289	5.2733
MGH54_P2_D05	NA	black	0	0	2.2839
MGH53_P2_C08	0.769748924573	red	1	2.1332	4.8546
MGH53_P4_H09	0.0239069644281	red	1	1.3929	1.6448
MGH36_P8_H02	1.42144361213	red	1	2.5028	5.3002
MGH36_P10_H10	NA	black	0	0	3.1765
MGH53_P1_A12	NA	black	0	0	4.548
MGH36_P8_F08	NA	black	0	0	0.27858
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0	0.35727
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0	0.21909
MGH53_P4_C08	NA	black	0	0	0.56852
MGH36_P5_E04	0.8912819992	red	1	2.4109	4.3097
MGH53_P2_A07	NA	black	0	0	2.0659
MGH54_P2_G10	NA	black	0	0	2.5568
MGH36_P7_E06	NA	black	0	0	1.6862
MGH36_P9_D04	NA	black	0	0	0.18777
MGH53_P1_C12	-0.0314037247599	red	1	1.5524	0.13093
MGH36_P8_F06	NA	black	0	0	2.7351
MGH36_P1_G11	NA	black	0	0	5.324
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	3.6025
MGH36_P9_A08	NA	black	0	0	2.1938
MGH53_P2_H03	NA	black	0	0	3.7808
MGH53_P4_B03	NA	black	0	0	5.7697
MGH53_P1_F10	-0.522237223764	red	1	0.41143	3.1706
MGH53_P4_B05	-0.227030399507	red	1	1.2839	4.3905
MGH53_P2_B08	NA	black	0	0	5.4981
MGH36_P3_B06	NA	black	0	0	4.7933
MGH36_P10_C02	NA	black	0	0	3.5354
MGH36_P2_E05	NA	black	0	0	4.9223
MGH54_P2_G09	2.65207104217	black	0	3.5189	5.0562
MGH54_P2_D12	NA	black	0	0	1.0854
MGH53_P2_H02	NA	black	0	0	6.8429
MGH36_P8_F11	-1.0046489135	red	1	3.1345	0.68437
MGH53_P2_A10	NA	black	0	0	3.769
MGH54_P2_E09	NA	black	0	0	0.81721
MGH36_P3_H06	NA	black	0	0	1.2804
MGH36_P5_D05	NA	black	0	0	0
MGH54_P2_A11	NA	black	0	0	4.8386
MGH54_P2_G04	NA	black	0	0	0.2857
MGH36_P6_C01	NA	black	0	0	0.12035
MGH53_P2_E06	NA	black	0	0	1.9456
MGH53_P1_E01	-0.806383951464	red	1	0.67987	4.2952
MGH36_P1_B01	NA	black	0	0	3.1252
MGH54_P2_H04	NA	black	0	0	3.8266
MGH36_P2_C05	NA	black	0	0	0
MGH36_P6_H05	NA	black	0	0.084064	0
MGH36_P10_E06	NA	black	0	0	0.31615
MGH54_P2_F03	-1.24685015973	red	1	0.77062	5.9401
MGH36_P4_B10	NA	black	0	0	4.3972
MGH54_P2_F02	0.839345692273	red	1	2.7918	3.5594
MGH36_P2_E11	NA	black	0	0	1.8612
MGH54_P2_D11	NA	black	0	0	6.3384
MGH54_P2_G01	NA	black	0	0	0.35614
MGH36_P9_D02	1.0169178663	red	1	0.30918	0.20038
MGH54_P2_E06	NA	black	0	0	0
MGH54_P16_F12	NA	black	0	0.084064	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	1.9683	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	0.393220755791	red	1	1.0524	0.18523
MGH53_P1_E03	NA	black	0	0	0.18523
MGH54_P15_D06	NA	black	0	0.11103	0
MGH54_P14_F05	NA	black	0	0.50487	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0.10299
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	0.963779635331	red	1	0.3774	0.19156
MGH54_P10_G04	NA	black	0	0	0.19912
MGH54_P10_C06	NA	black	0	0	0.19156
MGH53_P2_A02	NA	black	0	0	0.24245
MGH53_P4_F06	NA	black	0	0	0.35276
MGH53_P7_F07	NA	black	0	0.48336	0
MGH53_P11_F06	-1.17846104525	red	1	2.9723	0.25942
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	-0.878848176731	red	1	2.5346	0.14143
