Cell_name	Zvalue	Color	Cluster	SSTR2	TP53
MGH36_P6_A12	NA	black	0	0	0.4844
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	-0.0831463031679	red	1	0.68257	3.0993
MGH36_P10_G12	0.408273576431	red	1	0.84639	0.93885
MGH53_P2_H12	1.12202871573	green3	2	0.18523	0.17121
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0.68885
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0.16221	0
MGH53_P4_B07	-0.701767551932	red	1	0.24001	4.8297
MGH53_P4_F09	NA	black	0	0.70664	0
MGH36_P2_H11	NA	black	0	0	4.9272
MGH36_P5_A11	NA	black	0	0.4049	0
MGH53_P1_A09	0.885727207662	green3	2	0.34483	0.43829
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0.21288	0
MGH36_P1_F07	0.621923547055	red	1	0.048236	1.3989
MGH53_P2_E11	NA	black	0	0	0
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	0	0
MGH53_P1_B06	NA	black	0	0.29042	0
MGH53_P4_F12	1.02584007107	green3	2	0.24001	0.28924
MGH53_P4_G12	-0.0683359993594	red	1	0.37629	2.9683
MGH53_P2_E08	-0.188952327525	red	1	0.90149	3.9154
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	3.0131
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0.70044	0
MGH36_P6_F11	NA	black	0	0.34596	0
MGH36_P8_C08	-0.0356055983971	red	1	1.6875	0.82049
MGH53_P2_D10	0.911783884321	green3	2	0.32308	0.41251
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	1.9971
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	3.5346
MGH36_P4_H07	NA	black	0	0.44361	0
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0.46153	0
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	0	4.1552
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	1.17805242059	green3	2	0.073135	0.23266
MGH54_P2_D07	NA	black	0	0	5.1231
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	0	0.41684
MGH54_P2_B08	NA	black	0	0.41143	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0	0
MGH36_P5_E12	NA	black	0	0.34369	0
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	0.58496	0
MGH36_P5_C10	NA	black	0	0.74674	0
MGH54_P2_B05	NA	black	0	0.21661	0
MGH36_P2_F09	1.18286680929	green3	2	0.16993	0.069015
MGH53_P4_A05	NA	black	0	0.36961	0
MGH54_P2_H10	NA	black	0	0.18015	0
MGH53_P4_E06	NA	black	0	0.27501	0
MGH53_P4_D12	1.10423178513	green3	2	0.17505	0.22527
MGH54_P2_H07	NA	black	0	0	0
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	0
MGH36_P7_D12	NA	black	0	0	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0.40708	0
MGH53_P1_B01	-0.669088086895	red	1	0.045443	4.4302
MGH54_P2_G03	-0.661704595347	red	1	0.2461	4.7106
MGH53_P2_F12	-0.159053678501	red	1	0.40817	3.2629
MGH36_P4_C09	1.05113257707	green3	2	0.15186	0.37295
MGH36_P5_C08	NA	black	0	0.26303	0
MGH36_P4_H06	NA	black	0	0	0
MGH36_P10_E01	NA	black	0	0.29631	0
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	NA	black	0	0	0
MGH36_P4_H08	NA	black	0	0.32998	0
MGH36_P7_F07	1.00526237473	green3	2	0.14012	0.48646
MGH54_P2_A09	NA	black	0	0	0
MGH36_P6_H11	NA	black	0	0	0
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	0.774940105227	green3	2	0.28451	0.79327
MGH36_P6_D12	NA	black	0	0	0
MGH36_P2_H09	NA	black	0	0.21164	0
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0	0.7866
MGH36_P5_G05	NA	black	0	0.089498	0
MGH53_P4_B04	NA	black	0	0.54893	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0.43403
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	0	0
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	-0.461979460032	red	1	0.39177	4.2769
MGH36_P6_B02	NA	black	0	0.30451	0
MGH53_P4_G06	NA	black	0	0.38184	0
MGH36_P8_F01	NA	black	0	0	0.62293
MGH36_P9_F06	NA	black	0	0	0
MGH36_P5_H04	1.12713233956	green3	2	0.070389	0.338
MGH53_P1_B03	NA	black	0	0	0
