Cell_name	Zvalue	Color	Cluster	STAT3	TNFRSF10B
MGH36_P6_A12	-1.0361206429	red	1	4.3499	0.28806
MGH36_P6_H09	0.499583089742	red	1	4.2076	2.7655
MGH53_P4_G04	0.855914530156	green3	2	0.31267	0.32423
MGH36_P10_G12	NA	black	0	0	4.1702
MGH53_P2_H12	1.13099286591	red	1	4.0941	4.0209
MGH53_P4_D10	NA	black	0	0.63134	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	-1.45044002921	red	1	0.53007	4.4049
MGH36_P10_B12	NA	black	0	0.65076	0
MGH53_P2_G11	NA	black	0	0	0.18903
MGH53_P1_E04	NA	black	0	0	4.8523
MGH54_P2_C12	2.03236338481	red	1	4.3749	5.2513
MGH53_P4_B07	-0.344046744656	red	1	3.515	0.97746
MGH53_P4_F09	2.42004084464	red	1	5.3589	4.5895
MGH36_P2_H11	0.954005628002	green3	2	0.077243	0.32654
MGH36_P5_A11	NA	black	0	0	0.80653
MGH53_P1_A09	2.06032974962	red	1	5.1951	4.3138
MGH53_P2_B02	-0.98755550162	red	1	0.16221	3.2802
MGH53_P4_E04	-0.181722147922	red	1	4.4692	1.6355
MGH53_P4_D08	0.856575775547	green3	2	0.31267	0.32308
MGH36_P1_F07	-1.53910915893	red	1	4.9724	0.073135
MGH53_P2_E11	0.868702622269	green3	2	0.26183	0.33914
MGH36_P1_G06	NA	black	0	0	5.8519
MGH36_P6_F03	NA	black	0	4.0858	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	-0.324424831084	red	1	3.3883	0.93055
MGH53_P1_B06	NA	black	0	2.8506	0
MGH53_P4_F12	-1.56805963032	red	1	5.1995	0.18777
MGH53_P4_G12	0.698415695719	red	1	4.8872	2.8123
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	-1.35491763463	red	1	4.6999	0.10568
MGH53_P1_D02	0.692155661303	red	1	3.3336	4.1814
MGH36_P9_D01	0.741542048888	red	1	3.4464	4.0908
MGH36_P6_F02	-2.09256502918	red	1	0.3584	5.1979
MGH53_P2_E07	NA	black	0	0	6.0518
MGH53_P4_H08	-0.540886710743	red	1	0.50691	2.7744
MGH36_P6_F11	2.23079315005	red	1	4.7856	4.9544
MGH36_P8_C08	1.68235099698	red	1	4.8193	4.1571
MGH53_P2_D10	0.821680349324	green3	2	0.20539	0.45523
MGH53_P4_D03	NA	black	0	0	6.1105
MGH53_P2_C04	-0.802901105135	red	1	3.8655	0.26424
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-0.992259179838	red	1	5.531	0.94261
MGH36_P4_H07	-0.742027348828	red	1	1.8883	6.5109
MGH36_P9_D06	NA	black	0	4.2729	0
MGH53_P4_C04	1.80400737651	red	1	3.9941	5.5834
MGH53_P1_E10	NA	black	0	0	0.35614
MGH53_P2_E09	NA	black	0	0	1.1097
MGH36_P3_C10	0.576028260282	red	1	5.3001	2.5658
MGH53_P2_F01	1.70189539957	red	1	4.4016	4.6484
MGH53_P4_H05	NA	black	0	1.206	0
MGH53_P4_G10	NA	black	0	0.97746	0
MGH54_P2_D07	-2.88301614825	red	1	0.23756	6.167
MGH53_P2_D09	-1.35597165912	red	1	0.94486	4.9359
MGH53_P1_D09	NA	black	0	5.9656	0
MGH54_P2_B08	NA	black	0	4.6787	0
MGH54_P2_G05	0.814156096641	green3	2	0.45418	0.28924
MGH53_P2_F06	0.94563627438	green3	2	4.2716	3.503
MGH36_P3_E01	0.290956711446	red	1	0.63413	1.206
MGH36_P5_E12	-2.39915275119	red	1	0.11636	5.2687
MGH53_P4_A12	0.695968855083	red	1	3.4358	3.9682
MGH36_P9_F01	0.445366314797	red	1	0.9568	0.67175
MGH36_P3_H10	1.0019697029	green3	2	0.21039	0.15445
MGH36_P3_H02	NA	black	0	2.1263	0
MGH36_P5_C10	-3.20450381225	black	0	0.17505	6.4995
MGH54_P2_B05	-1.92206686685	red	1	0.35163	4.9202
MGH36_P2_F09	0.858342171456	green3	2	0.28333	0.34142
MGH53_P4_A05	0.782655081003	green3	2	0.34596	0.42868
MGH54_P2_H10	-3.36115917362	black	0	0.10836	6.5806
MGH53_P4_E06	-0.965850080515	red	1	1.4319	5.1867
MGH53_P4_D12	-0.424932751035	red	1	3.0839	0.21039
MGH54_P2_H07	-1.60844699937	red	1	0.25942	4.3099
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	-0.567159613868	red	1	3.347	0.1903
MGH36_P7_D12	0.956658090045	green3	2	0.36401	0.10434
MGH53_P4_H03	-1.09209613324	red	1	4.4372	0.27143
MGH53_P2_E05	NA	black	0	0.19535	0
MGH36_P4_H11	NA	black	0	2.4166	0
MGH53_P1_B01	3.90427418084	black	0	5.0552	6.8034
MGH54_P2_G03	NA	black	0	0	2.148
MGH53_P2_F12	0.77713068375	green3	2	4.0004	3.4208
MGH36_P4_C09	0.543946409231	red	1	1.1808	0.11636
MGH36_P5_C08	-0.108425768261	red	1	4.7887	1.7757
MGH36_P4_H06	-2.41205296478	red	1	0.15834	5.3517
MGH36_P10_E01	NA	black	0	0.65992	0
MGH36_P8_E12	NA	black	0	0	3.5844
MGH53_P2_C10	-0.0519520143752	red	1	2.362	0.38515
MGH36_P4_H08	NA	black	0	0	4.1863
MGH36_P7_F07	0.740854099064	red	1	0.80488	0.096262
MGH54_P2_A09	1.18463607216	red	1	4.6616	3.586
MGH36_P6_H11	NA	black	0	0.24123	0
MGH53_P2_E12	NA	black	0	0.35389	0
MGH53_P1_F08	2.17067701173	red	1	4.906	4.7292
MGH36_P6_D12	1.80295872739	red	1	3.9205	5.7687
MGH36_P2_H09	-0.343528579277	red	1	1.0412	2.696
MGH53_P1_C01	1.53478791456	red	1	5.0108	3.8132
MGH53_P2_F11	1.0372842838	red	1	3.6218	4.5822
MGH36_P6_H04	NA	black	0	0	0.14274
MGH36_P5_G05	-2.06899286095	red	1	5.8706	0.077243
