Cell_name	Zvalue	Color	Cluster	TSG101	TTF2
MGH36_P6_A12	NA	black	0	2.5175	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0.44784
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0.12961	0
MGH53_P4_D10	NA	black	0	0	0
MGH53_P4_D01	1.00783334627	green3	2	5.0935	3.7091
MGH36_P6_B07	3.08650591201	black	0	6.2377	3.3281
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0.91456
MGH54_P2_C12	NA	black	0	0	0.18396
MGH53_P4_B07	-0.547606395915	red	1	6.8984	0.16221
MGH53_P4_F09	NA	black	0	0	0
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0.29514
MGH53_P1_A09	0.709994406054	red	1	1.8687	0.19409
MGH53_P2_B02	NA	black	0	6.0387	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	NA	black	0	0	2.9385
MGH53_P2_E11	NA	black	0	4.9682	0
MGH36_P1_G06	3.01023931858	black	0	5.7482	4.417
MGH36_P6_F03	NA	black	0	0	0.25459
MGH54_P2_H06	NA	black	0	0.62667	0
MGH36_P8_H12	NA	black	0	1.1329	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0.14143
MGH53_P4_G12	NA	black	0	0	0.070389
MGH53_P2_E08	0.826318612256	green3	2	5.212	2.6751
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0.39616
MGH36_P6_F02	NA	black	0	0	4.3045
MGH53_P2_E07	3.47834904494	black	0	6.9495	2.713
MGH53_P4_H08	-7.46435813493	black	0	0.33457	3.0825
MGH36_P6_F11	NA	black	0	0	0.1137
MGH36_P8_C08	NA	black	0	0.52206	0
MGH53_P2_D10	NA	black	0	6.2311	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	5.6138	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	-8.29609086257	black	0	1.0559	3.9525
MGH36_P4_H07	NA	black	0	0	0.14926
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0.29631
MGH53_P2_E09	NA	black	0	1.5445	0
MGH36_P3_C10	NA	black	0	0	0.1177
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0	0
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	-1.36862408187	black	0	3.1698	1.856
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	5.163	0
MGH53_P2_F06	-0.204007690751	red	1	5.4482	0.13356
MGH36_P3_E01	-0.385426916858	red	1	6.3005	0.1776
MGH36_P5_E12	-1.02754572252	red	1	8.0982	0.077243
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	4.1838	0
MGH36_P3_H10	NA	black	0	0	0.10836
MGH36_P3_H02	NA	black	0	0.97893	0
MGH36_P5_C10	NA	black	0	0	0
MGH54_P2_B05	NA	black	0	4.7142	0
MGH36_P2_F09	NA	black	0	0	0.048236
MGH53_P4_A05	NA	black	0	6.3553	0
MGH54_P2_H10	NA	black	0	0	1.5064
MGH53_P4_E06	NA	black	0	0	0
MGH53_P4_D12	NA	black	0	0	0.10836
MGH54_P2_H07	NA	black	0	5.8438	0
MGH53_P2_E03	NA	black	0	0	3.229
MGH53_P1_A05	NA	black	0	0	4.6278
MGH36_P7_D12	NA	black	0	5.7109	0
MGH53_P4_H03	NA	black	0	0	0.22157
MGH53_P2_E05	NA	black	0	0.55483	0
MGH36_P4_H11	NA	black	0	0	0.13619
MGH53_P1_B01	NA	black	0	0	0
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	NA	black	0	5.5177	0
MGH36_P5_C08	NA	black	0	0	0.12565
